Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-03_vs_FBKVF2,ZOE For: 1,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 2,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 3,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 4,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 5,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 6,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 7,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 9,D3,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-03_vs_FBKVF2,ZOE For: 10,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 11,D3,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-03_vs_FBKVF2,ZOE For: 12,D3,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-03_vs_FBKVF2,ZOE For: 13,D3,L2,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 14,D3,L2,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 15,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE For: 17,OT,L1,5:5,,,,,Auslösung,Good,,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 2,D1,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 4,D1,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 5,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 6,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 7,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 8,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 9,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 10,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 11,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 12,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 13,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 14,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 15,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 16,"OT, OT","L2, L2","5:5,5:5",,,,,"Auslösung, Auslösung",,Good,,
2022-01-03_vs_FBKVF2,ZOE Gegner: 17,OT,L1,5:5,,,,,Auslösung,,Good,,
2022-01-03_vs_FBKVF2,Low Q Chance For: 19,D3,L3,5:5,Gezogen,Christian Stucki,,,Nachsetzen,,,,
2022-01-03_vs_FBKVF2,Low Q Chance Against: 1,D1,L2,5:5,,,,,Konter,,,,
2022-01-03_vs_FBKVF2,Low Q Chance Against: 2,D1,L1,5:5,,,,,Festsetzen,,,,
2022-01-03_vs_FBKVF2,Low Q Chance Against: 3,D1,L1,5:5,Handgelenk,,,,Festsetzen,,,,
2022-01-03_vs_FBKVF2,Low Q Chance Against: 8,D1,L2,5:5,Gezogen,,,,Konter,,,,
