Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-04_vs_Wiler,ZOE For: 1,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-04_vs_Wiler,ZOE For: 2,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-04_vs_Wiler,ZOE For: 3,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-04_vs_Wiler,ZOE For: 4,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-04_vs_Wiler,ZOE For: 5,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-04_vs_Wiler,ZOE For: 6,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-04_vs_Wiler,ZOE For: 7,D2,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-04_vs_Wiler,ZOE For: 8,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-04_vs_Wiler,ZOE Gegner: 1,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-04_vs_Wiler,ZOE Gegner: 2,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-04_vs_Wiler,ZOE Gegner: 3,D1,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-04_vs_Wiler,ZOE Gegner: 4,D1,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-04_vs_Wiler,ZOE Gegner: 5,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-04_vs_Wiler,ZOE Gegner: 6,"D1, D1","L3, L3","5:5,5:5",Gezogen,,,,"Auslösung, Konter",,Bad,,
2022-01-04_vs_Wiler,ZOE Gegner: 7,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-04_vs_Wiler,ZOE Gegner: 8,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-04_vs_Wiler,ZOE Gegner: 9,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-04_vs_Wiler,ZOE Gegner: 10,D2,L2,5:5,,,,,Auslösung,,Good,,
2022-01-04_vs_Wiler,ZOE Gegner: 11,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-04_vs_Wiler,ZOE Gegner: 12,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-04_vs_Wiler,ZOE Gegner: 13,D3,L2,5:5,,,,,Auslösung,,Good,,
2022-01-04_vs_Wiler,ZOE Gegner: 14,D3,L2,5:5,,,,,Auslösung,,Good,,
2022-01-04_vs_Wiler,ZOE Gegner: 15,D3,L2,5:5,,,,,Auslösung,,Good,,
2022-01-04_vs_Wiler,ZOE Gegner: 16,D3,L1,5:5,Gezogen,,,,Auslösung,,Good,,
2022-01-04_vs_Wiler,Low Q Chance For: 10,D3,L2,5:5,Direkt,Marco Rentsch,,,Auslösung,,,,
2022-01-04_vs_Wiler,Low Q Chance Against: 9,D1,L3,5:5,Direkt,,,,Standart,,,,
2022-01-04_vs_Wiler,Low Q Chance Against: 10,D2,L3,5:5,Gezogen,,,,Auslösung,,,,
2022-01-04_vs_Wiler,Tor Gegner: 2,D2,L1,5:5,Direkt,,,0.5,Festsetzen,,,,
2022-01-04_vs_Wiler,Tor Gegner: 3,D2,L2,5:5,Direkt,,,0.5,Standart,,,,
2022-01-04_vs_Wiler,Tor Gegner: 5,D3,BP1,4:5,Direkt,,,0.5,,,,,
2022-01-04_vs_Wiler,High Q Chance For: 1,D3,L2,5:5,Handgelenk,Simon Steiner,,0.5,Festsetzen,,,,
2022-01-04_vs_Wiler,Tor Tigers: 6,D3,L1,5:5,Direkt,Kevin Kropf,,0.5,Nachsetzen,,,,
2022-01-04_vs_Wiler,Mid Q Chance Against: 2,D2,L3,5:5,Direkt,,,0.4,Auslösung,,,,
2022-01-04_vs_Wiler,Tor Tigers: 1,D1,L1,5:5,Direkt,Stefan Siegenthaler,,0.4,Nachsetzen,,,,
2022-01-04_vs_Wiler,Tor Tigers: 2,D1,L3,5:5,Handgelenk,Luca Fankhauser,,0.4,Konter,,,,
2022-01-04_vs_Wiler,Tor Tigers: 5,D3,L1,5:5,Direkt,Gustav Svensson,,0.4,Festsetzen,,,,
2022-01-04_vs_Wiler,Tor Tigers: 7,D3,L2,5:5,Direkt,Gustav Svensson,,0.4,Festsetzen,,,,
2022-01-04_vs_Wiler,Low Q Chance For: 7,D2,L2,5:5,Direkt,Kevin Kropf,,0.3,Standart,,,,
2022-01-04_vs_Wiler,Mid Q Chance Against: 1,D1,L2,5:5,Direkt,,,0.3,Konter,,,,
2022-01-04_vs_Wiler,Mid Q Chance For: 1,D1,L3,5:5,Direkt,Nick Pfister,,0.3,Auslösung,,,,
2022-01-04_vs_Wiler,Mid Q Chance For: 2,D3,L2,5:5,Handgelenk,Kevin Kropf,,0.3,Festsetzen,,,,
2022-01-04_vs_Wiler,Mid Q Chance For: 3,D3,L2,5:5,Handgelenk,Kevin Kropf,,0.3,Festsetzen,,,,
2022-01-04_vs_Wiler,Tor Gegner: 1,D1,L1,5:5,Direkt,,,0.3,Auslösung,,,,
2022-01-04_vs_Wiler,Tor Tigers: 3,D1,L1,5:5,Handgelenk,Martin Mosimann,,0.3,Konter,,,,
2022-01-04_vs_Wiler,Tor Tigers: 4,D3,L2,5:5,Gezogen,Simon Steiner,,0.3,Nachsetzen,,,,
2022-01-04_vs_Wiler,Low Q Chance Against: 8,"D1, D1","L2, L2","5:5,5:5","Gezogen, Direkt",,,"0.2, 0.3","Auslösung, Nachsetzen",,,,
2022-01-04_vs_Wiler,Low Q Chance For: 5,D1,L2,5:5,Direkt,Simon Steiner,,0.2,Auslösung,,,,
2022-01-04_vs_Wiler,Low Q Chance For: 6,D1,L1,5:5,Gezogen,Stefan Siegenthaler,,0.2,Festsetzen,,,,
2022-01-04_vs_Wiler,Low Q Chance For: 8,D2,L2,5:5,Gezogen,Martin Mosimann,,0.2,Konter,,,,
2022-01-04_vs_Wiler,Low Q Chance For: 11,D3,L2,5:5,Handgelenk,Janis Lauber,,0.2,Konter,,,,
2022-01-04_vs_Wiler,Low Q Chance For: 13,D3,L1,5:5,Direkt,Stefan Siegenthaler,,0.2,Festsetzen,,,,
2022-01-04_vs_Wiler,Low Q Chance For: 14,D3,L2,5:5,Handgelenk,Janis Lauber,,0.2,Auslösung,,,,
2022-01-04_vs_Wiler,Low Q Chance For: 15,D3,L1,5:5,Gezogen,Matteo Steiner,,0.2,Standart,,,,
2022-01-04_vs_Wiler,Low Q Chance For: 16,D3,L1,5:5,Gezogen,Matteo Steiner,,0.2,Konter,,,,
2022-01-04_vs_Wiler,Low Q Chance For: 18,D3,L2,5:5,Handgelenk,Janis Lauber,,0.2,Konter,,,,
2022-01-04_vs_Wiler,Low Q Chance For: 19,D3,L1,5:5,Gezogen,Matteo Steiner,,0.2,Auslösung,,,,
