Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-06_vs_Basel,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-06_vs_Basel,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-06_vs_Basel,ZOE For: 3,D1,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-06_vs_Basel,ZOE For: 4,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-06_vs_Basel,ZOE For: 5,D1,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-06_vs_Basel,ZOE For: 6,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-06_vs_Basel,ZOE For: 7,D1,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-06_vs_Basel,ZOE For: 8,D2,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-06_vs_Basel,ZOE For: 9,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-06_vs_Basel,ZOE For: 10,D2,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-06_vs_Basel,ZOE For: 11,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-06_vs_Basel,ZOE For: 12,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-06_vs_Basel,ZOE For: 13,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-06_vs_Basel,ZOE For: 14,D3,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-06_vs_Basel,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-06_vs_Basel,ZOE Gegner: 2,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-06_vs_Basel,ZOE Gegner: 3,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-06_vs_Basel,ZOE Gegner: 4,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-06_vs_Basel,ZOE Gegner: 5,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-06_vs_Basel,ZOE Gegner: 6,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-06_vs_Basel,ZOE Gegner: 7,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-06_vs_Basel,ZOE Gegner: 8,D2,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-06_vs_Basel,ZOE Gegner: 9,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-06_vs_Basel,ZOE Gegner: 10,D2,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-06_vs_Basel,ZOE Gegner: 11,D3,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-06_vs_Basel,Tor Tigers: 10,D3,L2,5:6,,Simon Steiner,,0.8,Nachsetzen,,,,
2022-01-06_vs_Basel,Tor Tigers: 1,D1,L1,5:5,Handgelenk,Marco Oliver Gerber,,0.6,Auslösung,,,,
2022-01-06_vs_Basel,High Q Chance For: 1,D1,L3,5:5,Handgelenk,Matteo Steiner,,0.5,Konter,,,,
2022-01-06_vs_Basel,High Q Chance Against: 1,D1,L1,5:5,Handgelenk,,,0.5,Konter,,,,
2022-01-06_vs_Basel,Mid Q Chance For: 2,D1,L3,5:5,Handgelenk,Marco Rentsch,,0.4,Festsetzen,,,,
2022-01-06_vs_Basel,Tor Tigers: 2,D2,L3,5:5,Gezogen,Matteo Steiner,,0.4,Konter,,,,
2022-01-06_vs_Basel,Tor Tigers: 3,D2,L3,5:5,Handgelenk,Matteo Steiner,,0.4,Auslösung,,,,
