Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-07_vs_1_Malans,ZOE For: 1,D3,L3,5:5,,,,,Auslösung,Good,,,
2022-01-07_vs_1_Malans,ZOE For: 2,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-07_vs_1_Malans,ZOE For: 3,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-07_vs_1_Malans,ZOE For: 4,D2,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-07_vs_1_Malans,ZOE For: 5,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-07_vs_1_Malans,ZOE For: 6,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-07_vs_1_Malans,ZOE For: 7,D3,L3,5:5,,,,,Auslösung,Good,,,
2022-01-07_vs_1_Malans,ZOE For: 8,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-07_vs_1_Malans,ZOE For: 9,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-07_vs_1_Malans,ZOE Gegner: 1,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-07_vs_1_Malans,ZOE Gegner: 2,D1,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-07_vs_1_Malans,ZOE Gegner: 3,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-07_vs_1_Malans,ZOE Gegner: 4,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-07_vs_1_Malans,ZOE Gegner: 5,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-07_vs_1_Malans,ZOE Gegner: 6,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-07_vs_1_Malans,ZOE Gegner: 7,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-07_vs_1_Malans,ZOE Gegner: 8,D3,L2,5:5,,,,,Auslösung,,Good,,
2022-01-07_vs_1_Malans,ZOE Gegner: 9,D3,L3,5:5,,,,,Auslösung,,Good,,
2022-01-07_vs_1_Malans,ZOE Gegner: 10,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-07_vs_1_Malans,ZOE Gegner: 11,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-07_vs_1_Malans,Low Q Chance For: 9,D2,L1,5:5,Gezogen,Stefan Siegenthaler,,,Festsetzen,,,,
2022-01-07_vs_1_Malans,Tor Tigers: 4,D2,L2,5:5,Volley,Simon Steiner,,,Auslösung,,,,
2022-01-07_vs_1_Malans,Tor Gegner: 2,D1,BP2,4:5,Direkt,,,0.6,,,,,
2022-01-07_vs_1_Malans,Mid Q Chance Against: 3,D2,L1,5:5,Handgelenk,,,0.5,Konter,,,,
2022-01-07_vs_1_Malans,Tor Gegner: 4,D2,L3,5:5,Direkt,,,0.5,Standart,,,,
2022-01-07_vs_1_Malans,High Q Chance For: 1,D3,L1,5:5,Direkt,Marco Oliver Gerber,,0.5,Nachsetzen,,,,
2022-01-07_vs_1_Malans,Mid Q Chance Against: 2,D1,L2,5:5,Handgelenk,,,0.4,Konter,,,,
2022-01-07_vs_1_Malans,Tor Gegner: 1,D1,L1,5:5,Direkt,,,0.4,Pressing,,,,
2022-01-07_vs_1_Malans,Tor Gegner: 5,D2,L3,5:5,Direkt,,,0.4,Festsetzen,,,,
2022-01-07_vs_1_Malans,Tor Gegner: 6,D3,L2,5:5,Handgelenk,,,0.4,Auslösung,,,,
2022-01-07_vs_1_Malans,Tor Tigers: 1,D1,PP1,5:4,Direkt,Matteo Steiner,,0.4,Konter,,,,
2022-01-07_vs_1_Malans,Tor Tigers: 2,D1,L1,5:5,Direkt,Nick Pfister,,0.4,Auslösung,,,,
2022-01-07_vs_1_Malans,Tor Tigers: 7,D3,6:5,6:5,Volley,Marco Rentsch,,0.4,,,,,
2022-01-07_vs_1_Malans,Low Q Chance For: 2,D1,L3,5:5,Handgelenk,Matteo Steiner,,0.3,Festsetzen,,,,
2022-01-07_vs_1_Malans,Low Q Chance For: 3,D1,L1,5:5,Direkt,Nick Pfister,,0.3,Standart,,,,
2022-01-07_vs_1_Malans,Low Q Chance For: 4,D1,L1,5:5,Gezogen,Stefan Siegenthaler,,0.3,Nachsetzen,,,,
2022-01-07_vs_1_Malans,Low Q Chance For: 12,D3,L2,5:5,Direkt,Simon Steiner,,0.3,Konter,,,,
2022-01-07_vs_1_Malans,Low Q Chance Against: 9,D1,L3,5:5,Handgelenk,,,0.3,Nachsetzen,,,,
2022-01-07_vs_1_Malans,Mid Q Chance Against: 1,D1,L1,5:5,Handgelenk,,,0.3,Konter,,,,
