Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-10_vs_5_Wasa,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-10_vs_5_Wasa,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-10_vs_5_Wasa,ZOE For: 3,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-10_vs_5_Wasa,ZOE For: 4,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-10_vs_5_Wasa,ZOE For: 5,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-10_vs_5_Wasa,ZOE For: 6,D1,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-10_vs_5_Wasa,ZOE For: 7,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-10_vs_5_Wasa,ZOE For: 8,D2,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-10_vs_5_Wasa,ZOE For: 9,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-10_vs_5_Wasa,ZOE For: 10,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-10_vs_5_Wasa,ZOE Gegner: 2,D1,"L3, L3","5:5,5:5",,,,,"Auslösung, Festsetzen",,Good,,
2022-01-10_vs_5_Wasa,ZOE Gegner: 3,D1,L3,5:5,,,,,Auslösung,,Good,,
2022-01-10_vs_5_Wasa,ZOE Gegner: 4,D1,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-10_vs_5_Wasa,ZOE Gegner: 5,D1,L3,5:5,,,,,Auslösung,,Good,,
2022-01-10_vs_5_Wasa,ZOE Gegner: 6,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-10_vs_5_Wasa,ZOE Gegner: 7,D2,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-10_vs_5_Wasa,ZOE Gegner: 8,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-10_vs_5_Wasa,ZOE Gegner: 9,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-10_vs_5_Wasa,ZOE Gegner: 10,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-10_vs_5_Wasa,ZOE Gegner: 11,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-10_vs_5_Wasa,Tor Gegner: 1,D2,L2,5:5,Direkt,,,0.8,Konter,,,,
