Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-11_vs_7_FBK,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE For: 2,D1,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-11_vs_7_FBK,ZOE For: 3,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE For: 4,D1,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-11_vs_7_FBK,ZOE For: 5,D3,L3,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE For: 6,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE For: 7,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE For: 8,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE For: 9,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE For: 10,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE For: 11,D3,L3,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE For: 12,D3,L3,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE For: 13,D3,L2,5:5,,,,,Auslösung,Good,,,
2022-01-11_vs_7_FBK,ZOE Gegner: 1,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-11_vs_7_FBK,ZOE Gegner: 2,D1,L3,5:5,,,,,Auslösung,,Good,,
2022-01-11_vs_7_FBK,ZOE Gegner: 3,D1,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-11_vs_7_FBK,ZOE Gegner: 4,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-11_vs_7_FBK,ZOE Gegner: 5,D1,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-11_vs_7_FBK,ZOE Gegner: 6,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-11_vs_7_FBK,ZOE Gegner: 7,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-11_vs_7_FBK,ZOE Gegner: 8,"D2, D2","L2, L2","5:5,5:5",Gezogen,,,,"Auslösung, Konter",,Bad,,
2022-01-11_vs_7_FBK,ZOE Gegner: 9,D2,L3,5:5,,,,,Auslösung,,Good,,
2022-01-11_vs_7_FBK,ZOE Gegner: 10,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-11_vs_7_FBK,ZOE Gegner: 11,D3,L2,5:5,,,,,Auslösung,,Good,,
2022-01-11_vs_7_FBK,Low Q Chance Against: 5,D1,L2,5:5,Handgelenk,,,,Auslösung,,,,
2022-01-11_vs_7_FBK,Low Q Chance Against: 8,D2,L1,5:5,Handgelenk,,,,Auslösung,,,,
2022-01-11_vs_7_FBK,High Q Chance For: 1,D3,L1,5:5,Handgelenk,Nick Pfister,,0.6,Konter,,,,
2022-01-11_vs_7_FBK,Tor Tigers: 1,D2,L3,5:5,Direkt,Christian Stucki,,0.6,Nachsetzen,,,,
2022-01-11_vs_7_FBK,High Q Chance Against: 2,D2,L2,5:5,Direkt,,,0.6,Konter,,,,
2022-01-11_vs_7_FBK,Mid Q Chance Against: 1,D3,L2,5:5,Direkt,,,0.5,Konter,,,,
2022-01-11_vs_7_FBK,Mid Q Chance For: 5,D3,L3,5:5,Handgelenk,Marco Rentsch,,0.5,Konter,,,,
2022-01-11_vs_7_FBK,Tor Gegner: 2,D2,L1,5:5,Direkt,,,0.5,Auslösung,,,,
2022-01-11_vs_7_FBK,Tor Tigers: 2,D3,PP1,6:5,Direkt,Kevin Kropf,,0.5,,,,,
2022-01-11_vs_7_FBK,High Q Chance Against: 1,D2,L1,5:5,Handgelenk,,,0.5,Festsetzen,,,,
2022-01-11_vs_7_FBK,Mid Q Chance For: 2,D1,L2,5:5,Direkt,Simon Steiner,,0.4,Konter,,,,
2022-01-11_vs_7_FBK,Mid Q Chance For: 3,D2,L3,5:5,Direkt,Luca Fankhauser,,0.4,Auslösung,,,,
2022-01-11_vs_7_FBK,Low Q Chance For: 5,D1,L1,5:5,Handgelenk,Thomas Gfeller,,0.3,Standart,,,,
