Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-12_vs_9_GC,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-12_vs_9_GC,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-12_vs_9_GC,ZOE For: 3,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-12_vs_9_GC,ZOE For: 4,D1,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-12_vs_9_GC,ZOE For: 5,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-12_vs_9_GC,ZOE For: 6,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-12_vs_9_GC,ZOE For: 7,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-12_vs_9_GC,ZOE For: 8,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-12_vs_9_GC,ZOE For: 9,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-12_vs_9_GC,ZOE For: 10,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-12_vs_9_GC,ZOE For: 11,D3,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-12_vs_9_GC,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-12_vs_9_GC,ZOE Gegner: 2,"D1, D1",L1,5:5,,,,,Auslösung,,Good,,
2022-01-12_vs_9_GC,ZOE Gegner: 3,D3,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-12_vs_9_GC,Low Q Chance Against: 5,D1,"L2, L2",5:5,Direkt,,,,Standart,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 14,D3,L2,5:5,Gezogen,,,,Festsetzen,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 16,D3,L3,5:5,Gezogen,,,,Festsetzen,,,,
2022-01-12_vs_9_GC,High Q Chance Against: 3,D3,L1,5:5,Direkt,,,0.6,Konter,,,,
2022-01-12_vs_9_GC,Mid Q Chance Against: 3,D3,L2,5:5,Direkt,,,0.5,Festsetzen,,,,
2022-01-12_vs_9_GC,Mid Q Chance For: 4,D3,L3,5:5,Direkt,Nick Pfister,,0.5,Auslösung,,,,
2022-01-12_vs_9_GC,Mid Q Chance For: 6,D3,L2,5:5,Handgelenk,Janis Lauber,,0.5,Konter,,,,
2022-01-12_vs_9_GC,Tor Gegner: 2,D2,L2,5:5,Direkt,,,0.5,Konter,,,,
2022-01-12_vs_9_GC,Tor Gegner: 3,D2,BP1,4:5,Direkt,,,0.5,,,,,
2022-01-12_vs_9_GC,Tor Tigers: 5,D3,L2,5:5,Gezogen,Simon Steiner,,0.5,Konter,,,,
2022-01-12_vs_9_GC,High Q Chance Against: 1,D1,L3,5:5,Direkt,,,0.5,Konter,,,,
2022-01-12_vs_9_GC,High Q Chance Against: 4,D3,L2,,Direkt,,,0.5,Konter,,,,
2022-01-12_vs_9_GC,Mid Q Chance For: 5,D3,L1,5:5,"CUTS, Direkt",Matteo Steiner,,0.4,Konter,,,,
2022-01-12_vs_9_GC,Tor Gegner: 4,D3,L1,5:6,Direkt,,,0.4,,,,,
2022-01-12_vs_9_GC,Tor Gegner: 5,D3,L2,5:6,Direkt,,,0.4,,,,,
2022-01-12_vs_9_GC,Tor Tigers: 4,D3,L1,5:5,Handgelenk,Thomas Gfeller,,0.4,Konter,,,,
2022-01-12_vs_9_GC,Tor Tigers: 7,D3,L1,5:5,Direkt,Thomas Gfeller,,0.4,Nachsetzen,,,,
2022-01-12_vs_9_GC,High Q Chance Against: 2,D1,L3,5:5,Direkt,,,0.4,Konter,,,,
2022-01-12_vs_9_GC,Low Q Chance For: 8,D3,L2,5:5,Gezogen,,,0.3,Auslösung,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 13,D2,L2,5:5,Direkt,,,0.3,Festsetzen,,,,
2022-01-12_vs_9_GC,Mid Q Chance Against: 1,D1,L1,5:5,Handgelenk,,,0.3,Konter,,,,
2022-01-12_vs_9_GC,Mid Q Chance Against: 2,D1,L2,5:5,Handgelenk,,,0.3,Konter,,,,
2022-01-12_vs_9_GC,Mid Q Chance For: 1,D1,L2,5:5,Handgelenk,Simon Steiner,,0.3,Konter,,,,
2022-01-12_vs_9_GC,Mid Q Chance For: 2,D2,"L2, PP1",5:5,,Simon Steiner,,0.3,Konter,,,,
2022-01-12_vs_9_GC,Mid Q Chance For: 3,D2,L3,5:5,Handgelenk,Matteo Steiner,,0.3,Konter,,,,
2022-01-12_vs_9_GC,Tor Tigers: 3,D2,L3,5:5,Direkt,Matteo Steiner,,0.3,Konter,,,,
2022-01-12_vs_9_GC,Low Q Chance For: 2,D1,L1,5:5,Gezogen,Marco Oliver Gerber,,0.2,Konter,,,,
2022-01-12_vs_9_GC,Low Q Chance For: 3,D1,L3,5:5,Gezogen,Matteo Steiner,,0.2,Konter,,,,
2022-01-12_vs_9_GC,Low Q Chance For: 4,D2,L3,5:5,Gezogen,Matteo Steiner,,0.2,Konter,,,,
2022-01-12_vs_9_GC,Low Q Chance For: 6,D3,L1,5:5,Handgelenk,Marco Oliver Gerber,,0.2,Konter,,,,
2022-01-12_vs_9_GC,Low Q Chance For: 7,D3,L3,5:5,Gezogen,Nick Pfister,,0.2,Auslösung,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 1,D1,L2,5:5,Handgelenk,,,0.2,Auslösung,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 3,D1,L2,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 4,D1,L3,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 6,D1,L1,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 12,D2,L1,5:5,Handgelenk,,,0.2,Konter,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 15,D3,L3,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 17,D3,L2,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-12_vs_9_GC,Low Q Chance Against: 18,D3,L2,5:5,Direkt,,,0.2,Festsetzen,,,,
2022-01-12_vs_9_GC,Tor Gegner: 1,D1,L2,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-12_vs_9_GC,Tor Tigers: 1,D1,L2,5:5,Gezogen,Janis Lauber,,0.2,Konter,,,,
2022-01-12_vs_9_GC,Tor Tigers: 2,D2,L1,5:5,Direkt,Marco Oliver Gerber,,0.2,Festsetzen,,,,
2022-01-12_vs_9_GC,Low Q Chance For: 1,D1,"L1, L1",5:5,Gezogen,Marco Oliver Gerber,,0.1,"Auslösung, Nachsetzen",,,,
