Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-13_vs_MS14_HCR,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-13_vs_MS14_HCR,ZOE For: 2,D1,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-13_vs_MS14_HCR,ZOE For: 3,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-13_vs_MS14_HCR,ZOE For: 4,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-13_vs_MS14_HCR,ZOE For: 5,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-13_vs_MS14_HCR,ZOE For: 6,D1,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-13_vs_MS14_HCR,ZOE For: 7,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-13_vs_MS14_HCR,ZOE For: 8,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-13_vs_MS14_HCR,ZOE For: 9,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-13_vs_MS14_HCR,ZOE For: 10,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-13_vs_MS14_HCR,ZOE For: 11,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-13_vs_MS14_HCR,ZOE For: 12,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-13_vs_MS14_HCR,ZOE For: 13,D3,L2,5:5,,,,,Auslösung,Good,,,
2022-01-13_vs_MS14_HCR,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-13_vs_MS14_HCR,ZOE Gegner: 2,D1,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-13_vs_MS14_HCR,ZOE Gegner: 3,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-13_vs_MS14_HCR,ZOE Gegner: 4,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-13_vs_MS14_HCR,Tor Gegner: 2,D1,L3,5:5,Direkt,,,,Konter,,,,
2022-01-13_vs_MS14_HCR,Tor Tigers: 4,D1,L2,5:5,Gezogen,Kevin Kropf,,,Konter,,,,
2022-01-13_vs_MS14_HCR,Tor Gegner: 6,D3,L1,5:5,Volley,,,0.6,Konter,,,,
2022-01-13_vs_MS14_HCR,High Q Chance Against: 1,D2,L1,5:5,Handgelenk,,,0.6,Konter,,,,
2022-01-13_vs_MS14_HCR,Mid Q Chance Against: 1,D3,L2,5:5,Direkt,,,0.5,Festsetzen,,,,
2022-01-13_vs_MS14_HCR,Tor Gegner: 5,D2,L1,5:5,Volley,,,0.5,Festsetzen,,,,
2022-01-13_vs_MS14_HCR,Tor Tigers: 3,D1,L2,5:5,Direkt,Janis Lauber,,0.5,Festsetzen,,,,
2022-01-13_vs_MS14_HCR,Mid Q Chance For: 3,D3,L1,5:5,Gezogen,Marco Oliver Gerber,,0.4,Konter,,,,
2022-01-13_vs_MS14_HCR,High Q Chance For: 2,D3,L2,5:5,Direkt,,,0.4,Konter,,,,
