Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-14_vs_MS14_Zug,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 3,D1,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-14_vs_MS14_Zug,ZOE For: 4,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 5,D1,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-14_vs_MS14_Zug,ZOE For: 6,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 7,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 8,D1,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-14_vs_MS14_Zug,ZOE For: 9,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 10,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 11,D2,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-14_vs_MS14_Zug,ZOE For: 12,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 13,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 14,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 15,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 16,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 17,D3,L2,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 18,D3,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-14_vs_MS14_Zug,ZOE For: 19,D3,L2,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE For: 20,D3,L2,5:5,,,,,Auslösung,Good,,,
2022-01-14_vs_MS14_Zug,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-14_vs_MS14_Zug,ZOE Gegner: 2,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-14_vs_MS14_Zug,ZOE Gegner: 3,D2,L2,5:5,,,,,Auslösung,,Good,,
2022-01-14_vs_MS14_Zug,ZOE Gegner: 4,D2,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-14_vs_MS14_Zug,ZOE Gegner: 5,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-14_vs_MS14_Zug,ZOE Gegner: 6,D3,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 30,D3,L2,5:5,Gezogen,Kevin Kropf,,,Nachsetzen,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 31,D3,L1,5:5,Direkt,Marco Oliver Gerber,,,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 1,D1,L2,5:5,Gezogen,Simon Steiner,,,Konter,,,,
2022-01-14_vs_MS14_Zug,Tor Gegner: 1,D1,L1,5:5,Direkt,,,0.7,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Tor Gegner: 4,D2,L2,5:5,Handgelenk,,,0.7,Auslösung,,,,
2022-01-14_vs_MS14_Zug,High Q Chance For: 2,D3,L1,5:5,Gezogen,Marco Oliver Gerber,,0.5,Festsetzen,,,,
2022-01-14_vs_MS14_Zug,High Q Chance Against: 1,D1,L2,5:5,Direkt,,,0.5,Festsetzen,,,,
2022-01-14_vs_MS14_Zug,Tor Gegner: 2,D1,L3,5:5,Direkt,,,0.4,Konter,,,,
2022-01-14_vs_MS14_Zug,High Q Chance For: 1,D3,,5:5,Handgelenk,Marco Oliver Gerber,,0.4,Nachsetzen,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance Against: 7,D1,"L2, BP1",5:5,Gezogen,,,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance Against: 15,D3,L1,5:5,Handgelenk,,,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance Against: 1,D1,L1,5:5,Volley,,,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance Against: 2,D1,L2,5:5,Gezogen,,,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance Against: 4,D2,L3,5:5,Direkt,,,0.3,Festsetzen,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 2,D1,L1,5:5,Gezogen,Marco Oliver Gerber,,0.3,Standart,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 3,D1,L2,5:5,Direkt,Janis Lauber,,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 5,D1,L2,5:5,Direkt,Maurice Aebersold,,0.3,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 6,D1,L2,5:5,Direkt,Kevin Kropf,,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 7,D1,L2,5:5,Direkt,Gustav Svensson,,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 8,D2,L2,5:5,Direkt,Janis Lauber,,0.3,Festsetzen,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 9,D3,L2,5:5,Direkt,Kevin Kropf,,0.3,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 10,D3,L2,5:5,Gezogen,Simon Steiner,,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 11,D3,L1,5:5,,Marco Oliver Gerber,,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 12,D3,L2,5:5,Gezogen,Simon Steiner,,0.3,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Tor Gegner: 7,D3,L2,5:5,Handgelenk,,,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Tor Tigers: 1,D2,L1,5:5,Gezogen,Christian Stucki,,0.3,Pressing,,,,
2022-01-14_vs_MS14_Zug,Tor Tigers: 2,D2,L1,5:5,Gezogen,Stefan Siegenthaler,,0.3,Standart,,,,
2022-01-14_vs_MS14_Zug,Tor Tigers: 4,D3,L1,5:5,Direkt,Marco Oliver Gerber,,0.3,Nachsetzen,,,,
2022-01-14_vs_MS14_Zug,Tor Tigers: 5,D3,L1,5:5,Direkt,"Marco Oliver Gerber, Marco Oliver Gerber",,0.3,Konter,,,,
2022-01-14_vs_MS14_Zug,Tor Tigers: 6,D3,L1,5:5,Direkt,Matteo Steiner,,0.3,Nachsetzen,,,,
2022-01-14_vs_MS14_Zug,Tor Tigers: 8,OT,L2,5:5,Gezogen,Simon Steiner,,0.3,Standart,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 4,D1,L3,5:5,Direkt,Luca Fankhauser,,"0.2, 0.2",Standart,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 6,D1,L3,5:5,Gezogen,Matteo Steiner,,0.2,Konter,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 8,D1,L2,5:5,Direkt,Simon Steiner,,0.2,Festsetzen,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 9,D1,L1,5:5,Gezogen,Martin Mosimann,,0.2,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 11,D1,L1,5:5,Gezogen,Martin Mosimann,,0.2,Standart,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 12,D1,L2,5:5,Gezogen,Maurice Aebersold,,0.2,Festsetzen,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 15,D2,L2,5:5,Direkt,Simon Steiner,,0.2,Standart,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 17,D2,L3,5:5,Gezogen,Matteo Steiner,,0.2,Standart,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 20,D2,L3,5:5,"Direkt, CUTS",Matteo Steiner,,0.2,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 26,D3,L2,5:5,Gezogen,Janis Lauber,,0.2,Standart,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 27,D3,L1,5:5,Gezogen,Marco Oliver Gerber,,0.2,Festsetzen,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 28,D3,L1,5:5,Direkt,Matteo Steiner,,0.2,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 29,D3,L2,5:5,Gezogen,Janis Lauber,,0.2,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 33,D3,L1,5:5,Direkt,Thomas Gfeller,,0.2,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 35,D3,L2,5:5,Direkt,Kevin Kropf,,0.2,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance Against: 2,D1,L1,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance Against: 4,D1,L2,5:5,Direkt,,,0.2,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance Against: 5,D1,L1,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance Against: 8,D2,L2,5:5,Direkt,,,0.2,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance Against: 10,D2,L2,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance Against: 16,D3,L1,5:5,Handgelenk,,,0.2,Konter,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance Against: 3,D1,,5:5,Gezogen,,,0.2,Standart,,,,
2022-01-14_vs_MS14_Zug,Mid Q Chance For: 4,D1,L2,5:5,"CUTS, Direkt",Simon Steiner,,0.2,Standart,,,,
2022-01-14_vs_MS14_Zug,Tor Gegner: 3,D1,L3,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-14_vs_MS14_Zug,Tor Gegner: 5,D3,L2,5:5,Handgelenk,,,0.2,Konter,,,,
2022-01-14_vs_MS14_Zug,Tor Tigers: 3,D3,PP1,5:4,Handgelenk,Thomas Gfeller,,0.2,Konter,,,,
2022-01-14_vs_MS14_Zug,Tor Tigers: 7,D3,6:5,6:5,Volley,Thomas Gfeller,,0.2,,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 1,D1,,5:5,Gezogen,Thomas Gfeller,,0.1,Standart,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 2,D1,L2,5:5,Gezogen,Kevin Kropf,,0.1,Konter,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 3,D1,L2,5:5,Direkt,Maurice Aebersold,,0.1,Standart,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 5,D2,L3,5:5,Gezogen,Marco Rentsch,,0.1,Festsetzen,,,,
2022-01-14_vs_MS14_Zug,Low Q Chance For: 7,D1,L1,5:5,Direkt,Stefan Siegenthaler,,0.1,Auslösung,,,,
