Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-15_vs_MS16_WaSa,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-15_vs_MS16_WaSa,ZOE For: 2,D1,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-15_vs_MS16_WaSa,ZOE For: 3,D1,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-15_vs_MS16_WaSa,ZOE For: 4,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-15_vs_MS16_WaSa,ZOE For: 5,D1,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-15_vs_MS16_WaSa,ZOE For: 6,D2,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-15_vs_MS16_WaSa,ZOE For: 8,D3,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 2,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 3,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 4,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 5,D1,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 6,D1,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 7,D1,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 8,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 9,D1,L3,5:5,,,,,Auslösung,,Good,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 10,D2,L2,5:5,,,,,Auslösung,,Good,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 11,D2,L2,5:5,,,,,Auslösung,,Good,,
2022-01-15_vs_MS16_WaSa,ZOE Gegner: 12,D3,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-15_vs_MS16_WaSa,Tor Gegner: 4,D3,6:5,6:5,Handgelenk,,,,Konter,,,,
2022-01-15_vs_MS16_WaSa,High Q Chance Against: 1,D2,L3,5:5,Direkt,,,0.6,Konter,,,,
2022-01-15_vs_MS16_WaSa,High Q Chance Against: 2,D2,L3,5:5,Direkt,,,0.5,Konter,,,,
2022-01-15_vs_MS16_WaSa,High Q Chance Against: 3,D3,L1,5:5,Handgelenk,,,0.5,Konter,,,,
2022-01-15_vs_MS16_WaSa,Mid Q Chance Against: 3,D2,L2,5:5,Direkt,,,0.4,Konter,,,,
2022-01-15_vs_MS16_WaSa,Mid Q Chance Against: 4,D2,L1,5:5,Direkt,,,0.4,Konter,,,,
2022-01-15_vs_MS16_WaSa,High Q Chance For: 1,D2,L2,5:5,Direkt,Simon Steiner,,0.4,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Tor Tigers: 1,D3,L1,5:5,Handgelenk,Thomas Gfeller,,0.4,Konter,,,,
2022-01-15_vs_MS16_WaSa,Mid Q Chance Against: 5,D3,L2,5:5,Handgelenk,,,0.3,Konter,,,,
2022-01-15_vs_MS16_WaSa,Mid Q Chance For: 1,D1,L1,5:5,Direkt,Stefan Siegenthaler,,0.3,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Mid Q Chance For: 2,D1,L2,5:5,Direkt,Simon Steiner,,0.3,Konter,,,,
2022-01-15_vs_MS16_WaSa,Mid Q Chance For: 3,D2,L2,5:5,Direkt,Simon Steiner,,0.3,Standart,,,,
2022-01-15_vs_MS16_WaSa,Mid Q Chance For: 4,D2,L3,5:5,Gezogen,Matteo Steiner,,0.3,Konter,,,,
2022-01-15_vs_MS16_WaSa,Tor Gegner: 2,D2,L1,5:5,Handgelenk,,,0.3,Konter,,,,
2022-01-15_vs_MS16_WaSa,Pot + Chance For: 1,D1,L2,5:5,Volley,Simon Steiner,,0.3,Standart,,,,
2022-01-15_vs_MS16_WaSa,Pot + Chance For: 2,D1,L2,5:5,,Simon Steiner,,0.3,Konter,,,,
2022-01-15_vs_MS16_WaSa,Pot + Chance For: 3,D2,L3,5:5,Handgelenk,Matteo Steiner,,0.3,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 3,D1,L2,5:5,Gezogen,Gustav Svensson,,0.2,Standart,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 4,D1,L3,5:5,Direkt,Matteo Steiner,,0.2,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 5,D1,L2,5:5,Direkt,Kevin Kropf,,0.2,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 6,D1,L1,5:5,Gezogen,Marco Oliver Gerber,,0.2,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 7,D2,L2,5:5,Gezogen,Schlegel Lucas,,0.2,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 12,D2,L2,5:5,Gezogen,Simon Steiner,,0.2,Auslösung,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 13,D2,L3,5:5,Gezogen,Nick Pfister,,0.2,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 15,D3,L1,5:5,,Matteo Steiner,,0.2,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 17,D3,L1,5:5,Direkt,Matteo Steiner,,0.2,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 19,D3,L1,5:5,Handgelenk,Thomas Gfeller,,0.2,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 6,D1,L3,5:5,Handgelenk,,,0.2,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 11,D2,L3,5:5,Handgelenk,,,0.2,Nachsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 19,D1,L2,5:5,Direkt,,,0.2,Auslösung,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 20,D3,L2,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-15_vs_MS16_WaSa,Mid Q Chance Against: 1,D1,L2,5:5,Direkt,,,0.2,Standart,,,,
2022-01-15_vs_MS16_WaSa,Mid Q Chance Against: 2,D2,L1,5:5,Handgelenk,,,0.2,Standart,,,,
2022-01-15_vs_MS16_WaSa,Tor Gegner: 1,D1,L3,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-15_vs_MS16_WaSa,Tor Gegner: 3,D3,L1,5:5,Handgelenk,,,0.2,Konter,,,,
2022-01-15_vs_MS16_WaSa,ZOE For: 7,D2,L1,5:5,,,,0.1,Auslösung,Good,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 1,D1,L1,5:5,Gezogen,Martin Mosimann,,0.1,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 2,D1,L1,5:5,Gezogen,Marco Oliver Gerber,,0.1,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 8,D2,L1,5:5,Gezogen,Marco Oliver Gerber,,0.1,Standart,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 9,D2,L1,5:5,Gezogen,Marco Oliver Gerber,,0.1,Auslösung,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 10,D2,L1,5:5,Handgelenk,Martin Mosimann,,0.1,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 11,D2,L1,5:5,Handgelenk,Thomas Gfeller,,0.1,Standart,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 14,D2,L1,5:5,Handgelenk,Marco Oliver Gerber,,0.1,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 16,D3,"L1, L1",5:5,Gezogen,,,0.1,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 18,D3,L2,5:5,,Gustav Svensson,,0.1,Standart,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 20,D3,L1,5:5,Handgelenk,Marco Oliver Gerber,,0.1,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance For: 21,D3,L2,5:5,Direkt,Gustav Svensson,,0.1,Standart,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 1,D1,L1,5:5,Gezogen,,,0.1,Standart,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 2,D1,L3,5:5,Gezogen,,,0.1,Standart,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 3,D1,L3,5:5,Gezogen,,,0.1,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 4,D1,L1,5:5,Gezogen,,,0.1,Auslösung,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 5,D1,L2,5:5,Direkt,,,0.1,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 7,D2,L3,5:5,Handgelenk,,,0.1,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 8,D2,L1,5:5,Direkt,,,0.1,Standart,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 9,D1,L3,5:5,Gezogen,,,0.1,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 10,D1,L2,5:5,Gezogen,,,0.1,Auslösung,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 12,D2,L3,5:5,Gezogen,,,0.1,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 13,D2,L1,5:5,Gezogen,,,0.1,Festsetzen,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 14,D1,L1,5:5,Direkt,,,0.1,Konter,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 15,D3,L3,5:5,Gezogen,,,0.1,Auslösung,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 16,D1,L1,5:5,Gezogen,,,0.1,Auslösung,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 17,D2,L1,5:5,Direkt,,,0.1,Standart,,,,
2022-01-15_vs_MS16_WaSa,Low Q Chance Against: 18,D3,L1,5:5,Handgelenk,,,0.1,Konter,,,,
