Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-16_vs_MS21_vs_SVWE,ZOE For: 1,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-16_vs_MS21_vs_SVWE,ZOE For: 3,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-16_vs_MS21_vs_SVWE,ZOE For: 4,D2,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-16_vs_MS21_vs_SVWE,ZOE For: 5,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-16_vs_MS21_vs_SVWE,ZOE For: 6,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-16_vs_MS21_vs_SVWE,ZOE For: 7,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-16_vs_MS21_vs_SVWE,ZOE For: 8,D2,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-16_vs_MS21_vs_SVWE,ZOE For: 9,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 2,D1,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 3,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 4,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 5,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 6,D2,"L3, L3","5:5,5:5",,,,,"Auslösung, Festsetzen",,Good,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 7,D2,L2,5:5,,,,,Auslösung,,Good,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 8,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 9,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 10,D3,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 11,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-16_vs_MS21_vs_SVWE,ZOE Gegner: 12,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-16_vs_MS21_vs_SVWE,Tor Gegner: 1,D1,L1,5:5,Direkt,,,0.8,Auslösung,,,,
2022-01-16_vs_MS21_vs_SVWE,Tor Tigers: 3,D3,L1,5:5,"CUTS, Direkt",Kevin Kropf,,0.8,Auslösung,,,,
2022-01-16_vs_MS21_vs_SVWE,Tor Tigers: 1,D1,L2,5:5,"Direkt, Direkt, CUTS",Kevin Kropf,,0.7,Auslösung,,,,
2022-01-16_vs_MS21_vs_SVWE,High Q Chance For: 1,D3,PP1,5:5,Handgelenk,Marco Oliver Gerber,,0.5,Festsetzen,,,,
2022-01-16_vs_MS21_vs_SVWE,Tor Gegner: 5,D3,,5:5,,,,0.4,Standart,,,,
2022-01-16_vs_MS21_vs_SVWE,Low Q Chance For: 29,D3,L1,5:5,"Handgelenk, CUTS",Marco Oliver Gerber,,0.3,Auslösung,,,,
