Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-17_vs_6_Chur,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-17_vs_6_Chur,ZOE For: 2,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-17_vs_6_Chur,ZOE For: 3,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-17_vs_6_Chur,ZOE For: 4,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-17_vs_6_Chur,ZOE For: 5,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-17_vs_6_Chur,ZOE For: 6,D2,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-17_vs_6_Chur,ZOE For: 7,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-17_vs_6_Chur,ZOE For: 8,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-17_vs_6_Chur,ZOE For: 9,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-17_vs_6_Chur,ZOE For: 10,D3,L3,5:5,,,,,Auslösung,Good,,,
2022-01-17_vs_6_Chur,ZOE Gegner: 1,D1,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-17_vs_6_Chur,ZOE Gegner: 2,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-17_vs_6_Chur,ZOE Gegner: 3,D1,L3,5:5,,,,,Auslösung,,Good,,
2022-01-17_vs_6_Chur,ZOE Gegner: 4,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-17_vs_6_Chur,ZOE Gegner: 5,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-17_vs_6_Chur,ZOE Gegner: 6,D2,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-17_vs_6_Chur,ZOE Gegner: 7,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-17_vs_6_Chur,ZOE Gegner: 8,D2,L2,5:5,,,,,Auslösung,,Good,,
2022-01-17_vs_6_Chur,ZOE Gegner: 10,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 14,D2,L2,5:5,Direkt,,,,Festsetzen,,,,
2022-01-17_vs_6_Chur,Tor Tigers: 8,D3,L2,5:6,Handgelenk,Simon Steiner,,0.8,,,,,
2022-01-17_vs_6_Chur,Tor Tigers: 3,D2,L3,5:5,Direkt,Marco Rentsch,,0.5,Standart,,,,
2022-01-17_vs_6_Chur,Tor Tigers: 5,D2,L2,5:5,Gezogen,Simon Steiner,,0.5,Auslösung,,,,
2022-01-17_vs_6_Chur,Tor Tigers: 7,D3,L2,5:5,Handgelenk,Gustav Svensson,,0.5,Festsetzen,,,,
2022-01-17_vs_6_Chur,Tor Tigers: 9,D3,L1,5:6,Handgelenk,Thomas Gfeller,,0.5,,,,,
2022-01-17_vs_6_Chur,High Q Chance Against: 1,D2,L3,5:5,Gezogen,,,0.5,Konter,,,,
2022-01-17_vs_6_Chur,Tor Gegner: 4,D3,L3,5:5,Direkt,,,0.4,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 2,D1,L1,5:5,Direkt,Nick Pfister,,0.3,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 13,D2,L2,5:5,Gezogen,Simon Steiner,,0.3,Standart,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 15,D2,L3,5:5,Handgelenk,Eliah Musio,,0.3,Konter,,,,
2022-01-17_vs_6_Chur,Mid Q Chance Against: 1,D2,L1,5:5,Direkt,,,0.3,Festsetzen,,,,
2022-01-17_vs_6_Chur,Mid Q Chance For: 1,D2,L3,5:5,Direkt,Eliah Musio,,0.3,Konter,,,,
2022-01-17_vs_6_Chur,Tor Gegner: 1,D1,L3,5:5,Handgelenk,,,0.3,Auslösung,,,,
2022-01-17_vs_6_Chur,Tor Tigers: 2,D1,L1,5:5,Direkt,Martin Mosimann,,0.3,Konter,,,,
2022-01-17_vs_6_Chur,Tor Tigers: 4,D2,L1,5:5,"Direkt, CUTS",Stefan Siegenthaler,,0.3,Standart,,,,
2022-01-17_vs_6_Chur,Tor Tigers: 6,D3,L2,5:5,Gezogen,Janis Lauber,,0.3,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 18,D3,L2,5:5,Direkt,Janis Lauber,,"0.2, 0.3",Konter,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 16,D2,L2,5:5,Direkt,Simon Steiner,,"0.2, 0.2",Konter,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 11,"D2, D2","L2, L2","5:5,5:5","Gezogen, Gezogen","Simon Steiner, Simon Steiner",,"0.2, 0.1","Standart, Standart",,,,
2022-01-17_vs_6_Chur,ZOE Gegner: 9,D2,L2,5:5,Direkt,,,0.2,Auslösung,,Good,,
2022-01-17_vs_6_Chur,Low Q Chance For: 4,D1,L1,5:5,Gezogen,Nick Pfister,,0.2,Konter,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 5,D1,L1,5:5,Gezogen,Thomas Gfeller,,0.2,Konter,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 7,D1,L3,5:5,Handgelenk,Marco Rentsch,,0.2,Nachsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 9,D2,L2,5:5,Gezogen,Simon Steiner,,0.2,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 10,D2,L3,5:5,"CUTS, Direkt",Matteo Steiner,,0.2,Standart,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 14,D2,L1,5:5,Direkt,Stefan Siegenthaler,,0.2,Standart,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 17,D3,L2,5:5,Gezogen,Kevin Kropf,,0.2,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 2,D1,L3,5:5,Direkt,,,0.2,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 5,D1,L3,5:5,Handgelenk,,,0.2,Konter,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 9,D2,L2,5:5,Volley,,,0.2,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 10,D2,L2,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 12,D2,L3,5:5,Gezogen,,,0.2,Standart,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 13,D2,L1,5:5,Direkt,,,0.2,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 15,D3,L1,5:5,Direkt,,,0.2,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 16,D3,L3,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 17,D3,L1,5:5,Handgelenk,,,0.2,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 18,D3,L1,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 25,D3,L1,5:5,Handgelenk,,,0.2,Auslösung,,,,
2022-01-17_vs_6_Chur,Mid Q Chance Against: 2,D2,L1,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-17_vs_6_Chur,Mid Q Chance For: 2,D3,L2,5:5,Gezogen,Kevin Kropf,,0.2,Auslösung,,,,
2022-01-17_vs_6_Chur,Tor Gegner: 2,D1,L2,5:5,Gezogen,,,0.2,Standart,,,,
2022-01-17_vs_6_Chur,Tor Gegner: 3,D2,L1,5:5,Gezogen,,,0.2,Nachsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 6,"D1, D1","L2, L2","5:5,5:5","Gezogen, Gezogen","Janis Lauber, Schlegel Lucas",,"0.1, 0.1","Auslösung, Festsetzen",,,,
2022-01-17_vs_6_Chur,Tor Tigers: 1,D1,"L1, L1",5:5,Gezogen,Marco Oliver Gerber,,"0.1, 0.1",Konter,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 1,D1,L2,5:5,Gezogen,Schlegel Lucas,,0.1,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 3,D1,L3,5:5,Handgelenk,Matteo Steiner,,0.1,Konter,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 8,D1,L1,5:5,Gezogen,,,0.1,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance For: 12,D2,L2,5:5,Gezogen,Janis Lauber,,0.1,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 1,D1,L2,5:5,Direkt,,,0.1,Konter,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 3,D1,L2,5:5,Direkt,,,0.1,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 4,D1,L2,5:5,Gezogen,,,0.1,Konter,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 6,D1,L1,5:5,Gezogen,,,0.1,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 7,D2,L2,5:5,Gezogen,,,0.1,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 8,D2,L1,5:5,Direkt,,,0.1,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 11,D2,L3,5:5,Direkt,,,0.1,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 19,D3,L1,5:5,Direkt,,,0.1,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 20,D3,L3,5:5,Gezogen,,,0.1,Standart,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 21,D3,L1,5:5,Gezogen,,,0.1,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 22,D3,L1,5:5,Direkt,,,0.1,Festsetzen,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 23,D3,L1,5:5,Direkt,,,0.1,Auslösung,,,,
2022-01-17_vs_6_Chur,Low Q Chance Against: 24,D3,L1,5:5,,,,0.1,Auslösung,,,,
