Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-18_vs_8_Uster,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-18_vs_8_Uster,ZOE For: 2,D1,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-18_vs_8_Uster,ZOE For: 3,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-18_vs_8_Uster,ZOE For: 4,D1,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-18_vs_8_Uster,ZOE For: 5,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-18_vs_8_Uster,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-18_vs_8_Uster,ZOE Gegner: 2,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-18_vs_8_Uster,ZOE Gegner: 3,D2,L3,5:5,,,,,Auslösung,,Good,,
2022-01-18_vs_8_Uster,ZOE Gegner: 4,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-18_vs_8_Uster,Tor Tigers: 4,D2,L3,5:5,,Marco Rentsch,,0.6,Festsetzen,,,,
2022-01-18_vs_8_Uster,Tor Tigers: 5,D2,L3,5:5,Direkt,Marco Rentsch,,0.6,Standart,,,,
2022-01-18_vs_8_Uster,Mid Q Chance Against: 1,D1,L1,5:5,Handgelenk,,,0.5,Konter,,,,
2022-01-18_vs_8_Uster,Tor Gegner: 1,D1,L3,5:5,Direkt,,,0.5,Nachsetzen,,,,
2022-01-18_vs_8_Uster,Tor Gegner: 3,D3,"L3, L3",5:5,Direkt,,,0.5,Standart,,,,
2022-01-18_vs_8_Uster,Tor Gegner: 4,D3,BP1,4:5,Direkt,,,0.5,,,,,
2022-01-18_vs_8_Uster,Tor Tigers: 2,D1,L1,5:5,Direkt,Christian Stucki,,0.5,Konter,,,,
2022-01-18_vs_8_Uster,Tor Tigers: 3,D1,L2,5:5,Direkt,Simon Steiner,,0.5,Konter,,,,
2022-01-18_vs_8_Uster,Tor Tigers: 8,D2,PP2,5:4,Direkt,Matteo Steiner,,0.5,,,,,
2022-01-18_vs_8_Uster,Tor Tigers: 9,D2,L1,5:5,Gezogen,Thomas Gfeller,,0.5,Konter,,,,
2022-01-18_vs_8_Uster,Tor Tigers: 10,D3,L1,5:5,Direkt,Christian Stucki,,0.5,Konter,,,,
2022-01-18_vs_8_Uster,Tor Tigers: 11,D3,L2,5:5,Volley,Simon Steiner,,0.5,Auslösung,,,,
2022-01-18_vs_8_Uster,Mid Q Chance For: 1,D1,L3,5:5,Direkt,Marco Rentsch,,0.4,Nachsetzen,,,,
2022-01-18_vs_8_Uster,High Q Chance For: 1,D1,L3,5:5,Direkt,Marco Rentsch,,0.4,Konter,,,,
2022-01-18_vs_8_Uster,Low Q Chance For: 6,D1,L2,5:5,Gezogen,Janis Lauber,,0.3,"Konter, Konter",,,,
2022-01-18_vs_8_Uster,Tor Tigers: 6,D2,L1,5:5,Volley,Marco Oliver Gerber,,0.3,Auslösung,,,,
2022-01-18_vs_8_Uster,Tor Tigers: 7,D2,L3,5:5,Handgelenk,Björn Schenkel,,0.3,Konter,,,,
2022-01-18_vs_8_Uster,Low Q Chance Against: 3,"D1, D1","L2, L2","5:5,5:5","Gezogen, Gezogen",,,"0.2, 0.3","Auslösung, Standart",,,,
2022-01-18_vs_8_Uster,Low Q Chance For: 5,D1,L2,5:5,Gezogen,Gustav Svensson,,0.2,Auslösung,,,,
2022-01-18_vs_8_Uster,Low Q Chance For: 7,D2,L1,5:5,Gezogen,Stefan Siegenthaler,,0.2,Standart,,,,
2022-01-18_vs_8_Uster,Low Q Chance For: 8,D2,L2,5:5,Handgelenk,Janis Lauber,,0.2,Auslösung,,,,
2022-01-18_vs_8_Uster,Low Q Chance For: 9,D2,L2,5:5,Gezogen,Gustav Svensson,,0.2,Konter,,,,
2022-01-18_vs_8_Uster,Low Q Chance For: 10,D3,L1,5:5,Handgelenk,Christian Stucki,,0.2,Konter,,,,
2022-01-18_vs_8_Uster,Low Q Chance Against: 1,D1,L2,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-18_vs_8_Uster,Low Q Chance Against: 2,D1,L1,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-18_vs_8_Uster,Low Q Chance Against: 5,D1,L2,5:5,Direkt,,,0.2,Standart,,,,
2022-01-18_vs_8_Uster,Low Q Chance Against: 7,D2,L2,5:5,Direkt,,,0.2,Konter,,,,
2022-01-18_vs_8_Uster,Low Q Chance Against: 8,D2,L3,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-18_vs_8_Uster,Tor Gegner: 2,D3,L3,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-18_vs_8_Uster,Low Q Chance Against: 6,D1,L2,5:5,Gezogen,,,"0.1, 0.2",Konter,,,,
2022-01-18_vs_8_Uster,Low Q Chance For: 1,D1,L1,5:5,Gezogen,Martin Mosimann,,0.1,Auslösung,,,,
2022-01-18_vs_8_Uster,Low Q Chance For: 2,D1,L1,5:5,Gezogen,Martin Mosimann,,0.1,Auslösung,,,,
2022-01-18_vs_8_Uster,Low Q Chance For: 3,D1,L2,5:5,Gezogen,Marco Oliver Gerber,,0.1,Auslösung,,,,
2022-01-18_vs_8_Uster,Low Q Chance For: 4,D1,"BP2, L3",5:5,Direkt,Marco Rentsch,,0.1,Nachsetzen,,,,
2022-01-18_vs_8_Uster,Low Q Chance Against: 4,D1,L2,5:5,Gezogen,,,0.1,Auslösung,,,,
2022-01-18_vs_8_Uster,Low Q Chance Against: 9,D2,L1,5:5,Gezogen,,,0.1,Konter,,,,
2022-01-18_vs_8_Uster,Tor Tigers: 1,D1,L1,5:5,,Christian Stucki,,0.1,Auslösung,,,,
