Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-20_vs_PlayoffVF3,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-20_vs_PlayoffVF3,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-20_vs_PlayoffVF3,ZOE For: 3,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-20_vs_PlayoffVF3,ZOE For: 4,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-20_vs_PlayoffVF3,ZOE For: 5,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-20_vs_PlayoffVF3,ZOE For: 6,D1,,5:5,,,,,Auslösung,Bad,,,
2022-01-20_vs_PlayoffVF3,ZOE For: 7,D2,L2,5:5,,Simon Steiner,,,Auslösung,Good,,,
2022-01-20_vs_PlayoffVF3,ZOE For: 8,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-20_vs_PlayoffVF3,ZOE For: 9,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-20_vs_PlayoffVF3,ZOE For: 10,D3,L1,5:5,,Matteo Steiner,,,Auslösung,Good,,,
2022-01-20_vs_PlayoffVF3,ZOE For: 11,D3,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 2,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 3,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 4,D1,L3,5:5,,,,,Auslösung,,Good,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 5,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 6,D1,L3,5:5,,,,,Auslösung,,Good,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 7,D1,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 8,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 9,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 10,D2,L2,5:5,,,,,Auslösung,,Good,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 11,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 12,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-20_vs_PlayoffVF3,ZOE Gegner: 13,D3,L2,5:5,,,,,Auslösung,,Good,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 6,D1,L2,5:5,Gezogen,Simon Steiner,,,Nachsetzen,,,,
2022-01-20_vs_PlayoffVF3,Tor Gegner: 2,D1,L2,5:5,Handgelenk,,,0.7,Konter,,,,
2022-01-20_vs_PlayoffVF3,High Q Chance Against: 1,D2,L3,5:5,Direkt,,,0.6,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Tor Gegner: 4,D2,L1,5:5,Direkt,,,0.5,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Tor Tigers: 2,D3,,,Direkt,Simon Steiner,,0.5,Nachsetzen,,,,
2022-01-20_vs_PlayoffVF3,Tor Tigers: 4,D3,PP1,5:4,Direkt,Simon Steiner,,0.5,,,,,
2022-01-20_vs_PlayoffVF3,Mid Q Chance For: 1,D1,L2,5:5,Direkt,Janis Lauber,,0.4,Konter,,,,
2022-01-20_vs_PlayoffVF3,Mid Q Chance For: 2,D2,L2,5:5,Handgelenk,Simon Steiner,,0.4,Konter,,,,
2022-01-20_vs_PlayoffVF3,Tor Tigers: 1,D1,PP1,5:5,,Janis Lauber,,0.4,Festsetzen,,,,
2022-01-20_vs_PlayoffVF3,Pot + Chance Against: 1,D3,L2,5:5,Direkt,,,0.4,Konter,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 7,D1,L2,5:5,Direkt,Janis Lauber,,0.3,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 9,D2,,5:5,Gezogen,Simon Steiner,,0.3,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 23,D3,L2,5:5,Handgelenk,Marco Rentsch,,0.3,Konter,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance Against: 20,D3,L2,5:5,Gezogen,,,0.3,Festsetzen,,,,
2022-01-20_vs_PlayoffVF3,Mid Q Chance Against: 1,D1,L1,5:5,Direkt,,,0.3,Nachsetzen,,,,
2022-01-20_vs_PlayoffVF3,Tor Gegner: 5,D3,L2,5:5,Gezogen,,,0.3,Standart,,,,
2022-01-20_vs_PlayoffVF3,Tor Tigers: 3,D1,L2,5:5,Handgelenk,Jan Ewald,,0.3,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 2,D1,L2,5:5,Gezogen,Janis Lauber,,0.2,Festsetzen,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 4,D1,L2,5:5,,Janis Lauber,,0.2,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 5,D1,L3,,Gezogen,Jan Ewald,,0.2,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 12,D2,L2,5:5,Gezogen,Simon Steiner,,0.2,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 20,D3,L2,5:5,Gezogen,Stefan Siegenthaler,,0.2,,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 21,D3,L2,5:5,Gezogen,Simon Steiner,,0.2,Konter,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance Against: 1,D1,L2,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance Against: 8,D1,L3,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance Against: 11,D2,L3,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance Against: 12,D2,L1,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance Against: 18,D3,L2,5:5,Direkt,,,0.2,Festsetzen,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance Against: 23,D3,L2,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-20_vs_PlayoffVF3,Tor Gegner: 1,D1,L3,5:5,Direkt,,,0.2,Konter,,,,
2022-01-20_vs_PlayoffVF3,Tor Gegner: 3,D2,,5:5,Gezogen,,,0.2,Standart,,,,
2022-01-20_vs_PlayoffVF3,Pot + Chance For: 1,D2,,5:5,Direkt,"Simon Steiner, Simon Steiner",,0.2,Festsetzen,,,,
2022-01-20_vs_PlayoffVF3,Pot + Chance For: 2,D3,L2,5:5,Volley,Jan Ewald,,0.2,Konter,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 17,D3,L2,5:5,Gezogen,Jan Ewald,,"0.1, 0.1",Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 1,D1,L2,5:5,Volley,Janis Lauber,,0.1,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 3,D1,L2,5:5,,Simon Steiner,,0.1,Standart,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 8,D2,L1,5:5,,Maurice Aebersold,,0.1,Festsetzen,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 10,D2,L2,5:5,,Gustav Svensson,,0.1,Auslösung,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 11,D2,L2,5:5,Direkt,Marco Rentsch,,0.1,Standart,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 13,D2,L1,5:5,Gezogen,Maurice Aebersold,,0.1,Konter,,,,
2022-01-20_vs_PlayoffVF3,Low Q Chance For: 14,D2,L2,5:5,Direkt,Marco Rentsch,,0.1,Auslösung,,,,
