Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Taktische Spielsituation,ZOE_For,ZOE_Against,Schussmetrik,Schusslabels
2022-01-23_VF6FBK,ZOE For: 1,D1,L2,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 2,D1,L1,5:5,,,Auslösung,Bad,,,
2022-01-23_VF6FBK,ZOE For: 3,D1,L1,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 4,D1,L3,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 5,D1,L1,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 6,D1,L2,5:5,,,Auslösung,Bad,,,
2022-01-23_VF6FBK,ZOE For: 7,D1,L3,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 8,D1,L1,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 9,D1,L1,5:5,,,Auslösung,Bad,,,
2022-01-23_VF6FBK,ZOE For: 10,D1,L2,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 11,D1,L3,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 12,D1,L1,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 13,D1,L1,5:5,,,Auslösung,Bad,,,
2022-01-23_VF6FBK,ZOE For: 14,D1,L1,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 15,D2,L1,5:5,,,Auslösung,Bad,,,
2022-01-23_VF6FBK,ZOE For: 16,D2,L2,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 17,D2,L2,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 18,D2,L3,5:5,,,Auslösung,Bad,,,
2022-01-23_VF6FBK,ZOE For: 19,D2,L1,5:5,,,Auslösung,Bad,,,
2022-01-23_VF6FBK,ZOE For: 20,D2,L2,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 21,D2,L1,5:5,,,Auslösung,Bad,,,
2022-01-23_VF6FBK,ZOE For: 22,D2,L3,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 23,D2,L1,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 24,D2,L2,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 25,D3,L2,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,ZOE For: 26,OT,L1,5:5,,,Auslösung,Good,,,
2022-01-23_VF6FBK,Low Q Chance For: 1,D1,L2,5:5,Direkt,Luca Fankhauser,Konter,,,,
2022-01-23_VF6FBK,Low Q Chance For: 2,D1,L3,5:5,Gezogen,Luca Fankhauser,Auslösung,,,,
2022-01-23_VF6FBK,Low Q Chance For: 3,D1,L2,5:5,Gezogen,Simon Steiner,Auslösung,,,,
2022-01-23_VF6FBK,Low Q Chance For: 4,D1,L1,5:5,Gezogen,Christian Stucki,Konter,,,,
2022-01-23_VF6FBK,Low Q Chance For: 5,D2,L2,5:5,Volley,Simon Steiner,Auslösung,,,,
2022-01-23_VF6FBK,Low Q Chance For: 6,D2,L2,5:5,,Simon Steiner,Nachsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance For: 7,D2,L2,5:5,Direkt,Janis Lauber,Auslösung,,,,
2022-01-23_VF6FBK,Low Q Chance For: 8,D2,L2,5:5,Direkt,Simon Steiner,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance For: 9,D2,L2,5:5,Gezogen,Janis Lauber,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance For: 10,D2,L1,5:5,Gezogen,Marco Oliver Gerber,Auslösung,,,,
2022-01-23_VF6FBK,Low Q Chance For: 11,D2,L2,5:5,Handgelenk,"Simon Steiner, Simon Steiner",Konter,,,,
2022-01-23_VF6FBK,Low Q Chance For: 12,D3,L2,5:5,Gezogen,Gustav Svensson,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance For: 13,D3,L2,5:5,Direkt,Kevin Kropf,Auslösung,,,,
2022-01-23_VF6FBK,Low Q Chance For: 14,D3,L1,5:5,Volley,Christian Stucki,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance For: 15,D3,L2,5:5,Gezogen,Gustav Svensson,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance For: 16,D3,L2,5:5,Volley,"Simon Steiner, Simon Steiner",Auslösung,,,,
2022-01-23_VF6FBK,Low Q Chance For: 17,D3,L2,5:5,Gezogen,Simon Steiner,Nachsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance For: 18,OT,L1,5:5,Gezogen,Simon Steiner,Nachsetzen,,,,
2022-01-23_VF6FBK,High Q Chance For: 1,D1,L2,5:5,Gezogen,Gustav Svensson,Konter,,,,
2022-01-23_VF6FBK,High Q Chance For: 2,D1,L2,5:5,Direkt,Simon Steiner,Auslösung,,,,
2022-01-23_VF6FBK,High Q Chance For: 3,D1,L2,5:5,Gezogen,Kevin Kropf,,,,,
2022-01-23_VF6FBK,High Q Chance For: 4,D2,L2,5:5,Direkt,Kevin Kropf,Nachsetzen,,,,
2022-01-23_VF6FBK,High Q Chance For: 5,D3,L2,5:5,Gezogen,Simon Steiner,Nachsetzen,,,,
2022-01-23_VF6FBK,High Q Chance For: 6,D3,L2,5:5,Handgelenk,Simon Steiner,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 1,D1,L1,5:5,Direkt,,Standart,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 2,D1,L2,5:5,Gezogen,,"Konter, Auslösung",,,,
2022-01-23_VF6FBK,Low Q Chance Against: 3,D1,L3,5:5,Gezogen,,Konter,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 4,D1,L2,5:5,Gezogen,,Nachsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 5,D1,L1,5:5,Direkt,,Standart,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 6,D1,L2,5:5,Gezogen,,Auslösung,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 7,D1,L2,5:5,Direkt,,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 8,D2,L3,5:5,Gezogen,,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 9,D2,L3,5:5,Gezogen,,Standart,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 10,D2,L3,5:5,Gezogen,,Konter,,,,
