Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Spieler Tigers,Taktische Spielsituation,ZOE_For,ZOE_Against,Schussmetrik,Schusslabels
2022-01-24_vs_VF5FBK,ZOE Gegner: 1,D1,L2,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 2,D1,L2,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 3,D1,L3,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 4,D1,L1,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 5,D1,L1,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 6,D1,L2,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 7,D1,L1,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 8,D1,L1,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 9,D2,L3,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 10,D2,L1,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 11,D2,L1,5:5,,Auslösung,,Bad,,
2022-01-24_vs_VF5FBK,ZOE Gegner: 12,D2,L1,5:5,,Auslösung,,Good,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 1,D1,L1,5:5,,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 2,D1,L2,5:5,,Nachsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 3,D1,L1,5:5,,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 4,D1,L3,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 5,D1,L2,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 6,D1,L1,5:5,,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 7,D1,L1,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 8,D2,L1,5:5,,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 9,D2,L2,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 10,D2,L1,5:5,,Standart,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 11,D2,L1,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 12,D2,L2,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 13,D2,L1,5:5,,Auslösung,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 14,D3,L1,5:5,,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 15,D3,L2,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 16,D3,L1,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 17,D3,L3,5:5,,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 18,D3,L3,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Low Q Chance Against: 19,D3,L2,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,High Q Chance Against: 1,D1,L2,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,High Q Chance Against: 2,D3,L1,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,High Q Chance Against: 3,D3,L1,5:5,,Nachsetzen,,,,
2022-01-24_vs_VF5FBK,High Q Chance Against: 4,D3,L3,5:5,,Konter,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 1,D1,L2,5:5,Simon Steiner,Konter,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 2,D1,L1,5:5,Janis Lauber,Konter,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 3,D3,L1,5:5,"Matteo Steiner, Matteo Steiner",Konter,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 4,D3,L2,5:5,Simon Steiner,Konter,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 5,D3,L2,5:5,Kevin Kropf,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Pot + Chance For: 6,D3,L2,5:5,Janis Lauber,Festsetzen,,,,
