Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS1_Zug_United,ZOE Gegner: 1,,D1,L2,5:5,,,,,Auslösung,,,Bad
MS1_Zug_United,ZOE Gegner: 2,,D1,L2,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,ZOE Gegner: 3,,D1,L3,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,ZOE Gegner: 4,,D1,L1,5:5,,,,,Auslösung,,,Bad
MS1_Zug_United,ZOE Gegner: 5,,D1,L3,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,ZOE Gegner: 6,,D1,L2,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,ZOE Gegner: 7,,D1,L2,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,ZOE Gegner: 8,,D1,L2,5:5,,,,,Auslösung,,,Bad
MS1_Zug_United,ZOE Gegner: 9,,D1,L2,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,ZOE Gegner: 10,,D1,L1,5:5,,,,,Auslösung,,,Bad
MS1_Zug_United,ZOE Gegner: 11,,D1,L2,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,ZOE Gegner: 12,,D2,L3,5:5,,,,,Auslösung,,,Bad
MS1_Zug_United,ZOE Gegner: 13,,D2,L1,5:5,,,,,Auslösung,,,Bad
MS1_Zug_United,ZOE Gegner: 14,,D2,L1,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,ZOE Gegner: 15,,D2,L1,5:5,,,,,Auslösung,,,Bad
MS1_Zug_United,ZOE Gegner: 16,,D3,L1,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,ZOE Gegner: 17,,D3,L2,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,ZOE Gegner: 18,,D3,L1,5:5,,,,,Auslösung,,,Good
MS1_Zug_United,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L3,5:5,Gezogen,Geblockt,Seya Schwarz,,Auslösung,0.3,,
