Timeline,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS3_SVWE,ZOE Gegner: 1,D1,L1,5:5,,,,,Auslösung,,,Bad
MS3_SVWE,ZOE Gegner: 2,D1,L1,5:5,,,,,Auslösung,,,Bad
MS3_SVWE,ZOE Gegner: 3,D1,L1,5:5,,,,,Auslösung,,,Bad
MS3_SVWE,ZOE Gegner: 4,D1,L2,5:5,,,,,Auslösung,,,Bad
MS3_SVWE,ZOE Gegner: 5,D1,L3,5:5,,,,,Auslösung,,,Good
MS3_SVWE,ZOE Gegner: 6,D1,L2,5:5,,,,,Auslösung,,,Bad
MS3_SVWE,ZOE Gegner: 7,D1,L3,5:5,,,,,Auslösung,,,Good
MS3_SVWE,ZOE Gegner: 8,D3,L2,5:5,,,,,Auslösung,,,Good
MS3_SVWE,ZOE Gegner: 9,D3,L2,5:5,,,,,Auslösung,,,Good
MS3_SVWE,ZOE Gegner: 10,D1,L2,5:5,,,,,Auslösung,,,Good
MS3_SVWE,ZOE Gegner: 11,OT,L1,5:5,,,,,Auslösung,,,Good
MS3_SVWE,Low Q Chance For: 1,D1,L2,5:5,Gezogen,Auf Tor,Matteo Steiner,,Konter,0.2,,
MS3_SVWE,Low Q Chance For: 2,D1,L2,5:5,Gezogen,Geblockt,Matteo Steiner,Elias Lunnestad,Auslösung,0.1,,
MS3_SVWE,Low Q Chance For: 3,D1,L2,5:5,Direkt,Auf Tor,Matteo Steiner,,Standart,0.1,,
MS3_SVWE,Low Q Chance For: 4,D1,L1,5:5,Gezogen,Geblockt,Kevin Kropf,Gustav Svensson,Auslösung,0.1,,
MS3_SVWE,Low Q Chance For: 5,D1,L2,5:5,Handgelenk,Auf Tor,Hannes Kjellberg,Hannes Kjellberg,Festsetzen,0.1,,
MS3_SVWE,Low Q Chance For: 6,D1,L1,5:5,Gezogen,Auf Tor,Janis Lauber,Kevin Kropf,Festsetzen,0.2,,
MS3_SVWE,Low Q Chance For: 7,D1,L1,5:5,Gezogen,Geblockt,Kevin Kropf,,Standart,0.2,,
MS3_SVWE,Low Q Chance For: 8,D1,L2,5:5,Gezogen,Geblockt,Matteo Steiner,Elias Lunnestad,Standart,0.1,,
MS3_SVWE,Low Q Chance For: 9,D1,L3,5:5,Gezogen,Geblockt,Jan Ewald,,Auslösung,0.1,,
MS3_SVWE,Low Q Chance For: 10,D1,L3,5:5,Handgelenk,Geblockt,Christian Stucki,Matteo Steiner,Konter,0.2,,
MS3_SVWE,Low Q Chance For: 11,D2,L2,5:5,Handgelenk,Neben Tor,Luca Steiner,,Konter,0.2,,
MS3_SVWE,Low Q Chance For: 12,D2,L1,5:5,Direkt,Neben Tor,Simon Steiner,Gustav Svensson,Auslösung,0.2,,
MS3_SVWE,Low Q Chance For: 13,D2,L2,5:5,Direkt,Auf Tor,Matteo Steiner,Lucas Schlegel,Auslösung,0.1,,
MS3_SVWE,Low Q Chance For: 14,D2,L2,5:5,Direkt,Neben Tor,Hannes Kjellberg,,Standart,0.1,,
MS3_SVWE,Low Q Chance For: 15,D2,L3,5:5,Gezogen,Auf Tor,Lukas Münger,,Festsetzen,0.1,,
MS3_SVWE,Low Q Chance For: 16,D2,L2,5:5,Direkt,Geblockt,Luca Steiner,Matteo Steiner,Auslösung,0.1,,
MS3_SVWE,Low Q Chance For: 17,D2,L1,5:5,Handgelenk,Neben Tor,Janis Lauber,Schwarz Janis,Auslösung,0.1,,
MS3_SVWE,Low Q Chance For: 18,D3,L2,5:5,Direkt,Neben Tor,Elias Lunnestad,Hannes Kjellberg,"Auslösung, Auslösung",0.2,,
MS3_SVWE,Low Q Chance For: 19,D3,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,,Auslösung,0.2,,
MS3_SVWE,Low Q Chance For: 20,D3,L1,5:5,Direkt,Neben Tor,Simon Steiner,Gustav Svensson,Festsetzen,0.2,,
MS3_SVWE,Low Q Chance For: 21,D3,L2,5:5,Handgelenk,Geblockt,Matteo Steiner,,Konter,0.1,,
MS3_SVWE,Low Q Chance For: 22,D3,L1,5:5,Direkt,Auf Tor,Kevin Kropf,Gustav Svensson,Auslösung,0.2,,
MS3_SVWE,Low Q Chance For: 23,D3,L2,5:5,Direkt,Geblockt,Hannes Kjellberg,,Konter,0.2,,
MS3_SVWE,Low Q Chance For: 24,D3,L1,5:5,Handgelenk,Auf Tor,Janis Schwarz,,Auslösung,0.2,,
MS3_SVWE,Low Q Chance For: 25,D3,L2,5:5,Gezogen,Geblockt,Matteo Steiner,,Auslösung,0.1,,
MS3_SVWE,Low Q Chance For: 26,D3,L1,5:5,Direkt,Neben Tor,Kevin Kropf,Janis Lauber,Auslösung,0.2,,
MS3_SVWE,Low Q Chance For: 27,D3,L1,5:5,Gezogen,Auf Tor,Simon Steiner,Gustav Svensson,Auslösung,0.1,,
MS3_SVWE,Low Q Chance For: 28,OT,L2,5:5,Gezogen,Geblockt,Hannes Kjellberg,,Konter,0.2,,
MS3_SVWE,ZOE For: 1,D1,L3,5:5,,,Maurice Aebersold,Lukas Münger,Auslösung,,Good,
MS3_SVWE,ZOE For: 2,D1,L1,5:5,,,Maurice Aebersold,Gustav Svensson,Auslösung,,Bad,
MS3_SVWE,ZOE For: 3,D1,L1,5:5,,,Gustav Svensson,,Auslösung,,Good,
