Timeline,Action,Drittel,Lines,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS4_WaSa (A),ZOE For: 1,D1,L2,5:5,,,Björn Schenkel,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 2,D1,L1,5:5,,,Schwarz Janis,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 3,D1,L3,5:5,,,Maurice Aebersold,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 4,D1,L2,5:5,,,Elias Lunnestad,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 5,D1,L1,5:5,,,Micha Strohl,Janis Lauber,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 6,D1,L1,5:5,,,Strohl Micha,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 7,D1,L1,5:5,,,Micha Strohl,Janis Lauber,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 8,D1,L2,5:5,,,Hannes Kjellberg,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 9,D1,L1,5:5,,,Strohl Micha,Janis Lauber,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 10,D1,L1,5:5,,,Strohl Micha,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 11,D2,L3,5:5,,,Nick Pfister,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 12,D2,L1,5:5,,,Schwarz Janis,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 13,D2,L2,5:5,,,Steiner Luca,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 14,D2,L1,5:5,,,Strohl Micha,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 15,D2,L1,5:5,,,Elias Lunnestad,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 16,D2,L1,5:5,,,Strohl Micha,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 17,D2,L3,5:5,,,Steiner Luca,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 18,D2,L2,5:5,,,Elias Lunnestad,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 19,D2,L3,5:5,,,Lukas Münger,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 20,D2,L3,5:5,,,Lukas Münger,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 21,D2,L1,5:5,,,Schwarz Janis,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 22,D2,L1,5:5,,,Strohl Micha,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 23,D3,L2,5:5,,,Steiner Luca,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 24,D3,L2,5:5,,,Elias Lunnestad,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 25,D3,L1,5:5,,,Schwarz Janis,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 26,D3,L2,5:5,,,Elias Lunnestad,,Auslösung,,Good,
MS4_WaSa (A),ZOE For: 27,D3,L1,5:5,,,Strohl Micha,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 28,D3,L1,5:5,,,Schwarz Janis,,Auslösung,,Bad,
MS4_WaSa (A),ZOE For: 29,D3,L2,5:5,,,Steiner Luca,,Auslösung,,Bad,
MS4_WaSa (A),ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,,Good
MS4_WaSa (A),ZOE Gegner: 2,D1,L3,5:5,,,,,Auslösung,,,Bad
MS4_WaSa (A),ZOE Gegner: 3,D1,L2,5:5,,,,,Auslösung,,,Good
MS4_WaSa (A),ZOE Gegner: 4,D1,L3,5:5,,,,,Auslösung,,,Bad
MS4_WaSa (A),ZOE Gegner: 5,D1,L2,5:5,,,,,Auslösung,,,Bad
MS4_WaSa (A),ZOE Gegner: 6,D1,L3,5:5,,,,,Auslösung,,,Good
MS4_WaSa (A),ZOE Gegner: 7,D1,L3,5:5,,,,,Auslösung,,,Good
MS4_WaSa (A),ZOE Gegner: 8,D1,L2,5:5,,,,,Auslösung,,,Bad
MS4_WaSa (A),ZOE Gegner: 9,D1,L3,5:5,,,,,Auslösung,,,Good
MS4_WaSa (A),ZOE Gegner: 10,D1,L2,5:5,,,,,Auslösung,,,Good
MS4_WaSa (A),ZOE Gegner: 11,D2,L1,5:5,,,,,Auslösung,,,Good
MS4_WaSa (A),ZOE Gegner: 12,D2,L3,5:5,,,,,Auslösung,,,Bad
MS4_WaSa (A),ZOE Gegner: 13,D2,L2,5:5,,,,,Auslösung,,,Good
MS4_WaSa (A),ZOE Gegner: 14,D3,L1,5:5,,,,,Auslösung,,,Bad
MS4_WaSa (A),ZOE Gegner: 15,D3,L2,5:5,,,,,Auslösung,,,Good
MS4_WaSa (A),Low Q Chance Against: 1,D1,L1,5:5,Handgelenk,Geblockt,,,Konter,0.1,,
MS4_WaSa (A),Low Q Chance Against: 2,D1,L1,5:5,Gezogen,Geblockt,Janis Lauber,,Auslösung,0.1,,
MS4_WaSa (A),Low Q Chance Against: 3,D1,L1,5:5,Handgelenk,Neben Tor,,,Auslösung,0.1,,
MS4_WaSa (A),Low Q Chance Against: 4,D1,L1,5:5,Gezogen,,,,Festsetzen,0.1,,
MS4_WaSa (A),Low Q Chance Against: 5,D1,L2,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
MS4_WaSa (A),Low Q Chance Against: 6,D1,L1,5:5,Handgelenk,Auf Tor,,,Standart,0.2,,
