Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS5_HCR,High Q Chance For: 1,D1,L2,5:5,Direkt,Auf Tor,Nick Pfister,Janis Lauber,Nachsetzen,0.5,,
MS5_HCR,High Q Chance For: 2,D2,L3,5:5,Direkt,Neben Tor,Elias Lunnestad,Hannes Kjellberg,Festsetzen,0.3,,
MS5_HCR,Low Q Chance Against: 1,D1,L1,5:5,Volley,Neben Tor,,,Standart,0.1,,
MS5_HCR,Low Q Chance Against: 2,D1,L3,5:5,Direkt,Neben Tor,,,Auslösung,0.1,,
MS5_HCR,Low Q Chance Against: 3,D1,L3,5:5,Gezogen,Auf Tor,,,Konter,0.1,,
MS5_HCR,Low Q Chance Against: 4,D1,L2,5:5,Direkt,Geblockt,,,Standart,0.1,,
MS5_HCR,Low Q Chance Against: 5,D2,L1,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS5_HCR,Low Q Chance Against: 6,D2,L1,5:5,Direkt,Geblockt,Steiner Simon,,Standart,0.1,,
MS5_HCR,Low Q Chance Against: 7,D2,L1,5:5,Gezogen,Neben Tor,,,Konter,0.1,,
MS5_HCR,Low Q Chance Against: 8,D2,L3,5:5,Gezogen,Geblockt,Christian Stucki,,Standart,0.1,,
MS5_HCR,Low Q Chance Against: 9,D2,L1,5:5,Gezogen,Geblockt,Jan Ewald,,Standart,0.1,,
MS5_HCR,Low Q Chance Against: 10,D2,L1,5:5,Gezogen,,,,Standart,0.1,,
MS5_HCR,Low Q Chance Against: 11,D3,L3,5:5,Gezogen,Geblockt,Elias Lunnestad,,Standart,0.1,,
MS5_HCR,Low Q Chance Against: 12,D3,L1,5:5,Gezogen,Geblockt,Kevin Kropf,,Festsetzen,0.1,,
MS5_HCR,Low Q Chance Against: 13,D3,L3,5:5,Volley,Geblockt,Steiner Luca,,Auslösung,0.2,,
MS5_HCR,Low Q Chance For: 1,D1,L3,5:5,Direkt,Neben Tor,Hannes Kjellberg,Elias Lunnestad,Standart,0.1,,
MS5_HCR,Low Q Chance For: 2,D1,L3,5:5,Gezogen,Geblockt,Jan Ewald,Elias Lunnestad,Standart,0.1,,
MS5_HCR,Low Q Chance For: 3,D1,L3,5:5,Direkt,Auf Tor,Jan Ewald,Steiner Simon,Konter,0.2,,
MS5_HCR,Low Q Chance For: 4,D1,L3,5:5,Handgelenk,Neben Tor,Hannes Kjellberg,,Auslösung,0.1,,
MS5_HCR,Low Q Chance For: 5,D1,L3,5:5,Gezogen,Auf Tor,Jan Ewald,,Nachsetzen,0.1,,
MS5_HCR,Low Q Chance For: 6,D1,L2,5:5,Gezogen,Neben Tor,Luca Fankhauser,Christian Stucki,Festsetzen,0.1,,
MS5_HCR,Low Q Chance For: 7,D1,L2,5:5,Gezogen,Geblockt,Matteo Steiner,,Auslösung,0.1,,
MS5_HCR,Low Q Chance For: 8,D1,L3,5:5,Gezogen,Geblockt,Hannes Kjellberg,,Standart,0.1,,
MS5_HCR,Low Q Chance For: 9,D1,L3,5:5,Gezogen,Neben Tor,Elias Lunnestad,,Festsetzen,0.2,,
MS5_HCR,Low Q Chance For: 10,D1,L3,5:5,Handgelenk,Geblockt,Hannes Kjellberg,,Auslösung,0.1,,
MS5_HCR,Low Q Chance For: 11,D1,L3,5:5,Volley,Neben Tor,Hannes Kjellberg,Elias Lunnestad,Standart,0.2,,
MS5_HCR,Low Q Chance For: 12,D2,L1,5:5,Gezogen,Geblockt,Kevin Kropf,,Nachsetzen,0.1,,
MS5_HCR,Low Q Chance For: 13,D2,L1,5:5,Handgelenk,Geblockt,Christian Stucki,,Festsetzen,0.1,,
MS5_HCR,Low Q Chance For: 14,D2,L1,5:5,Gezogen,Geblockt,Gustav Svensson,,Standart,0.1,,
MS5_HCR,Low Q Chance For: 15,D2,L3,5:5,Direkt,Neben Tor,Luca Steiner,,Festsetzen,0.1,,
MS5_HCR,Low Q Chance For: 16,D2,L1,5:5,Gezogen,Auf Tor,Simon Steiner,,Auslösung,0.2,,
MS5_HCR,Low Q Chance For: 17,D2,L2,5:5,Gezogen,Geblockt,Matteo Steiner,Janis Lauber,Festsetzen,0.2,,
MS5_HCR,Low Q Chance For: 18,D3,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,,Konter,0.2,,
MS5_HCR,Low Q Chance For: 19,D3,L3,5:5,Handgelenk,Auf Tor,Hannes Kjellberg,,Auslösung,0.2,,
MS5_HCR,Low Q Chance For: 20,D3,L3,5:5,Handgelenk,Auf Tor,Hannes Kjellberg,,Auslösung,0.1,,
MS5_HCR,Low Q Chance For: 21,D3,L3,5:5,Gezogen,Auf Tor,Jan Ewald,,Auslösung,0.2,,
MS5_HCR,Low Q Chance For: 22,D3,L1,5:5,Gezogen,Geblockt,Kevin Kropf,,Nachsetzen,0.1,,
MS5_HCR,Low Q Chance For: 23,D3,L1,5:5,Handgelenk,Geblockt,Kevin Kropf,,Konter,0.1,,
MS5_HCR,Low Q Chance For: 24,D3,L2,5:5,Gezogen,Auf Tor,Luca Fankhauser,,Auslösung,0.1,,
MS5_HCR,Mid Q Chance Against: 1,D1,L1,5:5,Direkt,Auf Tor,,,Auslösung,0.2,,
MS5_HCR,Mid Q Chance Against: 2,D3,L2,5:5,Gezogen,Auf Tor,,,Konter,0.3,,
MS5_HCR,Mid Q Chance Against: 3,D3,L3,5:5,Direkt,Geblockt,Micha Strohl,,Konter,0.3,,
MS5_HCR,Mid Q Chance Against: 4,D3,L2,5:5,,Auf Tor,Nick Pfister,,Konter,0.5,,
MS5_HCR,Mid Q Chance For: 1,D1,L2,5:5,Direkt,,Matteo Steiner,,Auslösung,0.3,,
MS5_HCR,Mid Q Chance For: 2,D2,L3,5:5,Direkt,,Jan Ewald,,Standart,0.3,,
MS5_HCR,Mid Q Chance For: 3,D3,L2,5:5,Direkt,,Janis Lauber,,Auslösung,0.3,,
MS5_HCR,Nachsetzen: 1,D1,L3,5:5,,,,,,,,
MS5_HCR,Nachsetzen: 2,D2,L1,5:5,,,,,,,,
MS5_HCR,Pot + Chance For: 1,D1,L2,5:5,Direkt,,Christian Stucki,Matteo Steiner,Konter,0.5,,
MS5_HCR,Pot + Chance For: 2,D1,L2,5:5,,,,Janis Lauber,,,,
MS5_HCR,Pressing: 1,D3,L1,5:5,,,,,,,,
MS5_HCR,Start: 1,,,,,,,,,,,
MS5_HCR,Tor Gegner: 1,D1,L1,5:5,Gezogen,,,,Festsetzen,0.2,,
MS5_HCR,Tor Gegner: 2,D1,L2,5:5,Gezogen,,,,Konter,0.3,,
MS5_HCR,Tor Gegner: 3,D1,L1,5:5,Direkt,,,,Festsetzen,0.8,,
MS5_HCR,Tor Gegner: 4,D1,L2,5:5,Gezogen,,,,Auslösung,0.6,,
MS5_HCR,Tor Gegner: 5,D1,L1,5:5,Gezogen,,,,Konter,0.2,,
MS5_HCR,Tor Gegner: 6,D2,L1,5:5,Gezogen,,,,Festsetzen,0.4,,
