Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
Cup 1_8 Wiler,High Q Chance Against: 1,D1,L3,5:5,Handgelenk,Neben Tor,,,Festsetzen,0.6,,
Cup 1_8 Wiler,High Q Chance Against: 2,D2,L2,5:5,Direkt,Auf Tor,,,Konter,0.4,,
Cup 1_8 Wiler,High Q Chance Against: 3,D3,L2,5:5,Direkt,Neben Tor,,,Auslösung,0.3,,
Cup 1_8 Wiler,High Q Chance For: 1,D3,L2,5:5,Direkt,Geblockt,Christian Stucki,,Auslösung,0.6,,
Cup 1_8 Wiler,Low Q Chance Against: 1,D1,L1,5:5,Direkt,Neben Tor,,,Konter,0.2,,
Cup 1_8 Wiler,Low Q Chance Against: 2,D1,L2,5:5,Gezogen,Geblockt,Maurice Aebersold,,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 3,D1,L3,5:5,Handgelenk,Geblockt,Steiner Luca,,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 4,D1,L3,5:5,Handgelenk,Neben Tor,,,Konter,0.2,,
Cup 1_8 Wiler,Low Q Chance Against: 5,D1,L3,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 6,D1,L1,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 7,D1,L1,5:5,Gezogen,Geblockt,Gustav Svensson,,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 8,D1,L2,5:5,Gezogen,Geblockt,Maurice Aebersold,,Konter,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 9,D1,L2,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 10,D1,L1,5:5,Handgelenk,Geblockt,Schwarz Janis,,Nachsetzen,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 11,D2,L1,5:5,Handgelenk,Geblockt,,,Konter,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 12,D2,L1,5:5,Gezogen,Geblockt,Schwarz Janis,,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 13,D2,L1,5:5,Direkt,Neben Tor,,,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance Against: 14,D3,L1,5:5,Direkt,Geblockt,Steiner Simon,,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 1,D1,L3,5:5,Gezogen,Geblockt,Jan Ewald,,Standart,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 2,D1,L2,5:5,Gezogen,Auf Tor,Nick Pfister,Matteo Steiner,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 3,D1,L3,5:5,Gezogen,Neben Tor,Jan Ewald,,Konter,0.3,,
Cup 1_8 Wiler,Low Q Chance For: 4,D1,L1,5:5,Gezogen,Geblockt,Kevin Kropf,,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 5,D1,L1,5:5,Gezogen,Geblockt,Simon Steiner,,Konter,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 6,D1,L1,5:5,Gezogen,Geblockt,Simon Steiner,Gustav Svensson,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 7,D2,L1,5:5,Gezogen,Auf Tor,Kevin Kropf,,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 8,D2,L1,5:5,Gezogen,Neben Tor,Janis Lauber,,Festsetzen,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 9,D2,L3,5:5,Gezogen,Auf Tor,Jan Ewald,Micha Strohl,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 10,D2,L1,5:5,Gezogen,Neben Tor,Janis Lauber,Gustav Svensson,Auslösung,0.2,,
Cup 1_8 Wiler,Low Q Chance For: 11,D2,L2,5:5,Direkt,Neben Tor,Matteo Steiner,Luca Fankhauser,Auslösung,0.2,,
Cup 1_8 Wiler,Low Q Chance For: 12,D2,L3,5:5,Handgelenk,,Hannes Kjellberg,,Konter,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 13,D2,L3,5:5,Gezogen,Neben Tor,Jan Ewald,Micha Strohl,Konter,0.2,,
Cup 1_8 Wiler,Low Q Chance For: 14,D2,L1,5:5,Gezogen,Geblockt,Janis Schwarz,,Festsetzen,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 15,D2,L1,5:5,Handgelenk,Auf Tor,Simon Steiner,Gustav Svensson,Konter,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 16,D2,L2,5:5,,Auf Tor,Luca Fankhauser,,Konter,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 17,D3,L1,5:5,Gezogen,Auf Tor,Kevin Kropf,Janis Lauber,Festsetzen,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 18,D3,L2,5:5,Gezogen,Geblockt,Matteo Steiner,Maurice Aebersold,Auslösung,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 19,D3,L2,5:5,Direkt,,Luca Steiner,,Festsetzen,0.1,,
Cup 1_8 Wiler,Low Q Chance For: 20,D3,L2,5:5,Handgelenk,Geblockt,Luca Steiner,Christian Stucki,Festsetzen,0.1,,
Cup 1_8 Wiler,Mid Q Chance Against: 1,D2,L1,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.3,,
Cup 1_8 Wiler,Mid Q Chance Against: 2,D2,L2,5:5,Handgelenk,Auf Tor,,,Auslösung,0.3,,
Cup 1_8 Wiler,Mid Q Chance Against: 3,D3,L2,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.3,,
Cup 1_8 Wiler,Mid Q Chance Against: 4,D3,L1,5:5,Handgelenk,Neben Tor,,,Festsetzen,0.3,,
Cup 1_8 Wiler,Mid Q Chance Against: 5,D3,L2,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.3,,
Cup 1_8 Wiler,Mid Q Chance For: 1,D1,L1,5:5,Direkt,Auf Tor,Kevin Kropf,Janis Lauber,Nachsetzen,0.3,,
Cup 1_8 Wiler,Mid Q Chance For: 2,D3,L1,5:5,Direkt,Auf Tor,Janis Lauber,Steiner Simon,Festsetzen,0.3,,
Cup 1_8 Wiler,Mid Q Chance For: 3,D2,L2,5:5,Gezogen,Auf Tor,Matteo Steiner,,Standart,0.2,,
Cup 1_8 Wiler,Mid Q Chance For: 4,D2,L2,5:5,Direkt,Auf Tor,Christian Stucki,Luca Fankhauser,Konter,0.3,,
Cup 1_8 Wiler,Mid Q Chance For: 5,D2,L1,5:5,Direkt,Auf Tor,Simon Steiner,Gustav Svensson,Konter,0.3,,
Cup 1_8 Wiler,Mid Q Chance For: 6,D3,L2,5:5,Handgelenk,Geblockt,Christian Stucki,Matteo Steiner,Pressing,0.3,,
Cup 1_8 Wiler,Pot + Chance Against: 1,D1,L3,5:5,,,,,Festsetzen,0.2,,
Cup 1_8 Wiler,Pot + Chance Against: 2,D1,L1,5:5,,,,,Konter,0.1,,
Cup 1_8 Wiler,Tor Gegner: 1,D1,L1,5:5,,,,,Auslösung,0.4,,
Cup 1_8 Wiler,Tor Gegner: 2,D1,BP1,4:5,,,,,,0.5,,
Cup 1_8 Wiler,Tor Gegner: 3,D2,L2,5:5,,,,,Festsetzen,0.3,,
Cup 1_8 Wiler,Tor Gegner: 4,D2,L1,5:5,Gezogen,,,,Festsetzen,0.2,,
Cup 1_8 Wiler,Tor Gegner: 5,D2,PP1,5:4,Direkt,,,,Festsetzen,0.4,,
Cup 1_8 Wiler,Tor Gegner: 6,D3,L2,5:5,Gezogen,,,,Festsetzen,0.4,,
Cup 1_8 Wiler,Tor Gegner: 7,D3,BP1,5:4,Gezogen,,,,,0.3,,
Cup 1_8 Wiler,Tor Gegner: 8,D3,L2,5:5,Direkt,,,,Konter,0.4,,
Cup 1_8 Wiler,Tor Gegner: 9,D3,6:5,6:5,Gezogen,,,,,0.5,,
Cup 1_8 Wiler,Tor Gegner: 10,D3,6:5,5:5,Direkt,,,,Auslösung,0.8,,
Cup 1_8 Wiler,Tor Gegner: 11,D3,6:5,6:5,Direkt,,,,,0.8,,
Cup 1_8 Wiler,Tor Tigers: 1,D1,L1,5:5,Gezogen,,Simon Steiner,Janis Lauber,Auslösung,0.3,,
Cup 1_8 Wiler,Tor Tigers: 2,D1,L2,5:5,Direkt,,Nick Pfister,Christian Stucki,Konter,0.3,,
Cup 1_8 Wiler,Tor Tigers: 3,D2,L3,5:5,Gezogen,,Hannes Kjellberg,Elias Lunnestad,Auslösung,0.6,,
Cup 1_8 Wiler,Tor Tigers: 4,D3,L1,5:5,Gezogen,,Janis Lauber,,Nachsetzen,0.3,,
Cup 1_8 Wiler,Tor Tigers: 5,D3,6:5,6:5,,,Kevin Kropf,Matteo Steiner,,0.3,,
Cup 1_8 Wiler,ZOE For: 1,D1,L1,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 2,D1,L1,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 3,D1,L3,5:5,,,,,,,Bad,
Cup 1_8 Wiler,ZOE For: 4,D1,L3,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 5,D1,L1,5:5,,,,,Auslösung,,Good,
Cup 1_8 Wiler,ZOE For: 6,D1,L1,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 7,D2,L3,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 8,D2,L1,5:5,,,,,,,Bad,
Cup 1_8 Wiler,ZOE For: 9,D2,L2,5:5,,,,,,,Bad,
Cup 1_8 Wiler,ZOE For: 10,D2,L2,5:5,,,,,,,Bad,
Cup 1_8 Wiler,ZOE For: 11,D2,L3,5:5,,,,,,,Bad,
Cup 1_8 Wiler,ZOE For: 12,D2,L2,5:5,,,,,,,Bad,
Cup 1_8 Wiler,ZOE For: 13,D2,L1,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 14,D2,L1,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 15,D2,L2,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 16,D2,L1,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 17,D2,L3,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 18,D3,L1,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 19,D3,L1,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE For: 20,D3,L1,5:5,,,,,,,Good,
Cup 1_8 Wiler,ZOE Gegner: 1,D1,L3,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 2,D1,L1,5:5,,,,,,,,Bad
Cup 1_8 Wiler,ZOE Gegner: 3,D1,L3,5:5,,,,,,,,Bad
Cup 1_8 Wiler,ZOE Gegner: 4,D1,L3,5:5,,,,,,,,Bad
Cup 1_8 Wiler,ZOE Gegner: 5,D2,L1,5:5,,,,,,,,Bad
Cup 1_8 Wiler,ZOE Gegner: 6,D2,L2,5:5,,,,,,,,Bad
Cup 1_8 Wiler,ZOE Gegner: 7,D2,L1,5:5,,,,,,,,Bad
Cup 1_8 Wiler,ZOE Gegner: 8,D2,L2,5:5,,,,,,,,Bad
Cup 1_8 Wiler,ZOE Gegner: 9,D2,L1,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 10,D2,L2,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 11,D2,L2,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 12,D2,L3,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 13,D2,L1,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 14,D2,L3,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 15,D3,L2,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 16,D3,L1,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 17,D3,L1,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 18,D3,L2,5:5,,,,,,,,Bad
Cup 1_8 Wiler,ZOE Gegner: 19,D3,L1,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 20,D3,L2,5:5,,,,,,,,Good
Cup 1_8 Wiler,ZOE Gegner: 21,D3,L2,5:5,,,,,,,,Good
