Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS6_Alligator_Malans_A,Bully: 1,D3,L2,5:5,,,,,,,,
MS6_Alligator_Malans_A,Bully: 2,,,,,,,,,,,
MS6_Alligator_Malans_A,Bully: 3,,,,,,Elias Lunnestad,,,,,
MS6_Alligator_Malans_A,ZOE For: 1,D3,L1,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,ZOE For: 2,D3,L1,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,ZOE For: 3,D3,L2,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,ZOE For: 4,D3,L1,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,ZOE For: 5,D3,L3,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,ZOE For: 6,D3,L1,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,ZOE For: 7,D1,L2,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,ZOE For: 8,D1,L2,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,ZOE For: 9,D1,L2,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,ZOE For: 10,D1,L1,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,ZOE For: 11,D1,L3,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,ZOE For: 12,D1,L1,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,ZOE For: 13,D1,L3,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,ZOE For: 14,D2,L1,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,ZOE For: 15,D2,L3,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,ZOE For: 16,D2,L3,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,ZOE For: 17,D2,L2,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,ZOE For: 18,D2,L1,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,Nachsetzen Tigers: 1,D3,L1,5:5,,,,,Nachsetzen,,,
