Timeline,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS 7_FBTG H,Low Q Chance Against: 1,D1,L1,5:5,Gezogen,Geblockt,Christian Stucki,,Konter,0.1,,
MS 7_FBTG H,Low Q Chance Against: 2,D1,L3,5:5,Handgelenk,Geblockt,Nick Pfister,,Standart,0.1,,
MS 7_FBTG H,Low Q Chance Against: 3,D1,L2,5:5,Gezogen,Neben Tor,,,Nachsetzen,0.1,,
MS 7_FBTG H,Low Q Chance Against: 4,D1,L3,5:5,Handgelenk,Auf Tor,,,Standart,0.1,,
MS 7_FBTG H,Low Q Chance Against: 5,D1,L1,5:5,Gezogen,Geblockt,Schwarz Janis,,Festsetzen,0.1,,
MS 7_FBTG H,Low Q Chance Against: 6,D1,L2,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS 7_FBTG H,Low Q Chance Against: 7,D1,L1,5:5,Direkt,Geblockt,Christian Stucki,,Standart,0.1,,
MS 7_FBTG H,Low Q Chance Against: 8,D1,L1,5:5,Handgelenk,Geblockt,Christian Stucki,,Nachsetzen,0.1,,
MS 7_FBTG H,Low Q Chance Against: 9,D1,L2,5:5,Gezogen,Geblockt,Micha Strohl,,Nachsetzen,0.1,,
MS 7_FBTG H,Low Q Chance Against: 10,D1,L3,5:5,Gezogen,Geblockt,,Elias Lunnestad,Standart,0.1,,
MS 7_FBTG H,Low Q Chance Against: 11,D2,L2,5:5,Handgelenk,Neben Tor,,,Auslösung,0.1,,
MS 7_FBTG H,Low Q Chance Against: 12,D2,L3,5:5,Handgelenk,Geblockt,Steiner Luca,,Auslösung,0.1,,
MS 7_FBTG H,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 3,D1,L3,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 4,D1,L1,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 5,D1,L3,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 6,D1,L3,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 7,D1,L2,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 8,D1,L3,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 9,D1,L1,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 10,D1,L1,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 11,D1,L2,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 12,D2,L2,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 13,D2,L1,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 14,D2,L2,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 15,D2,L2,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 16,D2,L2,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 17,D3,L2,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 18,D3,L1,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 19,D3,L1,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 20,D3,L1,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 21,D3,L1,5:5,,,,,Auslösung,,Good,
MS 7_FBTG H,ZOE For: 22,D3,L2,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,ZOE For: 23,D3,L2,5:5,,,,,Auslösung,,Bad,
MS 7_FBTG H,High Q Chance For: 1,D1,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,,Nachsetzen,0.5,,
MS 7_FBTG H,High Q Chance For: 2,D1,L2,5:5,Direkt,Auf Tor,Janis Lauber,Nick Pfister,Nachsetzen,0.5,,
MS 7_FBTG H,High Q Chance For: 3,D1,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,Gustav Svensson,Konter,0.5,,
MS 7_FBTG H,Pot + Chance For: 1,D1,L1,5:5,Direkt,,Christian Stucki,,Nachsetzen,0.2,,
MS 7_FBTG H,Pot + Chance For: 2,D3,L1,5:5,Volley,,Christian Stucki,,Festsetzen,0.3,,
MS 7_FBTG H,Pot + Chance For: 3,D3,L2,5:5,Direkt,,Jan Ewald,,Konter,0.5,,
MS 7_FBTG H,Pot + Chance For: 4,D3,L2,5:5,Volley,,Nick Pfister,,Festsetzen,0.3,,
MS 7_FBTG H,Mid Q Chance For: 1,D1,L3,5:5,Direkt,Auf Tor,Jan Ewald,,Auslösung,0.3,,
MS 7_FBTG H,Mid Q Chance For: 2,D1,L2,5:5,Volley,Auf Tor,Janis Lauber,,Auslösung,0.3,,
MS 7_FBTG H,Mid Q Chance For: 3,D1,L2,5:5,Handgelenk,Neben Tor,Janis Lauber,,Konter,0.3,,
MS 7_FBTG H,Mid Q Chance For: 4,D2,L2,5:5,Handgelenk,Neben Tor,Janis Lauber,,Konter,0.3,,
MS 7_FBTG H,Mid Q Chance For: 5,D2,L3,5:5,Handgelenk,Neben Tor,Hannes Kjellberg,,Konter,0.3,,
MS 7_FBTG H,ZOE Gegner: 1,D1,L3,5:5,,,,,Auslösung,,,Bad
MS 7_FBTG H,ZOE Gegner: 2,D1,L3,5:5,,,,,Auslösung,,,Bad
MS 7_FBTG H,ZOE Gegner: 3,D1,L1,5:5,,,,,Auslösung,,,Good
MS 7_FBTG H,ZOE Gegner: 4,D1,L2,5:5,,,,,Auslösung,,,Good
MS 7_FBTG H,ZOE Gegner: 5,D2,L2,5:5,,,,,Auslösung,,,Good
MS 7_FBTG H,ZOE Gegner: 6,D2,L3,5:5,,,,,Auslösung,,,Good
MS 7_FBTG H,ZOE Gegner: 7,D3,L2,5:5,,,,,Auslösung,,,Bad
MS 7_FBTG H,ZOE Gegner: 8,D3,L2,5:5,,,,,Auslösung,,,Good
MS 7_FBTG H,Def.Transition: 1,D1,L1,5:5,,,,,Konter,,,
MS 7_FBTG H,Def.Transition: 2,D1,L1,5:5,,,,,Konter,,,
MS 7_FBTG H,Def.Transition: 3,,,,,,,,,,,
MS 7_FBTG H,Def.Transition: 4,D2,L1,5:5,,,,,,,,
