Timeline,Action,Drittel,Lines,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Gegner
MS8_GC_A,ZOE For,D1,L3,5:5,,,,,Auslösung,,Good,
MS8_GC_A,ZOE For,D1,L3,5:5,,,,,Auslösung,,Bad,
MS8_GC_A,ZOE For,D1,L3,5:5,,,,,Auslösung,,Good,
MS8_GC_A,ZOE For,D1,L3,5:5,,,,,Auslösung,,Bad,
MS8_GC_A,ZOE For,D1,L1,5:5,,,,,Auslösung,,Bad,
MS8_GC_A,ZOE For,D1,L1,5:5,,,,,Auslösung,,Good,
MS8_GC_A,ZOE For,D2,L3,5:5,,,,,Auslösung,,Good,
MS8_GC_A,ZOE For,D2,L2,5:5,,,,,Auslösung,,Good,
MS8_GC_A,ZOE For,D2,L1,5:5,,,,,Auslösung,,Bad,
MS8_GC_A,ZOE For,D2,L3,5:5,,,,,Auslösung,,Bad,
MS8_GC_A,ZOE For,D3,L2,5:5,,,,,Auslösung,,Good,
MS8_GC_A,ZOE For,D3,L2,5:5,,,,,Auslösung,,Good,
MS8_GC_A,ZOE For,D3,L3,5:5,,,,,Auslösung,,Bad,
MS8_GC_A,ZOE For,OT,L1,5:5,,,,,Auslösung,,Good,
MS8_GC_A,Low Q Chance For,D1,L1,5:5,Handgelenk,Auf Tor,Simon Steiner,,Standart,0.1,,
MS8_GC_A,Low Q Chance For,D1,L1,5:5,Gezogen,Neben Tor,Christian Stucki,Gustav Svensson,Auslösung,0.1,,
MS8_GC_A,Low Q Chance For,D1,L1,5:5,Gezogen,Geblockt,Janis Schwarz,Schwarz Janis,Festsetzen,0.1,,
MS8_GC_A,Low Q Chance For,D1,L3,5:5,Handgelenk,Neben Tor,"Hannes Kjellberg, Strohl Micha",,Auslösung,0.2,,
MS8_GC_A,Low Q Chance For,D1,L2,5:5,Gezogen,Geblockt,Matteo Steiner,Luca Fankhauser,Auslösung,0.1,,
MS8_GC_A,Low Q Chance For,D1,L2,5:5,Gezogen,Geblockt,Luca Fankhauser,,Festsetzen,0.1,,
MS8_GC_A,Low Q Chance For,D1,L2,5:5,Gezogen,Geblockt,Lukas Münger,Nick Pfister,Festsetzen,0.1,,
MS8_GC_A,Low Q Chance For,D1,L3,5:5,Gezogen,Auf Tor,,Steiner Luca,Auslösung,0.2,,
MS8_GC_A,Low Q Chance For,D2,L1,5:5,Direkt,Neben Tor,Christian Stucki,Steiner Simon,Konter,0.1,,
MS8_GC_A,Low Q Chance For,D2,L3,5:5,Direkt,Auf Tor,Hannes Kjellberg,,Festsetzen,0.2,,
MS8_GC_A,Low Q Chance For,D2,L2,5:5,Handgelenk,Auf Tor,,,Konter,0.2,,
MS8_GC_A,Low Q Chance For,D3,L3,5:5,Gezogen,Auf Tor,Luca Steiner,,Konter,0.2,,
MS8_GC_A,Low Q Chance For,D3,L2,5:5,Direkt,Neben Tor,Janis Lauber,Matteo Steiner,Konter,0.1,,
MS8_GC_A,Low Q Chance For,D3,L2,5:5,Gezogen,Geblockt,Jan Ewald,,Standart,0.1,,
MS8_GC_A,Pot + Chance For,D1,L3,5:5,Direkt,,Jan Ewald,,Standart,0.2,,
MS8_GC_A,Pot + Chance For,D1,L2,5:5,Volley,,Matteo Steiner,,Standart,0.2,,
MS8_GC_A,Pot + Chance For,D2,L3,5:5,Volley,,Jan Ewald,,Konter,0.2,,
MS8_GC_A,Mid Q Chance For,D1,L1,5:5,Gezogen,Neben Tor,Christian Stucki,Kevin Kropf,Konter,0.3,,
MS8_GC_A,Mid Q Chance For,D1,L1,5:5,Volley,Auf Tor,Simon Steiner,Gustav Svensson,Nachsetzen,0.2,,
MS8_GC_A,Mid Q Chance For,D1,L1,5:5,Handgelenk,,Kevin Kropf,,Konter,0.3,,
MS8_GC_A,Mid Q Chance For,D1,L2,5:5,Volley,Neben Tor,Nick Pfister,Kevin Kropf,Pressing,0.3,,
MS8_GC_A,High Q Chance For,D3,L2,5:5,Handgelenk,Neben Tor,,,Konter,0.4,,
MS8_GC_A,High Q Chance For,OT,L1,5:5,Direkt,Neben Tor,Simon Steiner,Gustav Svensson,Auslösung,0.6,,
MS8_GC_A,High Q Chance For,OT,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,Steiner Simon,Festsetzen,0.4,,
MS8_GC_A,Tor Tigers,D1,L1,5:5,Handgelenk,,Kevin Kropf,,Nachsetzen,0.2,,
MS8_GC_A,Tor Tigers,D1,L3,5:5,Handgelenk,,Hannes Kjellberg,,Konter,0.3,,
MS8_GC_A,Tor Tigers,D1,PP1,5:4,Direkt,,,,,0.4,,
MS8_GC_A,Tor Tigers,D1,L2,5:5,Handgelenk,,Matteo Steiner,,Auslösung,0.3,,
MS8_GC_A,Tor Tigers,D2,L2,5:5,Gezogen,,Matteo Steiner,,Festsetzen,0.3,,
MS8_GC_A,Tor Tigers,D2,L2,5:5,Direkt,,Nick Pfister,,Auslösung,0.5,,
MS8_GC_A,Tor Tigers,D3,PP1,5:4,Gezogen,,Hannes Kjellberg,,,0.3,,
MS8_GC_A,Low Q Chance Against,D1,L3,5:5,Gezogen,Auf Tor,,,Standart,0.2,,
MS8_GC_A,Low Q Chance Against,D1,L2,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
