Timeline,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Spieler involved ,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS9_Uster H,ZOE Gegner: 1,D1,L2,5:5,,,,,,Auslösung,,,Bad
MS9_Uster H,ZOE Gegner: 2,D1,L1,5:5,,,,,,Auslösung,,,Bad
MS9_Uster H,ZOE Gegner: 3,D1,L2,5:5,,,,,,Auslösung,,,Good
MS9_Uster H,ZOE Gegner: 4,D1,L3,5:5,,,,,,Auslösung,,,Bad
MS9_Uster H,ZOE Gegner: 5,D1,L3,5:5,,,,,,Auslösung,,,Good
MS9_Uster H,ZOE Gegner: 6,D1,L3,5:5,,,,,,Auslösung,,,Bad
MS9_Uster H,ZOE Gegner: 7,D1,L1,5:5,,,,,,Auslösung,,,Good
MS9_Uster H,ZOE Gegner: 8,D2,L2,5:5,,,,,,Auslösung,,,Good
MS9_Uster H,ZOE Gegner: 9,D2,L2,5:5,,,,,,Auslösung,,,Good
MS9_Uster H,ZOE Gegner: 10,D2,L2,5:5,,,,,,Auslösung,,,Good
MS9_Uster H,ZOE Gegner: 11,D3,L1,5:5,,,,,,Auslösung,,,Good
MS9_Uster H,ZOE Gegner: 12,D3,L2,5:5,,,,,,Auslösung,,,Bad
MS9_Uster H,ZOE Gegner: 13,D3,L2,5:5,,,,,,Auslösung,,,Bad
MS9_Uster H,Low Q Chance For: 1,D1,L2,5:5,Gezogen,Auf Tor,Matteo Steiner,,,Konter,0.2,,
MS9_Uster H,Low Q Chance For: 2,D1,L1,5:5,Handgelenk,Geblockt,Janis Schwarz,Christian Stucki,,Festsetzen,0.1,,
MS9_Uster H,Low Q Chance For: 3,D1,L2,5:5,Volley,Neben Tor,,,,Nachsetzen,0.1,,
MS9_Uster H,Low Q Chance For: 4,D1,L2,5:5,Handgelenk,Auf Tor,Janis Lauber,,,Konter,0.2,,
MS9_Uster H,Low Q Chance For: 5,D1,L2,5:5,Handgelenk,Auf Tor,Luca Fankhauser,,,Konter,0.2,,
MS9_Uster H,Low Q Chance For: 6,D1,L2,5:5,Gezogen,Neben Tor,Janis Lauber,Janis Lauber,,Auslösung,0.2,,
MS9_Uster H,Low Q Chance For: 7,D1,L1,5:5,Gezogen,Neben Tor,Simon Steiner,Gustav Svensson,,Auslösung,0.2,,
MS9_Uster H,Low Q Chance For: 8,D2,L1,5:5,Gezogen,Neben Tor,Gustav Svensson,Micha Strohl,,Auslösung,0.2,,
MS9_Uster H,Low Q Chance For: 9,D2,L2,5:5,Gezogen,Neben Tor,Janis Lauber,Matteo Steiner,,Standart,0.1,,
MS9_Uster H,Low Q Chance For: 10,D2,L3,5:5,Gezogen,Geblockt,,,,Standart,0.1,,
MS9_Uster H,Low Q Chance For: 11,D2,L2,5:5,Gezogen,Geblockt,Matteo Steiner,,,Konter,0.1,,
MS9_Uster H,Low Q Chance For: 12,D2,L2,5:5,Handgelenk,Geblockt,Janis Lauber,,,Auslösung,0.2,,
MS9_Uster H,Low Q Chance For: 13,D2,L1,5:5,Gezogen,Geblockt,Simon Steiner,,,Standart,0.1,,
MS9_Uster H,Low Q Chance For: 14,D2,L2,5:5,Direkt,Auf Tor,Luca Steiner,Janis Lauber,,Festsetzen,0.2,,
MS9_Uster H,Low Q Chance For: 15,D2,L2,5:5,Gezogen,Geblockt,Janis Lauber,Steiner Simon,,Festsetzen,0.1,,
MS9_Uster H,Low Q Chance For: 16,D2,L1,5:5,Gezogen,Auf Tor,Kevin Kropf,Gustav Svensson,,Auslösung,0.1,,
MS9_Uster H,Low Q Chance For: 17,D2,L2,5:5,Gezogen,Auf Tor,Janis Lauber,Matteo Steiner,,Standart,0.1,,
MS9_Uster H,Low Q Chance For: 18,D3,L1,5:5,Direkt,Neben Tor,Simon Steiner,Gustav Svensson,,Festsetzen,0.1,,
MS9_Uster H,Low Q Chance For: 19,D3,L2,5:5,Gezogen,Geblockt,Matteo Steiner,,,Standart,0.1,,
MS9_Uster H,Low Q Chance For: 20,D3,L2,5:5,Gezogen,Auf Tor,Luca Fankhauser,Matteo Steiner,,Nachsetzen,0.3,,
MS9_Uster H,Low Q Chance For: 21,D3,L2,5:5,Gezogen,Geblockt,Matteo Steiner,,,Festsetzen,0.2,,
MS9_Uster H,Low Q Chance For: 22,D3,L2,5:5,Gezogen,Geblockt,Janis Lauber,,,Konter,0.1,,
MS9_Uster H,Low Q Chance For: 23,D3,L2,5:5,Gezogen,Neben Tor,Matteo Steiner,Janis Lauber,,Standart,0.1,,
MS9_Uster H,Low Q Chance For: 24,D3,L2,5:5,Handgelenk,Geblockt,Luca Steiner,,,Festsetzen,0.1,,
MS9_Uster H,Low Q Chance For: 25,D3,L1,5:5,Direkt,Neben Tor,Micha Strohl,Steiner Simon,,Festsetzen,0.2,,
MS9_Uster H,Low Q Chance For: 26,D3,L2,5:5,Handgelenk,Neben Tor,Matteo Steiner,Janis Lauber,,Konter,0.2,,
MS9_Uster H,Low Q Chance For: 27,D3,L2,5:5,Gezogen,Geblockt,,,,Festsetzen,0.1,,
MS9_Uster H,Low Q Chance For: 28,D3,L2,5:5,Gezogen,Neben Tor,Nick Pfister,Janis Lauber,,Festsetzen,0.2,,
MS9_Uster H,Low Q Chance Against: 1,D1,L1,5:5,Handgelenk,Auf Tor,,,,Konter,0.1,,
MS9_Uster H,Low Q Chance Against: 2,D1,L2,5:5,Handgelenk,Geblockt,Matteo Steiner,,,Festsetzen,0.1,,
MS9_Uster H,Low Q Chance Against: 3,D1,L3,5:5,Handgelenk,Auf Tor,,,,Konter,0.2,,
MS9_Uster H,Low Q Chance Against: 4,D1,L2,5:5,Handgelenk,Geblockt,Janis Lauber,,,Konter,0.1,,
MS9_Uster H,Low Q Chance Against: 5,D1,L2,5:5,Gezogen,Geblockt,Matteo Steiner,,,Standart,0.1,,
MS9_Uster H,Low Q Chance Against: 6,D1,L2,5:5,Gezogen,Auf Tor,,,,Standart,0.1,,
MS9_Uster H,Low Q Chance Against: 7,D1,L1,5:5,Handgelenk,Auf Tor,,,,Auslösung,0.1,,
MS9_Uster H,Low Q Chance Against: 8,D1,L1,5:5,Handgelenk,Neben Tor,,,,Standart,0.1,,
MS9_Uster H,Low Q Chance Against: 9,D2,L2,5:5,Direkt,Neben Tor,,,,Auslösung,0.2,,
MS9_Uster H,Low Q Chance Against: 10,D2,L2,5:5,Handgelenk,Geblockt,Steiner Luca,,,Nachsetzen,,,
MS9_Uster H,Low Q Chance Against: 11,D2,L2,5:5,Gezogen,Neben Tor,,,,Nachsetzen,0.2,,
MS9_Uster H,Low Q Chance Against: 12,D2,L2,5:5,Gezogen,Neben Tor,,,,Nachsetzen,0.3,,
MS9_Uster H,Low Q Chance Against: 13,D2,L2,5:5,Gezogen,Neben Tor,,,,Auslösung,0.2,,
MS9_Uster H,Low Q Chance Against: 14,D2,L1,5:5,Direkt,Neben Tor,,,,Festsetzen,0.1,,
MS9_Uster H,Low Q Chance Against: 15,D2,L2,5:5,Gezogen,Geblockt,Steiner Luca,,,Auslösung,0.1,,
MS9_Uster H,Low Q Chance Against: 16,D2,L2,5:5,Gezogen,Geblockt,Steiner Luca,,,Konter,0.2,,
MS9_Uster H,Low Q Chance Against: 17,D3,L2,5:5,Gezogen,Geblockt,Luca Fankhauser,,,Auslösung,0.1,,
MS9_Uster H,Low Q Chance Against: 18,D3,L2,5:5,Gezogen,Geblockt,Matteo Steiner,,,Festsetzen,0.1,,
MS9_Uster H,Low Q Chance Against: 19,D3,L1,5:5,Gezogen,Geblockt,Elias Lunnestad,,,Konter,0.2,,
MS9_Uster H,Low Q Chance Against: 20,D3,L1,5:5,Direkt,Neben Tor,,,,Festsetzen,0.2,,
MS9_Uster H,Low Q Chance Against: 21,D3,L1,5:5,Gezogen,Auf Tor,,,,Auslösung,0.1,,
MS9_Uster H,Low Q Chance Against: 22,D3,L2,5:5,Handgelenk,Neben Tor,,,,Konter,0.2,,
MS9_Uster H,Low Q Chance Against: 23,D3,L2,5:5,Gezogen,Geblockt,Elias Lunnestad,,,Auslösung,0.2,,
MS9_Uster H,Low Q Chance Against: 24,D3,L1,5:5,Handgelenk,Geblockt,Gustav Svensson,,,Auslösung,0.1,,
