Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS10_FBK_A,Low Q Chance Against: 1,D1,L1,5:5,Gezogen,Neben Tor,,,Konter,0.1,,
MS10_FBK_A,Low Q Chance Against: 2,D1,L3,5:5,Direkt,Neben Tor,,,Auslösung,0.2,,
MS10_FBK_A,Low Q Chance Against: 3,D1,L2,5:5,Direkt,Neben Tor,,,,0.1,,
MS10_FBK_A,Low Q Chance Against: 4,D1,L2,5:5,Direkt,Neben Tor,,,,0.1,,
MS10_FBK_A,Low Q Chance Against: 5,D1,L1,5:5,Gezogen,Geblockt,,Gustav Svensson,Konter,0.2,,
MS10_FBK_A,Low Q Chance Against: 6,D1,L2,5:5,Direkt,Auf Tor,,,Pressing,0.1,,
MS10_FBK_A,Low Q Chance Against: 7,D1,L2,5:5,Handgelenk,Auf Tor,,,Konter,0.2,,
MS10_FBK_A,Low Q Chance Against: 8,D1,L3,5:5,Handgelenk,Neben Tor,,,Nachsetzen,0.2,,
MS10_FBK_A,Low Q Chance Against: 9,D2,L2,5:5,Gezogen,Geblockt,,Nick Pfister,Standart,0.1,,
MS10_FBK_A,Low Q Chance Against: 10,D2,L2,5:5,"Gezogen, Volley",Geblockt,Lukas Münger,,"Auslösung, Nachsetzen",0.1,,
MS10_FBK_A,Low Q Chance Against: 11,D2,L2,5:5,Gezogen,Geblockt,Nick Pfister,,Standart,0.1,,
MS10_FBK_A,Low Q Chance Against: 12,D2,L2,5:5,Direkt,Auf Tor,,,Festsetzen,0.1,,
MS10_FBK_A,Low Q Chance Against: 13,D2,L2,5:5,Gezogen,Geblockt,Lukas Münger,,Auslösung,0.1,,
MS10_FBK_A,Low Q Chance Against: 14,D2,L3,5:5,Handgelenk,Geblockt,Christian Stucki,,Festsetzen,0.1,,
MS10_FBK_A,Low Q Chance Against: 15,D2,L1,5:5,"Gezogen, Volley",Geblockt,Elias Lunnestad,,"Auslösung, Standart",0.1,,
MS10_FBK_A,Low Q Chance Against: 16,D3,L1,5:5,Gezogen,Auf Tor,,,,0.2,,
MS10_FBK_A,Low Q Chance Against: 17,D3,L2,5:5,Handgelenk,Neben Tor,,,Auslösung,0.2,,
MS10_FBK_A,Low Q Chance Against: 18,D3,L2,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS10_FBK_A,Low Q Chance Against: 19,D3,L2,5:5,Volley,Neben Tor,,,Festsetzen,0.1,,
MS10_FBK_A,Low Q Chance Against: 20,D3,L2,5:5,Gezogen,Auf Tor,,,Standart,0.1,,
MS10_FBK_A,Low Q Chance Against: 21,D3,L2,5:5,Gezogen,Auf Tor,,,Standart,0.1,,
MS10_FBK_A,Low Q Chance Against: 22,D3,L1,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
MS10_FBK_A,Low Q Chance Against: 23,D3,L2,5:5,Handgelenk,Auf Tor,,,Auslösung,0.2,,
MS10_FBK_A,Low Q Chance Against: 24,D3,L1,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
MS10_FBK_A,Low Q Chance Against: 25,D3,L2,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS10_FBK_A,Low Q Chance Against: 26,D3,L1,5:5,Handgelenk,Auf Tor,,,Konter,0.2,,
MS10_FBK_A,Low Q Chance Against: 27,D3,L2,5:5,Handgelenk,Auf Tor,,,Konter,0.2,,
MS10_FBK_A,Low Q Chance Against: 28,D3,L1,5:5,Handgelenk,Geblockt,Kevin Kropf,,Standart,0.1,,
MS10_FBK_A,Low Q Chance Against: 29,D3,L1,5:5,Gezogen,,,,Nachsetzen,0.1,,
MS10_FBK_A,Low Q Chance Against: 30,OT,L2,5:5,Direkt,Geblockt,Luca Fankhauser,,Konter,0.1,,
MS10_FBK_A,Low Q Chance Against: 31,OT,L2,5:5,Direkt,Neben Tor,,,Auslösung,0.1,,
MS10_FBK_A,ZOE Gegner: 1,D1,L1,5:5,,,,,Auslösung,,,Bad
MS10_FBK_A,ZOE Gegner: 2,D1,L2,5:5,,,,,Auslösung,,,Bad
MS10_FBK_A,ZOE Gegner: 3,D1,L2,5:5,,,,,Auslösung,,,Bad
MS10_FBK_A,ZOE Gegner: 4,D1,L3,5:5,,,,,Auslösung,,,Bad
MS10_FBK_A,ZOE Gegner: 5,D1,L2,5:5,,,,,Auslösung,,,Bad
MS10_FBK_A,ZOE Gegner: 6,D2,L2,5:5,,,,,Auslösung,,,Good
MS10_FBK_A,ZOE Gegner: 7,D3,L2,5:5,,,,,Auslösung,,,Bad
MS10_FBK_A,ZOE Gegner: 8,D3,L1,5:5,,,,,Auslösung,,,Good
MS10_FBK_A,Low Q Chance For: 1,D1,L1,5:5,Gezogen,Geblockt,Kevin Kropf,,Konter,0.1,,
MS10_FBK_A,Low Q Chance For: 2,D1,L2,5:5,Handgelenk,Auf Tor,Matteo Steiner,Luca Fankhauser,Auslösung,0.1,,
MS10_FBK_A,Low Q Chance For: 3,D1,L2,5:5,Gezogen,Auf Tor,Nick Pfister,Steiner Luca,Nachsetzen,0.1,,
MS10_FBK_A,Low Q Chance For: 4,D1,L2,5:5,Gezogen,Geblockt,Nick Pfister,Matteo Steiner,Auslösung,0.2,,
MS10_FBK_A,Low Q Chance For: 5,D1,L2,5:5,Gezogen,Geblockt,Nick Pfister,,Nachsetzen,0.2,,
MS10_FBK_A,Low Q Chance For: 6,D1,L1,5:5,Handgelenk,Geblockt,Kevin Kropf,,Nachsetzen,0.1,,
MS10_FBK_A,Low Q Chance For: 7,D1,L1,5:5,Gezogen,Auf Tor,Simon Steiner,,Standart,0.1,,
