Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS11_Basel_Regio,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE Gegner: 2,D1,L1,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE Gegner: 3,D1,L2,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE Gegner: 4,D1,L3,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE Gegner: 5,D1,L3,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE Gegner: 6,D1,L3,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE Gegner: 7,D2,L2,5:5,,,,,Auslösung,,,Good
MS11_Basel_Regio,ZOE Gegner: 8,D2,L2,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE Gegner: 9,D2,L3,5:5,,,,,Auslösung,,,Good
MS11_Basel_Regio,ZOE Gegner: 10,D2,L2,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE Gegner: 11,D2,L2,5:5,,,,,Konter,,,Bad
MS11_Basel_Regio,ZOE Gegner: 12,D2,L3,5:5,,,,,Auslösung,,,Good
MS11_Basel_Regio,ZOE Gegner: 13,D2,L2,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE Gegner: 14,D2,L2,5:5,,,,,Auslösung,,,Good
MS11_Basel_Regio,ZOE Gegner: 15,D3,L2,5:5,,,,,Auslösung,,,Good
MS11_Basel_Regio,ZOE Gegner: 16,D3,L2,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE Gegner: 17,D3,L1,5:5,,,,,Auslösung,,,Bad
MS11_Basel_Regio,ZOE For: 1,D1,L2,5:5,,,,,Auslösung,,Bad,
MS11_Basel_Regio,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,,Good,
MS11_Basel_Regio,ZOE For: 3,D1,L1,5:5,,,,,Auslösung,,Good,
MS11_Basel_Regio,ZOE For: 4,D1,L3,5:5,,,,,Auslösung,,Good,
MS11_Basel_Regio,ZOE For: 5,D1,L2,5:5,,,,,Auslösung,,Good,
MS11_Basel_Regio,ZOE For: 6,D1,L2,5:5,,,,,Auslösung,,Good,
MS11_Basel_Regio,ZOE For: 7,D1,L1,5:5,,,,,Auslösung,,Good,
MS11_Basel_Regio,ZOE For: 8,D1,L2,5:5,,,,,Auslösung,,Good,
MS11_Basel_Regio,ZOE For: 9,D1,L1,5:5,,,,,Auslösung,,Good,
