Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Against,
MS12_Zug_H,ZOE For: 1,D1,L2,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 2,D1,L3,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 3,D1,L3,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 4,D1,L1,5:5,,,,,,Auslösung,Bad,,
MS12_Zug_H,ZOE For: 5,D1,L2,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 6,D1,L2,5:5,,,,,,Auslösung,Bad,,
MS12_Zug_H,ZOE For: 7,D1,L3,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 8,D1,L3,5:5,,,,,,Auslösung,Bad,,
MS12_Zug_H,ZOE For: 9,D2,L2,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 10,D2,L1,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 11,D2,L1,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 12,D2,L2,5:5,,,,,,Auslösung,Bad,,
MS12_Zug_H,ZOE For: 13,D2,L1,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 14,D2,L2,5:5,,,,,,Auslösung,Bad,,
MS12_Zug_H,ZOE For: 15,D3,L3,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 16,D3,L2,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,ZOE For: 17,D3,L2,5:5,,,,,,Auslösung,Good,,
MS12_Zug_H,Low Q Chance For: 1,D1,L2,5:5,Gezogen,Geblockt,Janis Lauber,,0.1,Konter,,,
MS12_Zug_H,Low Q Chance For: 2,D1,L3,5:5,Gezogen,Geblockt,Martin Mosimann,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance For: 3,D1,L3,5:5,Gezogen,Auf Tor,Martin Mosimann,,0.1,Standart,,,
MS12_Zug_H,Low Q Chance For: 4,D1,L3,5:5,Gezogen,Geblockt,Jan Ewald,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance For: 5,D1,L3,5:5,Gezogen,Geblockt,Martin Mosimann,,0.1,Standart,,,
MS12_Zug_H,Low Q Chance For: 6,D1,L2,5:5,Gezogen,Neben Tor,Matteo Steiner,,0.2,Standart,,,
MS12_Zug_H,Low Q Chance For: 7,D1,L3,5:5,Gezogen,Auf Tor,Luca Steiner,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance For: 8,D1,L2,5:5,Direkt,Auf Tor,Matteo Steiner,,0.2,Auslösung,,,
MS12_Zug_H,Low Q Chance For: 9,D1,L1,5:5,Gezogen,Geblockt,Simon Steiner,,0.1,Festsetzen,,,
MS12_Zug_H,Low Q Chance For: 10,D1,L1,5:5,Direkt,Neben Tor,Simon Steiner,,0.2,Festsetzen,,,
MS12_Zug_H,Low Q Chance For: 11,D1,L2,5:5,Gezogen,Geblockt,Nick Pfister,,0.1,Nachsetzen,,,
MS12_Zug_H,Low Q Chance For: 12,D1,L1,,Gezogen,Geblockt,Simon Steiner,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance For: 13,D2,L2,5:5,Direkt,Geblockt,,,0.2,Nachsetzen,,,
MS12_Zug_H,Low Q Chance For: 14,D2,L2,5:5,Direkt,Auf Tor,Luca Fankhauser,,0.2,Festsetzen,,,
MS12_Zug_H,Low Q Chance For: 15,D2,L1,5:5,"Direkt, CUTS",Auf Tor,Maurice Aebersold,,0.2,Festsetzen,,,
MS12_Zug_H,Low Q Chance For: 16,D2,L1,5:5,Gezogen,Auf Tor,Simon Steiner,,0.2,Festsetzen,,,
MS12_Zug_H,Low Q Chance For: 17,D2,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,,0.2,Auslösung,,,
MS12_Zug_H,Low Q Chance For: 18,D2,L1,5:5,Gezogen,Geblockt,Gustav Svensson,,0.1,Standart,,,
MS12_Zug_H,Low Q Chance For: 19,D2,L3,5:5,Gezogen,Geblockt,Jan Ewald,,0.2,Auslösung,,,
MS12_Zug_H,Low Q Chance For: 20,D2,L2,5:5,Gezogen,Auf Tor,Janis Lauber,,0.2,Auslösung,,,
MS12_Zug_H,Low Q Chance For: 21,D2,L2,5:5,Gezogen,Auf Tor,Janis Lauber,,0.2,Standart,,,
MS12_Zug_H,Low Q Chance For: 22,,,,,,,,,,,,
MS12_Zug_H,Low Q Chance For: 23,D3,L2,5:5,Handgelenk,Auf Tor,Janis Lauber,,0.2,Festsetzen,,,
MS12_Zug_H,Low Q Chance For: 24,D3,L2,5:5,Gezogen,Neben Tor,Matteo Steiner,,0.2,Standart,,,
