Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS13_GC_H,ZOE Gegner: 1,D1,L1,5:5,,,,,Auslösung,,,Bad
MS13_GC_H,ZOE Gegner: 2,D1,L1,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 3,D1,L1,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 4,D1,L2,5:5,,,,,Auslösung,,,Bad
MS13_GC_H,ZOE Gegner: 5,D1,L2,5:5,,,,,Auslösung,,,Bad
MS13_GC_H,ZOE Gegner: 6,D1,L3,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 7,D1,L1,5:5,,,,,Auslösung,,,Bad
MS13_GC_H,ZOE Gegner: 8,D1,L1,5:5,,,,,Auslösung,,,Bad
MS13_GC_H,ZOE Gegner: 9,D1,L3,5:5,,,,,Auslösung,,,Bad
MS13_GC_H,ZOE Gegner: 10,D1,L3,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 11,D2,L1,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 12,D2,L3,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 13,D2,L1,5:5,,,,,Auslösung,,,Bad
MS13_GC_H,ZOE Gegner: 14,D2,L1,5:5,,,,,Auslösung,,,Bad
MS13_GC_H,ZOE Gegner: 15,D2,L3,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 16,D2,L1,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 17,D2,L3,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 18,D2,L1,5:5,,,,,Auslösung,,,Bad
MS13_GC_H,ZOE Gegner: 19,D2,L3,5:5,,,,,Auslösung,,,Bad
MS13_GC_H,ZOE Gegner: 20,D3,L1,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 21,D3,L1,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 22,D3,L3,5:5,,,,,Auslösung,,,Good
MS13_GC_H,ZOE Gegner: 23,D3,L3,5:5,,,,,Auslösung,,,Good
MS13_GC_H,Low Q Chance Against: 1,D1,L2,5:5,Gezogen,Auf Tor,,,Standart,0.2,,
MS13_GC_H,Low Q Chance Against: 2,D1,L3,5:5,Gezogen,Geblockt,Jan Ewald,,Standart,0.1,,
MS13_GC_H,Low Q Chance Against: 3,D1,L3,5:5,Gezogen,Geblockt,Steiner Luca,,Festsetzen,0.1,,
MS13_GC_H,Low Q Chance Against: 4,D1,L1,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS13_GC_H,Low Q Chance Against: 5,D1,L1,5:5,Direkt,Geblockt,Maurice Aebersold,,Auslösung,0.1,,
MS13_GC_H,Low Q Chance Against: 6,D1,L1,5:5,Handgelenk,Auf Tor,,,Konter,0.1,,
MS13_GC_H,Low Q Chance Against: 7,D2,L1,5:5,Handgelenk,Neben Tor,,,Konter,0.1,,
MS13_GC_H,Low Q Chance Against: 8,D2,L3,5:5,Handgelenk,Neben Tor,,,Standart,0.1,,
MS13_GC_H,Low Q Chance Against: 9,D2,L1,5:5,Direkt,Geblockt,Gustav Svensson,,Auslösung,0.1,,
MS13_GC_H,Low Q Chance Against: 10,D2,L2,5:5,Gezogen,Neben Tor,,,Standart,0.1,,
MS13_GC_H,Low Q Chance Against: 11,D2,L1,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
MS13_GC_H,Low Q Chance Against: 12,D2,L2,5:5,Handgelenk,Geblockt,Steiner Luca,,,0.2,,
MS13_GC_H,Low Q Chance Against: 13,D3,L3,5:5,Direkt,Auf Tor,,,Standart,0.1,,
MS13_GC_H,Low Q Chance Against: 14,D3,L2,5:5,Gezogen,Auf Tor,,,Standart,0.1,,
MS13_GC_H,Low Q Chance Against: 15,D3,L3,5:5,Direkt,Neben Tor,,,Auslösung,0.1,,
MS13_GC_H,Low Q Chance Against: 16,D3,L1,5:5,Handgelenk,Geblockt,Elias Lunnestad,,Konter,0.1,,
MS13_GC_H,Low Q Chance Against: 17,D3,L3,5:5,Handgelenk,Auf Tor,,,Auslösung,0.3,,
MS13_GC_H,Low Q Chance Against: 18,D3,L3,5:5,Direkt,Geblockt,Micha Strohl,,Festsetzen,0.2,,
MS13_GC_H,Low Q Chance Against: 19,D3,L2,5:5,Direkt,Geblockt,Nick Pfister,,Festsetzen,0.1,,
MS13_GC_H,Low Q Chance Against: 20,D3,L2,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS13_GC_H,Low Q Chance Against: 21,D3,L3,5:5,Direkt,Geblockt,Strohl Micha,,Festsetzen,0.1,,
MS13_GC_H,Low Q Chance Against: 22,D3,L3,5:5,Gezogen,Geblockt,Micha Strohl,,Festsetzen,0.1,,
MS13_GC_H,Low Q Chance Against: 23,D3,L1,5:5,Gezogen,Geblockt,Elias Lunnestad,,Auslösung,0.1,,
MS13_GC_H,Low Q Chance Against: 24,D3,L1,5:5,Direkt,Neben Tor,,,Festsetzen,0.1,,
MS13_GC_H,Low Q Chance Against: 25,D3,L3,5:5,Gezogen,Geblockt,Strohl Micha,,Festsetzen,0.1,,
MS13_GC_H,Low Q Chance Against: 26,D3,L3,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS13_GC_H,Low Q Chance Against: 27,D3,L2,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
MS13_GC_H,Low Q Chance Against: 28,D3,L1,5:5,Direkt,Neben Tor,,,Standart,0.2,,
MS13_GC_H,ZOE For: 1,D1,L2,5:5,,,,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 2,D1,L3,5:5,,,,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 3,D1,L1,5:5,,,,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 4,D1,L3,5:5,,,,,Auslösung,,Good,
MS13_GC_H,ZOE For: 5,D1,L2,5:5,,,Janis Lauber,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 6,D1,L3,5:5,,,,,Auslösung,,Good,
MS13_GC_H,ZOE For: 7,D1,L3,5:5,,,,,Auslösung,,Good,
MS13_GC_H,ZOE For: 8,D2,L3,5:5,,,Martin Mosimann,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 9,D2,L2,5:5,,,Janis Lauber,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 10,D2,L1,5:5,,,,,Auslösung,,Good,
MS13_GC_H,ZOE For: 11,D2,L3,5:5,,,Martin Mosimann,,Auslösung,,Good,
MS13_GC_H,ZOE For: 12,D2,L2,5:5,,,Luca Fankhauser,,Auslösung,,Good,
MS13_GC_H,ZOE For: 13,D2,L1,5:5,,,,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 14,D2,L3,5:5,,,Martin Mosimann,,Auslösung,,Good,
MS13_GC_H,ZOE For: 15,D2,L2,5:5,,,,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 16,D2,L3,5:5,,,Luca Steiner,,Auslösung,,Good,
MS13_GC_H,ZOE For: 17,D2,L2,5:5,,,,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 18,D2,L1,5:5,,,Gustav Svensson,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 19,D2,L3,5:5,,,Luca Steiner,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 20,D2,L2,5:5,,,Janis Lauber,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 21,D2,L2,5:5,,,Janis Lauber,,Auslösung,,Bad,
MS13_GC_H,ZOE For: 22,D3,L2,5:5,,,,,Auslösung,,Good,
MS13_GC_H,ZOE For: 23,D3,L1,5:5,,,Maurice Aebersold,,Auslösung,,Good,
MS13_GC_H,ZOE For: 24,D3,L2,5:5,,,,,Auslösung,,Good,
MS13_GC_H,ZOE For: 25,D3,L1,5:5,,,,,Auslösung,,Good,
