Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS14_Chur_A,ZOE For: 1,D1,L3,5:5,,,,,Auslösung,,Bad,
MS14_Chur_A,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,,Bad,
MS14_Chur_A,ZOE For: 3,D1,L3,5:5,,,,,Auslösung,,Bad,
MS14_Chur_A,ZOE For: 4,D1,L2,5:5,,,,,Auslösung,,Bad,
MS14_Chur_A,ZOE For: 5,D1,L2,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 6,D1,L3,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 7,D1,L2,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 8,D1,L2,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 9,D1,L2,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 10,D1,L1,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 11,D1,L2,5:5,,,,,Auslösung,,Bad,
MS14_Chur_A,ZOE For: 12,D1,L1,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 13,D1,L1,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 14,D2,L1,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 15,D2,L1,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 16,D2,L1,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 17,D2,L1,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 18,D2,L2,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 19,D3,L1,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 20,D3,L1,5:5,,,,,Auslösung,,Bad,
MS14_Chur_A,ZOE For: 21,D3,L2,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 22,D3,L1,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE For: 23,D3,L1,5:5,,,,,Auslösung,,Good,
MS14_Chur_A,ZOE Gegner: 1,D1,L1,5:5,,,,,Auslösung,,,Good
MS14_Chur_A,ZOE Gegner: 2,D1,L3,5:5,,,,,Auslösung,,,Good
MS14_Chur_A,ZOE Gegner: 3,D2,L1,5:5,,,,,Auslösung,,,Bad
MS14_Chur_A,Tor Gegner: 1,D1,L3,5:5,Gezogen,,,,Konter,0.2,,
MS14_Chur_A,Tor Gegner: 2,D1,L3,5:5,Direkt,,,,Auslösung,0.7,,
MS14_Chur_A,Tor Gegner: 3,D1,L1,5:5,Direkt,,,,Konter,0.8,,
MS14_Chur_A,Tor Gegner: 4,D2,L2,5:5,Direkt,,,,Konter,0.4,,
MS14_Chur_A,Tor Gegner: 5,D2,L1,5:5,Direkt,,,,Konter,0.5,,
MS14_Chur_A,Tor Gegner: 6,D3,BP1,4:5,Direkt,,,,,0.6,,
MS14_Chur_A,Tor Gegner: 7,D3,L2,5:5,Volley,,,,Konter,0.6,,
MS14_Chur_A,Tor Gegner: 8,D3,6:5,6:5,Gezogen,,,,,0.2,,
MS14_Chur_A,Tor Gegner: 9,D3,6:5,6:5,,,,,,0.7,,
MS14_Chur_A,Low Q Chance Against: 1,D3,L2,5:5,Direkt,Neben Tor,,,Konter,0.2,,
MS14_Chur_A,Low Q Chance Against: 2,D2,L1,5:5,Handgelenk,Neben Tor,,,Standart,0.1,,
MS14_Chur_A,Low Q Chance Against: 3,D2,L2,5:5,Direkt,Auf Tor,,,Auslösung,0.2,,
MS14_Chur_A,Low Q Chance Against: 4,D2,L3,5:5,,Geblockt,Schwarz Janis,,Festsetzen,0.2,,
MS14_Chur_A,Low Q Chance Against: 5,D2,L1,5:5,Gezogen,Geblockt,,,Festsetzen,0.2,,
MS14_Chur_A,Low Q Chance Against: 6,D2,L2,5:5,Direkt,Neben Tor,,,Standart,0.1,,
MS14_Chur_A,Low Q Chance Against: 7,D2,L2,5:5,Gezogen,Auf Tor,,,Standart,0.1,,
MS14_Chur_A,Low Q Chance Against: 8,D3,L1,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS14_Chur_A,Low Q Chance Against: 9,D3,L2,5:5,,,,,Standart,0.1,,
MS14_Chur_A,Low Q Chance Against: 10,D3,L2,5:5,Gezogen,,,,Standart,0.2,,
MS14_Chur_A,Mid Q Chance For: 1,D1,L1,5:5,Direkt,Auf Tor,Kevin Kropf,Steiner Simon,Auslösung,0.4,,
MS14_Chur_A,Mid Q Chance For: 2,D1,L1,5:5,Handgelenk,Auf Tor,Simon Steiner,Kevin Kropf,Festsetzen,0.5,,
MS14_Chur_A,Mid Q Chance For: 3,D2,L1,5:5,Direkt,Auf Tor,Simon Steiner,Kevin Kropf,Nachsetzen,0.4,,
