Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS15_Wiler_A,ZOE Gegner: 1,D1,L1,5:5,,,,,Auslösung,,,Good
MS15_Wiler_A,ZOE Gegner: 2,D1,L2,5:5,,,,,Auslösung,,,Bad
MS15_Wiler_A,ZOE Gegner: 3,D1,L2,5:5,,,,,Auslösung,,,Good
MS15_Wiler_A,ZOE Gegner: 4,D1,L2,5:5,,,,,Auslösung,,,Good
MS15_Wiler_A,ZOE Gegner: 5,D1,L3,5:5,,,,,Auslösung,,,Bad
MS15_Wiler_A,ZOE Gegner: 6,D1,L1,5:5,,,,,Auslösung,,,Good
MS15_Wiler_A,ZOE Gegner: 7,D1,L3,5:5,,,,,Auslösung,,,Good
MS15_Wiler_A,ZOE Gegner: 8,D1,L3,5:5,,,,,Auslösung,,,Bad
MS15_Wiler_A,ZOE Gegner: 9,D1,L3,5:5,,,,,Auslösung,,,Good
MS15_Wiler_A,ZOE Gegner: 10,D1,L2,5:5,,,,,Auslösung,,,Bad
MS15_Wiler_A,ZOE Gegner: 11,D1,L3,5:5,,,,,Auslösung,,,Bad
MS15_Wiler_A,ZOE Gegner: 12,D1,L2,5:5,,,,,,,,Bad
MS15_Wiler_A,ZOE Gegner: 13,D2,L1,5:5,,,,,Auslösung,,,Good
MS15_Wiler_A,ZOE Gegner: 14,D2,L2,5:5,,,,,Auslösung,,,Good
MS15_Wiler_A,ZOE Gegner: 15,D2,L1,5:5,,,,,Auslösung,,,Bad
MS15_Wiler_A,ZOE Gegner: 16,D2,L1,5:5,,,,,Auslösung,,,Good
MS15_Wiler_A,ZOE Gegner: 17,D2,L1,5:5,,,,,Auslösung,,,Good
MS15_Wiler_A,Low Q Chance Against: 1,D1,L1,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
MS15_Wiler_A,Low Q Chance Against: 2,D1,L1,5:5,Gezogen,Neben Tor,,,Pressing,0.2,,
MS15_Wiler_A,Low Q Chance Against: 3,D1,L1,5:5,Handgelenk,Geblockt,Christian Stucki,,Konter,0.1,,
MS15_Wiler_A,Low Q Chance Against: 4,D1,L2,5:5,Handgelenk,Geblockt,Luca Fankhauser,,Nachsetzen,0.1,,
MS15_Wiler_A,Low Q Chance Against: 5,D1,L2,5:5,Gezogen,Auf Tor,,,Auslösung,0.2,,
MS15_Wiler_A,Low Q Chance Against: 6,D1,L1,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.1,,
MS15_Wiler_A,Low Q Chance Against: 7,D1,L3,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
MS15_Wiler_A,Low Q Chance Against: 8,D1,L1,5:5,Gezogen,Geblockt,Christian Stucki,,Standart,0.1,,
MS15_Wiler_A,Low Q Chance Against: 9,D1,L2,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS15_Wiler_A,Low Q Chance Against: 10,D1,L2,5:5,Handgelenk,Auf Tor,,,Auslösung,0.1,,
MS15_Wiler_A,Low Q Chance Against: 11,D2,L1,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
MS15_Wiler_A,Low Q Chance Against: 12,D2,L1,5:5,Gezogen,Neben Tor,,,Konter,0.2,,
