Timeline,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS16_WaSa,ZOE Gegner: 1,D1,L1,5:5,,,,,Auslösung,,,Bad
MS16_WaSa,ZOE Gegner: 2,D1,L3,5:5,,,,,Auslösung,,,Bad
MS16_WaSa,ZOE Gegner: 3,D1,L3,5:5,,,,,Auslösung,,,Good
MS16_WaSa,ZOE Gegner: 4,D1,L3,5:5,,,,,Auslösung,,,Good
MS16_WaSa,ZOE Gegner: 5,D1,L1,5:5,,,,,Auslösung,,,Good
MS16_WaSa,ZOE Gegner: 6,D1,L1,5:5,,,,,Auslösung,,,Good
MS16_WaSa,ZOE Gegner: 7,D2,L1,5:5,,,,,Auslösung,,,Good
MS16_WaSa,ZOE Gegner: 8,D2,L2,5:5,,,,,Auslösung,,,Good
MS16_WaSa,ZOE Gegner: 9,D3,L3,5:5,,,,,Auslösung,,,Bad
MS16_WaSa,ZOE Gegner: 10,D3,L3,5:5,,,,,Auslösung,,,Good
MS16_WaSa,Low Q Chance For: 1,D1,L2,5:5,Gezogen,Geblockt,Kevin Kropf,Gustav Svensson,Auslösung,0.15,,
MS16_WaSa,Low Q Chance For: 2,D1,L2,5:5,Volley,Geblockt,Janis Lauber,Matteo Steiner,Festsetzen,0.40,,
MS16_WaSa,Low Q Chance For: 3,D1,L1,5:5,Gezogen,Neben Tor,Simon Steiner,Elias Lunnestad,Standart,0.15,,
MS16_WaSa,Low Q Chance For: 4,D1,L2,5:5,Handgelenk,Geblockt,Janis Lauber,,Konter,0.15,,
MS16_WaSa,Low Q Chance For: 5,D1,L2,5:5,Gezogen,Geblockt,Nick Pfister,Janis Lauber,Konter,0.15,,
MS16_WaSa,Low Q Chance For: 6,D1,L2,5:5,Gezogen,Auf Tor,Matteo Steiner,Lukas Münger,Auslösung,0.15,,
