Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS18_Malans H,ZOE Gegner: 1,D1,L2,,5:5,,,,,Auslösung,,,Good
MS18_Malans H,ZOE Gegner: 2,D1,L1,,5:5,,,,,Auslösung,,,Bad
MS18_Malans H,ZOE Gegner: 3,D1,L1,,5:5,,,,,Auslösung,,,Good
MS18_Malans H,ZOE Gegner: 4,D1,L1,,5:5,,,,,Auslösung,,,Good
MS18_Malans H,ZOE Gegner: 5,D1,L3,,5:5,,,,,Auslösung,,,Good
MS18_Malans H,ZOE Gegner: 6,D1,L1,,5:5,,,,,Auslösung,,,Good
MS18_Malans H,ZOE Gegner: 7,D1,L3,,5:5,,,,,Auslösung,,,Good
MS18_Malans H,ZOE Gegner: 8,D2,L1,,5:5,,,,,Auslösung,,,Good
MS18_Malans H,ZOE Gegner: 9,D3,L2,,5:5,,,,,Auslösung,,,Bad
MS18_Malans H,ZOE Gegner: 10,D3,L1,,5:5,,,,,Auslösung,,,Bad
MS18_Malans H,ZOE Gegner: 11,D3,L1,,5:5,,,,,Auslösung,,,Bad
MS18_Malans H,ZOE Gegner: 12,D3,L1,,5:5,,,,,Auslösung,,,Good
MS18_Malans H,Mid Q Chance For: 1,D1,L1,,5:5,Handgelenk,Neben Tor,Kevin Kropf,,Konter,0.3,,
MS18_Malans H,Mid Q Chance For: 2,D1,L2,,5:5,Handgelenk,Geblockt,Janis Lauber,,Nachsetzen,0.3,,
MS18_Malans H,Mid Q Chance For: 3,D2,L2,,5:5,Handgelenk,Geblockt,Nick Pfister,Janis Lauber,Festsetzen,0.3,,
MS18_Malans H,Mid Q Chance For: 4,D2,L1,,5:5,Gezogen,Neben Tor,Kevin Kropf,Steiner Simon,Standart,0.4,,
MS18_Malans H,Mid Q Chance For: 5,D2,L2,,5:5,Volley,Auf Tor,Matteo Steiner,Janis Lauber,Konter,0.4,,
MS18_Malans H,Mid Q Chance For: 6,D3,L2,,5:5,Direkt,Neben Tor,Janis Lauber,,Festsetzen,0.4,,
MS18_Malans H,Mid Q Chance For: 7,D3,L2,,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.4,,
MS18_Malans H,Mid Q Chance For: 8,D3,L1,,5:5,Handgelenk,Auf Tor,Christian Stucki,Kevin Kropf,Konter,0.3,,
MS18_Malans H,Mid Q Chance For: 9,D3,L2,,5:5,Gezogen,Neben Tor,Janis Lauber,Lukas Münger,Auslösung,0.5,,
MS18_Malans H,Tor Gegner: 1,D1,BP2,,4:5,Gezogen,,,,,0.2,,
MS18_Malans H,Tor Gegner: 2,D2,L2,,5:5,Gezogen,,,,Konter,0.3,,
MS18_Malans H,Tor Gegner: 3,D2,L1,,5:5,,,,,Auslösung,0.6,,
MS18_Malans H,Tor Gegner: 4,D3,L2,,5:5,Gezogen,,,,Konter,0.3,,
MS18_Malans H,Tor Gegner: 5,D3,L2,,5:5,Gezogen,,,,Standart,0.2,,
MS18_Malans H,ZOE For: 1,D1,L2,,5:5,,,,,Auslösung,,Good,
MS18_Malans H,ZOE For: 2,D1,L2,,5:5,,,,,Auslösung,,Bad,
MS18_Malans H,ZOE For: 3,,,,,,,,,,,,
MS18_Malans H,ZOE For: 4,D1,L3,,5:5,,,Martin Mosimann,,Auslösung,,Good,
MS18_Malans H,ZOE For: 5,"D2, D1",L3,,5:5,,,,,Auslösung,,Good,
MS18_Malans H,ZOE For: 6,D2,L1,,5:5,,,,,Auslösung,,Good,
MS18_Malans H,ZOE For: 7,D2,L2,,5:5,,,,,Auslösung,,Bad,
MS18_Malans H,ZOE For: 8,D2,L2,,5:5,,,,,Auslösung,,Bad,
MS18_Malans H,ZOE For: 9,D3,L2,,5:5,,,,,Auslösung,,Good,
MS18_Malans H,ZOE For: 10,D3,L1,,5:5,,,,,Auslösung,,Bad,
MS18_Malans H,Low Q Chance Against: 1,D1,L2,,5:5,Gezogen,Auf Tor,,,Konter,0.1,,
MS18_Malans H,Low Q Chance Against: 2,D1,L3,,5:5,Gezogen,Auf Tor,,,Auslösung,0.2,,
MS18_Malans H,Low Q Chance Against: 3,D1,L1,,5:5,,Auf Tor,,,Festsetzen,,,
MS18_Malans H,Low Q Chance Against: 4,D1,L3,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.2,,
MS18_Malans H,Low Q Chance Against: 5,D1,L2,,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
MS18_Malans H,Low Q Chance Against: 6,D1,L2,,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
MS18_Malans H,Low Q Chance Against: 7,D2,L2,,5:5,Handgelenk,Geblockt,Luca Fankhauser,,Auslösung,0.1,,
MS18_Malans H,Low Q Chance Against: 8,D2,L1,,5:5,Direkt,Neben Tor,,,Konter,0.1,,
MS18_Malans H,Low Q Chance Against: 9,D2,L3,,5:5,Gezogen,Geblockt,,,Standart,0.1,,
MS18_Malans H,Low Q Chance Against: 10,D2,L2,,5:5,Gezogen,Geblockt,,,Konter,0.1,,
MS18_Malans H,Low Q Chance Against: 11,D2,L2,,5:5,Gezogen,Geblockt,,,Standart,0.1,,
MS18_Malans H,Low Q Chance Against: 12,D2,L2,,5:5,Direkt,Geblockt,Janis Lauber,,Festsetzen,0.1,,
MS18_Malans H,Low Q Chance Against: 13,D2,L2,,5:5,Direkt,Geblockt,Lukas Münger,,Auslösung,0.1,,
MS18_Malans H,Low Q Chance Against: 14,D3,L2,,5:5,Handgelenk,Geblockt,Luca Fankhauser,,Konter,0.2,,
MS18_Malans H,Low Q Chance Against: 15,D3,L2,,5:5,Gezogen,Auf Tor,,,Standart,0.2,,
MS18_Malans H,Low Q Chance Against: 16,D3,L1,,5:5,Gezogen,Geblockt,,,Konter,0.1,,
MS18_Malans H,Low Q Chance Against: 17,D3,L2,,5:5,Handgelenk,Neben Tor,,,Auslösung,0.1,,
MS18_Malans H,Low Q Chance Against: 18,D3,L2,,5:5,Gezogen,Geblockt,Lukas Münger,,Auslösung,0.1,,
