Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,PeriodName,Schusslabels,Schussmetrik,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS19_Thurgau_A,Pot + Chance Against: 1,D1,L2,,5:5,,Direkt,Neben Tor,,Konter,0.2,,
MS19_Thurgau_A,Pot + Chance Against: 2,D2,L1,,5:5,,Direkt,Neben Tor,,Konter,0.5,,
MS19_Thurgau_A,ZOE For: 1,D1,L2,,5:5,,,,,Auslösung,,Good,
MS19_Thurgau_A,ZOE For: 2,D1,L3,,5:5,,,,,Auslösung,,Good,
MS19_Thurgau_A,ZOE For: 3,D1,L1,,5:5,,,,,Auslösung,,Good,
MS19_Thurgau_A,ZOE For: 4,D1,L1,,5:5,,,,,Auslösung,,Good,
MS19_Thurgau_A,ZOE For: 5,D1,L2,,5:5,,,,,Auslösung,,Good,
MS19_Thurgau_A,ZOE For: 6,D2,L1,,5:5,,,,,Auslösung,,Good,
MS19_Thurgau_A,ZOE For: 7,D2,L3,,5:5,,,,,Auslösung,0.1,Good,
MS19_Thurgau_A,ZOE For: 8,D2,L3,,5:5,,,,,Auslösung,,Good,
MS19_Thurgau_A,ZOE For: 9,D2,L3,,5:5,,,,,Auslösung,,Bad,
MS19_Thurgau_A,ZOE For: 10,D3,L2,,5:5,,,,,Auslösung,,Bad,
MS19_Thurgau_A,ZOE For: 11,D3,L1,,5:5,,,,,Auslösung,,Good,
MS19_Thurgau_A,ZOE For: 12,D3,L2,,5:5,,,,,Auslösung,,Bad,
MS19_Thurgau_A,ZOE For: 13,D3,L1,,5:5,,,,,Auslösung,,Good,
MS19_Thurgau_A,ZOE For: 14,D3,L2,,5:5,,,,,Auslösung,,Bad,
MS19_Thurgau_A,Low Q Chance For: 1,D1,L1,,5:5,,Gezogen,Auf Tor,Simon Steiner,Standart,0.2,,
MS19_Thurgau_A,Low Q Chance For: 2,D1,L1,,5:5,,Direkt,Neben Tor,Gustav Svensson,,0.1,,
MS19_Thurgau_A,Low Q Chance For: 3,D1,L1,,5:5,,Gezogen,Neben Tor,Kevin Kropf,Standart,0.3,,
MS19_Thurgau_A,Low Q Chance For: 4,D1,L2,,5:5,,Gezogen,Geblockt,Luca Fankhauser,Auslösung,0.1,,
MS19_Thurgau_A,Low Q Chance For: 5,D1,L2,,5:5,,Gezogen,Neben Tor,Lukas Münger,Festsetzen,0.2,,
MS19_Thurgau_A,Low Q Chance For: 6,D2,L3,,5:5,,Gezogen,Geblockt,,Festsetzen,0.1,,
MS19_Thurgau_A,Low Q Chance For: 7,D2,L2,,5:5,,Gezogen,Geblockt,Matteo Steiner,Konter,0.2,,
MS19_Thurgau_A,Low Q Chance For: 8,D2,L2,,5:5,,Gezogen,Geblockt,Janis Lauber,Pressing,0.1,,
MS19_Thurgau_A,Low Q Chance For: 9,D2,L2,,5:5,,Direkt,,Luca Fankhauser,Nachsetzen,0.2,,
MS19_Thurgau_A,Low Q Chance For: 10,D2,L2,,5:5,,Direkt,Geblockt,Maurice Aebersold,Standart,0.1,,
MS19_Thurgau_A,Low Q Chance For: 11,D3,L2,,5:5,,Handgelenk,Geblockt,Matteo Steiner,Auslösung,0.1,,
MS19_Thurgau_A,Low Q Chance For: 12,D3,L1,,5:5,,Gezogen,Geblockt,Kevin Kropf,Konter,0.2,,
MS19_Thurgau_A,Low Q Chance For: 13,D3,L2,,5:5,,Direkt,Geblockt,Luca Fankhauser,Festsetzen,0.1,,
MS19_Thurgau_A,Low Q Chance For: 14,D3,L2,,5:5,,Gezogen,Auf Tor,Matteo Steiner,Konter,0.2,,
MS19_Thurgau_A,Low Q Chance For: 15,D3,L1,,5:5,,Gezogen,Geblockt,Christian Stucki,Auslösung,0.1,,
MS19_Thurgau_A,Low Q Chance For: 16,D3,L1,,5:5,,Handgelenk,Neben Tor,Simon Steiner,Auslösung,0.3,,
MS19_Thurgau_A,Low Q Chance For: 17,D3,L1,,5:5,,Handgelenk,Geblockt,Simon Steiner,Auslösung,0.2,,
MS19_Thurgau_A,Pressing: 1,D1,L1,Good,5:5,,,,,Pressing,,,
MS19_Thurgau_A,Pressing: 2,D2,L1,Bad,5:5,,,,,Pressing,,,
MS19_Thurgau_A,Pressing: 3,D3,L1,Good,5:5,,,,,Pressing,,,
MS19_Thurgau_A,Pressing: 4,D3,L1,Good,5:5,,,,,Pressing,,,
MS19_Thurgau_A,Pressing: 5,D3,L2,Good,5:5,,,,,Pressing,,,
MS19_Thurgau_A,Pressing: 6,D3,L1,Good,5:5,,,,,Pressing,,,
MS19_Thurgau_A,Pressing: 7,D3,L2,Good,5:5,,,,,Pressing,,,
MS19_Thurgau_A,Mid Q Chance For: 1,D1,L1,,5:5,,Direkt,Auf Tor,Kevin Kropf,Nachsetzen,0.3,,
MS19_Thurgau_A,Mid Q Chance For: 2,D2,L2,,5:5,,Direkt,Auf Tor,Janis Lauber,Konter,0.3,,
MS19_Thurgau_A,Pot + Chance For: 1,D2,L2,,5:5,,Direkt,Neben Tor,Matteo Steiner,Konter,0.3,,
MS19_Thurgau_A,Tor Gegner: 1,D1,L1,,5:5,,Handgelenk,,,Auslösung,0.3,,
MS19_Thurgau_A,Tor Gegner: 2,D1,L2,,5:5,,Handgelenk,,,Konter,0.4,,
MS19_Thurgau_A,Tor Gegner: 3,D1,L3,,5:5,,Direkt,,,Pressing,0.3,,
MS19_Thurgau_A,Tor Gegner: 4,D2,L2,,5:5,,Volley,,,Festsetzen,0.3,,
MS19_Thurgau_A,Tor Gegner: 5,D2,BP1,,4:5,,,,,,0.1,,
MS19_Thurgau_A,Tor Gegner: 6,D3,BP1,,4:5,,Direkt,,,,0.5,,
MS19_Thurgau_A,ZOE Gegner: 1,D1,L3,,5:5,,,,,Auslösung,,,Good
MS19_Thurgau_A,ZOE Gegner: 2,D1,L3,,5:5,,,,,Auslösung,,,Bad
MS19_Thurgau_A,ZOE Gegner: 3,D1,L3,,5:5,,,,,Auslösung,,,Bad
MS19_Thurgau_A,ZOE Gegner: 4,D1,L3,,5:5,,,,,Auslösung,,,Good
MS19_Thurgau_A,ZOE Gegner: 5,D1,L2,,5:5,,,,,Auslösung,,,Good
MS19_Thurgau_A,ZOE Gegner: 6,D1,"L3, L3",,5:5,,,,,Auslösung,,,Bad
MS19_Thurgau_A,ZOE Gegner: 7,D1,L1,,5:5,,,,,Auslösung,,,Good
MS19_Thurgau_A,ZOE Gegner: 8,D2,L2,,5:5,,,,,Auslösung,,,Bad
MS19_Thurgau_A,ZOE Gegner: 9,D2,L1,,5:5,,,,,Auslösung,,,Bad
MS19_Thurgau_A,ZOE Gegner: 10,D2,L2,,5:5,,,,,Auslösung,,,Good
MS19_Thurgau_A,ZOE Gegner: 11,D2,L3,,5:5,,,,,Auslösung,,,Good
MS19_Thurgau_A,Low Q Chance Against: 1,D1,L3,,5:5,,Handgelenk,Geblockt,,Auslösung,0.2,,
MS19_Thurgau_A,Low Q Chance Against: 2,D1,L3,,5:5,,Gezogen,Geblockt,,Konter,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 3,D1,L2,,5:5,,Gezogen,Auf Tor,,Festsetzen,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 4,D1,"L2, L2",,5:5,,Volley,Auf Tor,,Auslösung,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 5,D1,L3,,5:5,,Direkt,Geblockt,,Standart,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 6,D2,L2,,5:5,,,Geblockt,,Konter,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 7,D2,L3,,5:5,,Handgelenk,Auf Tor,,Festsetzen,0.2,,
MS19_Thurgau_A,Low Q Chance Against: 8,D2,L3,,5:5,,Gezogen,Geblockt,,Standart,0.2,,
MS19_Thurgau_A,Low Q Chance Against: 9,D2,L3,,5:5,,Gezogen,Neben Tor,,Festsetzen,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 10,D2,L1,,5:5,,Gezogen,Geblockt,,Standart,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 11,D2,L1,,5:5,,Gezogen,Auf Tor,,Standart,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 12,D2,L1,,5:5,,Gezogen,Geblockt,,Festsetzen,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 13,D2,L1,,5:5,,Gezogen,,,Festsetzen,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 14,D2,L3,,5:5,,Gezogen,Geblockt,,Auslösung,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 15,D2,L2,,5:5,,Gezogen,Auf Tor,,Standart,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 16,D2,L2,,5:5,,Handgelenk,Geblockt,,Standart,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 17,D3,L2,,5:5,,Handgelenk,Neben Tor,,Konter,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 18,D3,L1,,5:5,,Gezogen,Geblockt,,Konter,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 19,D3,L2,,5:5,,Gezogen,Geblockt,,Standart,0.1,,
MS19_Thurgau_A,Low Q Chance Against: 20,D3,L1,,5:5,,Handgelenk,Neben Tor,,Konter,0.2,,
MS19_Thurgau_A,Mid Q Chance Against: 1,D1,L1,,5:5,,Direkt,Geblockt,,Auslösung,0.3,,
MS19_Thurgau_A,Mid Q Chance Against: 2,D3,L2,,5:5,,Direkt,Auf Tor,,Konter,0.4,,
MS19_Thurgau_A,Tor Tigers: 1,D1,L3,,5:5,,Handgelenk,,Janis Schwarz,Standart,0.4,,
MS19_Thurgau_A,Tor Tigers: 2,D1,PP1,,5:4,,Direkt,,Gustav Svensson,,0.3,,
MS19_Thurgau_A,Tor Tigers: 3,D3,L2,,5:5,,Handgelenk,,Janis Lauber,Festsetzen,0.6,,
MS19_Thurgau_A,Tor Tigers: 4,D3,6:5,,6:5,,Direkt,,Matteo Steiner,,0.3,,
MS19_Thurgau_A,Tor Tigers: 5,D3,6:5,,6:5,,Direkt,,Kevin Kropf,,0.3,,
MS19_Thurgau_A,Nachsetzen Tigers: 1,D1,L1,Bad,5:5,,,,,Nachsetzen,,,
MS19_Thurgau_A,Zone-Exits: 1,D2,L1,,5:5,,,,,Auslösung,,Bad,
MS19_Thurgau_A,High Q Chance Against: 1,D3,L2,,5:5,,Direkt,Neben Tor,,Konter,0.6,,
MS19_Thurgau_A,High Q Chance Against: 2,D3,L2,,5:5,,Direkt,Geblockt,,Konter,0.8,,
