Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Nummerische Spielsituation_DEF,Nummerische Spielsituation_OFF,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against,Zentralline
MS20_Uster,ZOE Gegner: 1,D1,L1,,5:5,,,,,,,Auslösung,,,Good,
MS20_Uster,ZOE Gegner: 2,D1,L2,,5:5,,,,,,,Auslösung,,,Good,
MS20_Uster,ZOE Gegner: 3,D1,L3,,5:5,,,,,,,Auslösung,,,Good,
MS20_Uster,ZOE Gegner: 4,,,,,,,,,,,,,,,
MS20_Uster,ZOE Gegner: 5,D1,L2,,5:5,,,,,,,Auslösung,,,Good,
MS20_Uster,ZOE Gegner: 6,"D2, D2",L3,,"5:5, 5:5",,,Gezogen,,,,"Auslösung, Festsetzen",0.1,,Good,
MS20_Uster,ZOE Gegner: 7,D2,L1,,5:5,,,,,,,Auslösung,,,Good,
MS20_Uster,ZOE Gegner: 8,D3,L2,,5:5,,,,,,,Auslösung,,,Good,
MS20_Uster,Mid Q Chance For: 1,D1,L2,,5:5,,,Direkt,Neben Tor,Christian Stucki,,Auslösung,0.4,,,
MS20_Uster,Mid Q Chance For: 2,D1,L2,,5:5,,,Handgelenk,Neben Tor,Kevin Kropf,,Auslösung,0.3,,,
MS20_Uster,Mid Q Chance For: 3,D2,L1,,5:5,,,Handgelenk,Auf Tor,Luca Fankhauser,,Konter,0.3,,,
MS20_Uster,Tor Gegner: 1,D1,L2,,5:5,,,Handgelenk,,,,Festsetzen,0.4,,,
MS20_Uster,Tor Gegner: 2,D1,BP2,,4:5,,,Direkt,,,,,0.7,,,
MS20_Uster,Tor Gegner: 3,D2,L3,,5:5,,,Gezogen,,,,Konter,0.1,,,
MS20_Uster,Tor Gegner: 4,D3,BP2,,4:5,,,Gezogen,,,,,0.3,,,
MS20_Uster,Divers: 1,D1,L1,,5:5,,,,,Nick Pfister,,,,,,
MS20_Uster,Divers: 2,D1,L3,,5:5,,,,,Janis Schwarz,,Festsetzen,,,,
MS20_Uster,Divers: 3,D1,L1,,5:5,,,,,Simon Steiner,,Konter,,,,
MS20_Uster,Divers: 4,D1,L3,,5:5,,,,,Janis Schwarz,,Auslösung,,,,
MS20_Uster,Divers: 5,,,,,,,,,,,,,,,
MS20_Uster,Divers: 6,,L3,,5:5,,,,,,,,,,,
MS20_Uster,Divers: 7,,,,,,,,,,,,,,,
MS20_Uster,Divers: 8,,,,,,,,,Gustav Svensson,,,,,,
MS20_Uster,Divers: 9,,,,,,,,,Roman Beck,,,,,,
MS20_Uster,Divers: 10,D2,L2,,5:5,,,,,Matteo Steiner,,Auslösung,,,,
MS20_Uster,Divers: 11,D2,L3,,5:5,,,,,Martin Mosimann,,Konter,,,,
MS20_Uster,Divers: 12,D2,L2,,5:5,,,,,Maurice Aebersold,,,,,,
MS20_Uster,Divers: 13,,,,,,,,,,,,,,,
MS20_Uster,Divers: 14,,,,,,,,,Kevin Kropf,,,,,,
MS20_Uster,Divers: 15,D2,,,5:5,,,,,Nick Pfister,,,,,,
MS20_Uster,Divers: 16,,,,,,,,,Janis Lauber,,,,,,
MS20_Uster,Divers: 17,D3,L2,,5:5,,,,,Kevin Kropf,,,,,,
MS20_Uster,Divers: 18,D3,L2,,5:5,,,,,Kevin Kropf,,Konter,,,,
MS20_Uster,Def.Transition: 1,D1,L1,,5:5,,,,,Janis Lauber,,,,,,
MS20_Uster,Def.Transition: 2,D2,L3,,5:5,,,,,,,Konter,,,,
MS20_Uster,Mid Q Chance Against: 1,D1,"L1, L1",,5:5,,,Direkt,Neben Tor,,,Konter,0.2,,,
MS20_Uster,Mid Q Chance Against: 2,D1,L1,,5:5,,,"Direkt, Gezogen",,,,Konter,0.3,,,
MS20_Uster,Mid Q Chance Against: 3,D1,L1,,5:5,,,Direkt,Auf Tor,,,Konter,0.3,,,
MS20_Uster,Low Q Chance Against: 1,D1,L3,,5:5,,,Handgelenk,Auf Tor,,,Auslösung,0.2,,,
MS20_Uster,Low Q Chance Against: 2,D1,L1,,5:5,,,"Gezogen, CUTS",Geblockt,,,Konter,0.1,,,
MS20_Uster,Low Q Chance Against: 3,D1,L1,,5:5,,,Gezogen,Geblockt,,,Auslösung,0.1,,,
MS20_Uster,Low Q Chance Against: 4,D1,L2,,5:5,,,Direkt,Neben Tor,,,Standart,0.1,,,
