Spiel,Instance number,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS21_FBK_H,1,D1,L2,,5:5,,,,Pressing,,,
MS21_FBK_H,2,D1,L2,,5:5,,,Martin Mosimann,Konter,,,
MS21_FBK_H,3,D1,L3,,5:5,,,,Auslösung,,,
MS21_FBK_H,4,,,,,,,,,,,
MS21_FBK_H,5,,,,,,,,,,,
MS21_FBK_H,1,D1,L1,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,2,D1,L2,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,3,D1,L3,,5:5,,,Björn Schenkel,Auslösung,,Good,
MS21_FBK_H,4,D1,L3,,5:5,,,Björn Schenkel,Auslösung,,Bad,
MS21_FBK_H,5,D1,L3,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,6,D1,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,7,D1,L3,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,8,D1,L2,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,9,D1,L3,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,10,D1,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,11,D1,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,12,D1,L2,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,13,D1,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,14,D2,L1,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,15,D2,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,16,D2,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,17,D2,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,18,D2,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,19,D2,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,20,D2,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,21,D2,L3,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,22,D2,L2,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,23,D2,L2,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,24,D2,L2,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,25,D3,L2,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,26,D3,L1,,5:5,,,,Auslösung,0.1,Good,
MS21_FBK_H,27,D3,L2,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,28,D3,L1,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,1,D1,L1,,5:5,Handgelenk,Auf Tor,,Konter,0.1,,
MS21_FBK_H,2,D1,L2,,5:5,Handgelenk,"Auf Tor, Neben Tor",,Auslösung,0.2,,
MS21_FBK_H,3,D1,L1,,5:5,Gezogen,"Auf Tor, Neben Tor",,Auslösung,0.1,,
MS21_FBK_H,4,D1,L3,,5:5,Gezogen,"Auf Tor, Geblockt",,Standart,0.1,,
MS21_FBK_H,5,D1,L2,,5:5,Gezogen,"Auf Tor, Geblockt",,Festsetzen,0.1,,
MS21_FBK_H,6,D1,L3,,5:5,Volley,"Auf Tor, Geblockt",,Konter,0.2,,
MS21_FBK_H,7,D1,L2,,5:5,Gezogen,"Auf Tor, Auf Tor",,Standart,0.1,,
MS21_FBK_H,8,D1,L1,,5:5,Handgelenk,"Auf Tor, Geblockt",Simon Steiner,Nachsetzen,0.1,,
MS21_FBK_H,9,D1,L1,,5:5,Direkt,"Auf Tor, Geblockt",,Konter,0.1,,
MS21_FBK_H,10,D1,L2,,5:5,Gezogen,"Auf Tor, Neben Tor",,Standart,0.2,,
MS21_FBK_H,11,D1,L3,,5:5,Gezogen,"Auf Tor, Auf Tor",,Nachsetzen,0.1,,
MS21_FBK_H,12,D2,,,5:5,Gezogen,"Auf Tor, Auf Tor",,Standart,0.1,,
MS21_FBK_H,13,D2,L3,,5:5,Gezogen,"Auf Tor, Geblockt",,Standart,0.2,,
MS21_FBK_H,14,D2,L1,,5:5,Volley,"Auf Tor, Auf Tor",,Standart,0.1,,
MS21_FBK_H,15,D2,L2,,5:5,Direkt,"Auf Tor, Neben Tor",,Konter,0.2,,
MS21_FBK_H,16,D2,L3,,5:5,Handgelenk,"Auf Tor, Geblockt",,Konter,0.1,,
MS21_FBK_H,17,D2,L1,,5:5,Gezogen,"Auf Tor, Neben Tor",,Standart,0.1,,
MS21_FBK_H,18,D2,L3,,5:5,Gezogen,"Auf Tor, Auf Tor",,Standart,0.1,,
MS21_FBK_H,19,D2,L2,,5:5,Gezogen,"Auf Tor, Auf Tor",,Auslösung,0.2,,
MS21_FBK_H,20,D2,L1,,5:5,Direkt,"Auf Tor, Neben Tor",,Standart,0.1,,
MS21_FBK_H,21,D3,L1,,5:5,Gezogen,"Auf Tor, Geblockt",,Konter,0.2,,
MS21_FBK_H,22,D3,L1,,5:5,Gezogen,"Auf Tor, Geblockt",,Nachsetzen,0.2,,
MS21_FBK_H,23,D3,L2,,5:5,Gezogen,Auf Tor,,Festsetzen,0.1,,
MS21_FBK_H,1,D1,L2,,5:5,Gezogen,Neben Tor,Matteo Steiner,Auslösung,0.1,,
MS21_FBK_H,2,D1,L2,,5:5,,Geblockt,Nick Pfister,Auslösung,0.1,,
MS21_FBK_H,3,D1,L3,,5:5,Gezogen,Neben Tor,Maurice Aebersold,Auslösung,0.1,,
MS21_FBK_H,4,D1,L1,,5:5,Gezogen,Geblockt,,Standart,0.1,,
MS21_FBK_H,5,D1,L1,,5:5,Gezogen,Geblockt,,Standart,0.1,,
MS21_FBK_H,6,D1,L2,,5:5,Direkt,Auf Tor,Luca Fankhauser,Auslösung,0.1,,
MS21_FBK_H,7,D1,L1,,5:5,Gezogen,Geblockt,Simon Steiner,Standart,0.1,,
MS21_FBK_H,8,D1,L1,,5:5,Volley,Geblockt,Kevin Kropf,Standart,0.2,,
MS21_FBK_H,9,D1,L1,,5:5,Gezogen,Geblockt,Kevin Kropf,Standart,0.1,,
MS21_FBK_H,10,D1,L2,,5:5,Gezogen,Neben Tor,Janis Lauber,Konter,0.2,,
MS21_FBK_H,11,D2,L1,,5:5,Gezogen,Geblockt,Kevin Kropf,Auslösung,0.2,,
MS21_FBK_H,12,D2,L1,,5:5,Gezogen,Auf Tor,Gustav Svensson,Konter,0.3,,
MS21_FBK_H,13,D2,L3,,5:5,Handgelenk,Auf Tor,Luca Steiner,Auslösung,0.2,,
MS21_FBK_H,14,D2,L1,,5:5,Gezogen,Auf Tor,Micha Strohl,Standart,0.2,,
MS21_FBK_H,15,D3,L2,,5:5,Gezogen,Auf Tor,,Nachsetzen,0.2,,
MS21_FBK_H,16,D3,L1,,5:5,Direkt,Geblockt,,Standart,0.1,,
MS21_FBK_H,17,D3,L2,,5:5,Gezogen,Geblockt,Luca Steiner,Auslösung,0.1,,
MS21_FBK_H,18,D3,L1,,5:5,Direkt,Neben Tor,Micha Strohl,Festsetzen,0.1,,
MS21_FBK_H,19,D3,L1,,5:5,Gezogen,Geblockt,,Konter,0.1,,
MS21_FBK_H,20,D3,L1,,5:5,Direkt,Neben Tor,Christian Stucki,Standart,0.1,,
MS21_FBK_H,1,D1,L2,Bad,5:5,,,Matteo Steiner,Pressing,,,
MS21_FBK_H,2,D1,L1,Good,5:5,,,,Pressing,,,
MS21_FBK_H,3,D1,L2,Good,5:5,,,,Pressing,,,
MS21_FBK_H,4,D1,L2,Bad,5:5,,,,Pressing,,,
MS21_FBK_H,1,D1,L3,,5:5,,,,Standart,,,
MS21_FBK_H,2,D1,L3,,5:5,,,,Standart,,,
MS21_FBK_H,3,D1,L3,,5:5,,,,Standart,,,
MS21_FBK_H,4,D1,L1,,5:5,,,,Standart,,,
MS21_FBK_H,5,D1,L2,,5:5,,,,Standart,,,
MS21_FBK_H,6,D1,L2,,5:5,,,,Standart,,,
MS21_FBK_H,7,D1,L2,,5:5,,,,Standart,,,
MS21_FBK_H,8,D2,L2,,5:5,,,,Standart,,,
MS21_FBK_H,9,D2,L3,,5:5,,,,Standart,,,
MS21_FBK_H,10,D2,L3,,5:5,,,,Standart,,,
MS21_FBK_H,11,D2,L3,,5:5,,,,Standart,,,
MS21_FBK_H,12,D2,L1,,5:5,,,,Standart,,,
MS21_FBK_H,13,D2,L2,,5:5,,,,Standart,,,
MS21_FBK_H,14,D2,L1,,5:5,,,,Standart,,,
MS21_FBK_H,15,D2,L1,,5:5,,,,Standart,,,
MS21_FBK_H,16,D2,L2,,5:5,,,,Standart,,,
MS21_FBK_H,17,D2,L1,,5:5,,,,Standart,,,
MS21_FBK_H,18,D2,L1,,5:5,,,Christian Stucki,Standart,,,
MS21_FBK_H,19,D2,L3,,5:5,,,,Standart,,,
MS21_FBK_H,1,D1,L1,,5:5,,,,Auslösung,0.4,,Good
MS21_FBK_H,2,D1,L1,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,3,D1,L3,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,4,D1,L3,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,5,D1,L2,,5:5,,,,Auslösung,,,Bad
MS21_FBK_H,6,"D1, D1",L1,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,7,D2,L3,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,8,D2,L2,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,9,D2,L2,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,10,D2,L2,,5:5,,,,Auslösung,,,Bad
MS21_FBK_H,11,D2,L2,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,12,D3,L1,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,13,D3,L2,,5:5,,,,Auslösung,,,Bad
MS21_FBK_H,14,D3,L1,,5:5,,,,Auslösung,,,Good
