Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS22_Basel,ZOE For: 1,D1,L2,,5:5,,,,Auslösung,,Good,
MS22_Basel,ZOE For: 2,D1,L3,,5:5,Direkt,,,Auslösung,0.2,Bad,
MS22_Basel,ZOE For: 3,D1,L1,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 4,D1,L2,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 5,D1,L3,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 6,D1,L3,,5:5,,,,Auslösung,,Good,
MS22_Basel,ZOE For: 7,D1,L1,,5:5,Direkt,,Luca Fankhauser,Auslösung,0.1,Bad,
MS22_Basel,ZOE For: 8,D1,L1,,5:5,,,,Auslösung,,Good,
MS22_Basel,ZOE For: 9,D1,L2,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 10,D1,L1,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 11,D1,L3,,5:5,,,,Auslösung,,Good,
MS22_Basel,ZOE For: 12,D2,L2,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 13,D2,L1,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 14,D2,L1,,5:5,,,Luca Fankhauser,Auslösung,,Bad,
MS22_Basel,ZOE For: 15,D2,L1,,5:5,,,,Auslösung,,Good,
MS22_Basel,ZOE For: 16,D2,L1,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 17,D2,L1,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 18,D2,L2,,5:5,,,,Auslösung,,Good,
MS22_Basel,ZOE For: 19,D2,L1,,5:5,,,,Auslösung,,Good,
MS22_Basel,ZOE For: 20,D2,L3,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 21,D2,L2,,5:5,,,,Auslösung,,Good,
MS22_Basel,ZOE For: 22,D2,L1,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 23,"D2, D2",L1,,"5:5, 5:5",Gezogen,,,Auslösung,0.1,Good,
MS22_Basel,ZOE For: 24,"D2, D2",L1,,"5:5, 5:5",Direkt,,,"Auslösung, Festsetzen",0.2,Good,
MS22_Basel,ZOE For: 25,"D2, D3",L1,,5:5,,,,Auslösung,,Good,
MS22_Basel,ZOE For: 26,D3,L1,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 27,D3,L1,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 28,D3,L2,,5:5,,,,Auslösung,,Bad,
MS22_Basel,ZOE For: 29,D3,L3,,5:5,,,,Auslösung,,Good,
MS22_Basel,Low Q Chance For: 1,D1,L2,,5:5,Gezogen,Auf Tor,Simon Steiner,Nachsetzen,0.1,,
MS22_Basel,Low Q Chance For: 2,D1,L2,,5:5,Handgelenk,Auf Tor,Thomas Gfeller,Nachsetzen,0.1,,
MS22_Basel,Low Q Chance For: 3,D1,L3,,5:5,Direkt,"Geblockt, Auf Tor, Neben Tor",Christian Stucki,Konter,0.2,,
MS22_Basel,Low Q Chance For: 4,D1,L3,,5:5,Handgelenk,"Auf Tor, Auf Tor",Elias Lunnestad,Auslösung,0.1,,
MS22_Basel,Low Q Chance For: 5,D1,L1,,5:5,Handgelenk,"Auf Tor, Geblockt, Geblockt",Nick Pfister,Konter,0.1,,
MS22_Basel,Low Q Chance For: 6,D1,L1,,5:5,Gezogen,"Auf Tor, Neben Tor",Nick Pfister,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 7,D1,L1,,5:5,Direkt,"Auf Tor, Auf Tor, Geblockt",Matteo Steiner,Auslösung,0.1,,
MS22_Basel,Low Q Chance For: 8,D2,L2,,5:5,Direkt,Neben Tor,Micha Strohl,Standart,0.1,,
MS22_Basel,Low Q Chance For: 9,D2,L2,,5:5,Gezogen,"Auf Tor, Auf Tor",Thomas Gfeller,Festsetzen,0.2,,
MS22_Basel,Low Q Chance For: 10,D2,L3,,5:5,Gezogen,"Geblockt, Auf Tor",Elias Lunnestad,Auslösung,0.1,,
MS22_Basel,Low Q Chance For: 11,D2,L3,,5:5,Gezogen,Neben Tor,Jan Ewald,Festsetzen,0.2,,
MS22_Basel,Low Q Chance For: 12,D2,L2,,5:5,Handgelenk,Auf Tor,Gustav Svensson,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 13,D2,L1,,5:5,Volley,Geblockt,Luca Fankhauser,Nachsetzen,0.2,,
MS22_Basel,Low Q Chance For: 14,D2,L3,,5:5,Direkt,"Auf Tor, Auf Tor",Björn Schenkel,Standart,0.1,,
MS22_Basel,Low Q Chance For: 15,D2,L3,,5:5,Gezogen,"Geblockt, Neben Tor",Luca Steiner,Auslösung,0.2,,
MS22_Basel,Low Q Chance For: 16,D2,L2,,5:5,Direkt,"Neben Tor, Geblockt, Auf Tor",Kevin Kropf,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 17,D2,L1,,5:5,Gezogen,Auf Tor,Martin Mosimann,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 18,D2,L3,,5:5,Gezogen,Auf Tor,,Standart,0.1,,
MS22_Basel,Low Q Chance For: 19,D2,L2,,5:5,Direkt,Geblockt,Gustav Svensson,Festsetzen,0.2,,
MS22_Basel,Low Q Chance For: 20,D2,L1,,5:5,Direkt,"Neben Tor, Geblockt",Luca Fankhauser,Festsetzen,0.2,,
MS22_Basel,Low Q Chance For: 21,D2,L1,,5:5,Gezogen,Geblockt,Janis Lauber,Auslösung,0.1,,
MS22_Basel,Low Q Chance For: 22,D3,L1,,5:5,Gezogen,Auf Tor,Matteo Steiner,Auslösung,0.1,,
MS22_Basel,Low Q Chance For: 23,D3,L2,,5:5,Gezogen,Geblockt,Christian Stucki,Auslösung,0.1,,
MS22_Basel,Low Q Chance For: 24,D3,L3,,5:5,Gezogen,"Neben Tor, Geblockt",Jan Ewald,Standart,0.2,,
