Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PFVF3_SVWE,ZOE For: 1,D1,L2,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,ZOE For: 2,D1,L1,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,ZOE For: 3,D1,L3,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,ZOE For: 4,D1,L2,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,ZOE For: 5,D1,L2,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,ZOE For: 6,D1,L1,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,ZOE For: 7,D1,L2,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,ZOE For: 8,D1,L1,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,ZOE For: 9,D1,L3,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,ZOE For: 10,D1,L3,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,ZOE For: 11,D1,L3,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,ZOE For: 12,D1,L2,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,ZOE For: 13,D1,"L1, L2",,5:5,,,Auslösung,,Good,
PFVF3_SVWE,ZOE For: 14,D2,L2,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,ZOE For: 15,D2,L1,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,ZOE For: 16,D3,L1,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,ZOE For: 17,D3,L1,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,Tor Tigers: 1,D1,L2,,5:5,Handgelenk,Kevin Kropf,Nachsetzen,0.3,,
PFVF3_SVWE,Tor Tigers: 2,D1,L2,,5:5,,Simon Steiner,Auslösung,0.3,,
PFVF3_SVWE,Tor Tigers: 3,D2,L1,,5:5,Handgelenk,Janis Lauber,Konter,0.4,,
PFVF3_SVWE,Tor Tigers: 4,D2,L1,,5:5,Handgelenk,Janis Lauber,Auslösung,0.2,,
PFVF3_SVWE,Tor Tigers: 5,D2,L2,,5:5,Gezogen,Thomas Gfeller,Konter,0.4,,
PFVF3_SVWE,Tor Tigers: 6,D3,L1,,5:5,Handgelenk,Janis Lauber,Konter,0.3,,
PFVF3_SVWE,Tor Tigers: 7,D3,L2,,5:5,Handgelenk,Thomas Gfeller,Standart,,,
PFVF3_SVWE,Tor Tigers: 8,D3,L1,,5:6,Handgelenk,Matteo Steiner,,0.4,,
PFVF3_SVWE,Low Q Chance For: 1,D1,L1,,5:5,Handgelenk,Janis Lauber,Auslösung,0.1,,
PFVF3_SVWE,Low Q Chance For: 2,D1,L3,,5:5,Gezogen,Elias Lunnestad,Auslösung,0.1,,
PFVF3_SVWE,Low Q Chance For: 3,D1,L1,,5:5,Gezogen,Janis Lauber,Auslösung,0.1,,
PFVF3_SVWE,Low Q Chance For: 4,D1,L2,,5:5,Direkt,Simon Steiner,Auslösung,0.2,,
PFVF3_SVWE,Low Q Chance For: 5,D1,L2,,5:5,Direkt,Micha Strohl,Standart,0.1,,
PFVF3_SVWE,Low Q Chance For: 6,D1,L3,,5:5,Handgelenk,Luca Steiner,Auslösung,0.2,,
PFVF3_SVWE,Low Q Chance For: 7,D1,L1,,5:5,Direkt,,Standart,0.1,,
PFVF3_SVWE,Low Q Chance For: 8,D1,L2,,5:5,Gezogen,,Auslösung,0.1,,
PFVF3_SVWE,Low Q Chance For: 9,D2,L2,,5:5,Gezogen,"Kevin Kropf, Kevin Kropf, Kevin Kropf",Konter,0.1,,
PFVF3_SVWE,Low Q Chance For: 10,D2,L1,,5:5,Handgelenk,Matteo Steiner,Festsetzen,0.2,,
PFVF3_SVWE,Low Q Chance For: 11,D2,L2,,5:5,Gezogen,Simon Steiner,Festsetzen,0.2,,
PFVF3_SVWE,Low Q Chance For: 12,D2,L1,,5:5,Direkt,Martin Mosimann,Festsetzen,0.2,,
PFVF3_SVWE,Low Q Chance For: 13,D2,L3,,5:5,Gezogen,Christian Stucki,Konter,0.1,,
PFVF3_SVWE,Low Q Chance For: 14,D2,L2,,5:5,Gezogen,Simon Steiner,Nachsetzen,0.1,,
PFVF3_SVWE,Low Q Chance For: 15,D3,L2,,5:5,Direkt,Thomas Gfeller,Standart,0.1,,
PFVF3_SVWE,Low Q Chance For: 16,D3,L1,,5:5,Handgelenk,Nick Pfister,Auslösung,0.1,,
