Spiel,Action,Drittel,Def. Zone,Linien For,Nachsetzen,Nummerische Spielsituation,Off. Zone,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PFVF4_SVWE,ZOE Gegner: 1,D1,,L1,,5:5,,,,Auslösung,,,Bad
PFVF4_SVWE,ZOE Gegner: 2,D1,,L1,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 3,D1,,L3,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 4,D1,,L3,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 5,D1,,L3,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 6,D1,,L2,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 7,D1,,L3,,5:5,,,,Auslösung,0.2,,Good
PFVF4_SVWE,ZOE Gegner: 8,D1,,L1,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 9,D1,,L1,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 10,D1,,L2,,5:5,,,,Auslösung,,,Bad
PFVF4_SVWE,ZOE Gegner: 11,D1,,L2,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 12,D2,,L3,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 13,D2,,L1,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 14,D2,,L3,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 15,D2,,L3,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 16,D2,,L3,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 17,D2,,L2,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 18,D2,,L1,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 19,D3,,L2,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 20,D3,,L1,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 21,D3,,"L2, L2",,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,ZOE Gegner: 22,D3,,L1,,5:5,,,,Auslösung,,,Good
PFVF4_SVWE,Pot + Chance For: 1,D1,,L1,,5:5,,Gezogen,Matteo Steiner,Konter,0.3,,
PFVF4_SVWE,Pot + Chance For: 2,D1,,L1,,5:5,,Gezogen,Matteo Steiner,Auslösung,0.2,,
PFVF4_SVWE,Pot + Chance For: 3,D1,,L3,,5:5,,Gezogen,Arno Althaus,Konter,0.2,,
PFVF4_SVWE,ZOE For: 1,D1,,L2,,5:5,,,,Auslösung,,Good,
PFVF4_SVWE,ZOE For: 2,D1,,L1,,5:5,,,,Auslösung,,Good,
PFVF4_SVWE,ZOE For: 3,D1,,L2,,5:5,,,,Auslösung,,Bad,
PFVF4_SVWE,ZOE For: 4,D1,,L1,,5:5,,,,Auslösung,,Bad,
PFVF4_SVWE,ZOE For: 5,D1,,L1,,5:5,,,,Auslösung,,Bad,
PFVF4_SVWE,ZOE For: 6,D2,,L1,,5:5,,,,Auslösung,,Good,
PFVF4_SVWE,ZOE For: 7,D2,,L2,,5:5,,,,Auslösung,,Bad,
PFVF4_SVWE,ZOE For: 8,D2,,L1,,5:5,,,,Auslösung,,Bad,
PFVF4_SVWE,ZOE For: 9,D2,,L2,,5:5,,,,Auslösung,,Bad,
PFVF4_SVWE,ZOE For: 10,D2,,L2,,5:5,,,,Auslösung,,Bad,
PFVF4_SVWE,ZOE For: 11,D2,,L3,,5:5,,,,Auslösung,,Good,
PFVF4_SVWE,ZOE For: 12,D2,,L1,,5:5,,,,Auslösung,,Good,
PFVF4_SVWE,ZOE For: 13,D2,,L1,,5:5,,,,Auslösung,,Bad,
PFVF4_SVWE,ZOE For: 14,D2,,L2,,5:5,,,,Auslösung,,Good,
PFVF4_SVWE,ZOE For: 15,D2,,L2,,5:5,,,,Auslösung,,Bad,
PFVF4_SVWE,ZOE For: 16,D2,,L2,,5:5,,,,Auslösung,,Good,
PFVF4_SVWE,ZOE For: 17,D3,,L2,,5:5,,,,Auslösung,,Good,
