Spiel,Action,Drittel,Def. Zone,Linien For,Nachsetzen,Nummerische Spielsituation,Off. Zone,PeriodName,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
Playoff_VF_6,ZOE Gegner: 1,D1,,L1,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,ZOE Gegner: 2,D1,,L2,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,ZOE Gegner: 3,D1,,L2,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,ZOE Gegner: 4,D1,,L3,,5:5,,,,,Auslösung,,,Bad
Playoff_VF_6,ZOE Gegner: 5,D1,,L2,,5:5,,,,,Auslösung,,,Bad
Playoff_VF_6,ZOE Gegner: 6,D1,,L3,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,ZOE Gegner: 7,D1,,,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,ZOE Gegner: 8,D1,,L3,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,ZOE Gegner: 9,D2,,L2,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,ZOE Gegner: 10,D2,,L1,,5:5,,,,,Auslösung,,,Bad
Playoff_VF_6,ZOE Gegner: 11,D2,,L3,,5:5,,,,,Auslösung,,,Bad
Playoff_VF_6,ZOE Gegner: 12,D2,,L2,,5:5,,,,,Auslösung,,,Bad
Playoff_VF_6,ZOE Gegner: 13,D2,,L3,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,ZOE Gegner: 14,D2,,L3,,5:5,,,,,Auslösung,,,Bad
Playoff_VF_6,ZOE Gegner: 15,D2,,L2,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,ZOE Gegner: 16,D2,,L1,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,ZOE Gegner: 17,D3,,L1,,5:5,,,,,Auslösung,,,Good
Playoff_VF_6,Low Q Chance Against: 1,D1,,L1,,5:5,,,Handgelenk,,Auslösung,0.1,,
Playoff_VF_6,Low Q Chance Against: 2,D1,,L3,,5:5,,,Handgelenk,,Konter,0.1,,
Playoff_VF_6,Low Q Chance Against: 3,D1,,L3,,5:5,,,Gezogen,,Festsetzen,0.1,,
Playoff_VF_6,Low Q Chance Against: 4,D1,,L3,,5:5,,,Gezogen,,Standart,0.1,,
Playoff_VF_6,Low Q Chance Against: 5,D1,,L1,,5:5,,,Handgelenk,,Standart,0.1,,
Playoff_VF_6,Low Q Chance Against: 6,D1,,L2,,5:5,,,Handgelenk,,Auslösung,0.1,,
Playoff_VF_6,Low Q Chance Against: 7,D1,,L1,,5:5,,,Handgelenk,,Festsetzen,0.2,,
Playoff_VF_6,Low Q Chance Against: 8,D1,,L1,,5:5,,,Gezogen,,Festsetzen,0.2,,
Playoff_VF_6,Low Q Chance Against: 9,D1,,L1,,5:5,,,Gezogen,,Standart,0.1,,
Playoff_VF_6,Low Q Chance Against: 10,D2,,L1,,5:5,,,Gezogen,,Auslösung,0.2,,
Playoff_VF_6,Low Q Chance Against: 11,D2,,L2,,5:5,,,Gezogen,,Festsetzen,0.1,,
Playoff_VF_6,Low Q Chance Against: 12,D2,,L1,,5:5,,,Handgelenk,,Konter,0.1,,
Playoff_VF_6,Low Q Chance Against: 13,D2,,L2,,5:5,,,Gezogen,,Festsetzen,0.1,,
Playoff_VF_6,Low Q Chance Against: 14,D2,,L2,,5:5,,,Handgelenk,,Auslösung,0.1,,
Playoff_VF_6,Low Q Chance Against: 15,D3,,L1,,5:5,,,Direkt,,Standart,0.1,,
Playoff_VF_6,Low Q Chance Against: 16,D3,,L1,,5:5,,,Direkt,,Festsetzen,0.1,,
Playoff_VF_6,Low Q Chance Against: 17,D3,,L2,,5:5,,,Direkt,,Festsetzen,0.1,,
Playoff_VF_6,Low Q Chance Against: 18,D3,,L2,,5:5,,,Gezogen,,Festsetzen,0.2,,
Playoff_VF_6,Low Q Chance Against: 19,D3,,L2,,5:5,,,Gezogen,,Standart,0.1,,
Playoff_VF_6,Low Q Chance Against: 20,D2,,L2,,5:5,,,Gezogen,,Standart,0.1,,
Playoff_VF_6,Low Q Chance Against: 21,D3,,L1,,5:5,,,Gezogen,,Festsetzen,0.1,,
Playoff_VF_6,Low Q Chance Against: 22,D3,,L2,,5:5,,,Gezogen,,Konter,0.1,,
Playoff_VF_6,Low Q Chance Against: 23,D3,,L2,,5:5,,,Gezogen,,Standart,0.2,,
Playoff_VF_6,ZOE For: 1,D1,,L3,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 2,D1,,L1,,5:5,,,,,Auslösung,,Bad,
Playoff_VF_6,ZOE For: 3,D1,,L1,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 4,D1,,L2,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 5,D1,,L1,,5:5,,,,,Auslösung,,Bad,
Playoff_VF_6,ZOE For: 6,D1,,L2,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 7,D1,,L1,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 8,D1,,L3,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 9,D2,,L1,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 10,D2,,L2,,5:5,,,,,Auslösung,,Bad,
Playoff_VF_6,ZOE For: 11,D2,,L2,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 12,D2,,L1,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 13,D2,,L2,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 14,D2,,L2,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 15,D3,,L1,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 16,D3,,L2,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,ZOE For: 17,D3,,L2,,5:5,,,,,Auslösung,,Bad,
Playoff_VF_6,ZOE For: 18,D3,,L2,,5:5,,,,,Auslösung,,Bad,
Playoff_VF_6,Def.Transition: 1,D1,,L3,,5:5,,,,Janis Schwarz,,,,
Playoff_VF_6,Def.Transition: 2,D1,,L2,,5:5,,,,,,,,
Playoff_VF_6,Def.Transition: 3,D1,,L1,,5:5,,,,,,,,
Playoff_VF_6,Nachsetzen Tigers: 1,D1,,L2,Good,5:5,,,,,Nachsetzen,,,
Playoff_VF_6,Nachsetzen Tigers: 2,D2,,L2,Good,5:5,,,,,Nachsetzen,,,
Playoff_VF_6,Nachsetzen Tigers: 3,D2,,L2,Bad,5:5,,,,,Nachsetzen,,,
Playoff_VF_6,Low Q Chance For: 1,D1,,L1,,5:5,,,Direkt,Thomas Gfeller,Nachsetzen,0.2,,
Playoff_VF_6,Low Q Chance For: 2,D1,,L3,,5:5,,,Gezogen,Björn Schenkel,Festsetzen,0.2,,
Playoff_VF_6,Low Q Chance For: 3,D1,,L2,,5:5,,,Gezogen,Simon Steiner,Nachsetzen,0.1,,
Playoff_VF_6,Low Q Chance For: 4,D1,,L2,,5:5,,,Gezogen,Gustav Svensson,Standart,0.1,,
Playoff_VF_6,Low Q Chance For: 5,D1,,L3,,5:5,,,Gezogen,Jan Ewald,Konter,0.3,,
