Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS2_WaSa,High Q Chance Against: 1,Ballbesitzwechsel Ja,D1,BP1,,4:5,Gezogen,Geblockt,Gustav Svensson,,Specials,0.3,,
MS2_WaSa,High Q Chance Against: 2,Ballbesitzwechsel Nein,D1,BP2,,4:5,Direkt,Auf Tor,,,,0.3,,
MS2_WaSa,High Q Chance For: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Neben Tor,Kevin Kropf,Thomas Gfeller,Nachsetzen,0.4,,
MS2_WaSa,High Q Chance For: 2,Ballbesitzwechsel Nein,D3,PP1,,5:4,Direkt,Neben Tor,Thomas Gfeller,Steiner Simon,,0.5,,
MS2_WaSa,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Neben Tor,,,Auslösung,0.1,,
MS2_WaSa,Low Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Geblockt,Steiner Luca,,Konter,0.1,,
MS2_WaSa,Low Q Chance Against: 3,Ballbesitzwechsel Nein,D1,L3,,5:5,Handgelenk,Geblockt,Gian Mühlemann,,Konter,0.2,,
MS2_WaSa,Low Q Chance Against: 4,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS2_WaSa,Low Q Chance Against: 5,Ballbesitzwechsel Nein,D1,BP1,,4:5,Gezogen,Neben Tor,,,,0.1,,
MS2_WaSa,Low Q Chance Against: 6,Ballbesitzwechsel Nein,D1,BP2,,4:5,Direkt,Auf Tor,,,,0.1,,
MS2_WaSa,Low Q Chance Against: 7,Ballbesitzwechsel Nein,D1,BP2,,4:5,Gezogen,Geblockt,Thomas Gfeller,,,0.1,,
MS2_WaSa,Low Q Chance Against: 8,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
MS2_WaSa,Low Q Chance Against: 9,Ballbesitzwechsel Ja,D2,L2,,5:5,Direkt,Auf Tor,,,Auslösung,0.1,,
MS2_WaSa,Low Q Chance Against: 10,Ballbesitzwechsel Nein,D2,L1,,5:5,Direkt,Neben Tor,,,Konter,0.2,,
MS2_WaSa,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D2,BP1,,4:5,Direkt,Neben Tor,,,,0.1,,
MS2_WaSa,Low Q Chance Against: 12,Ballbesitzwechsel Nein,D2,BP2,,4:5,Gezogen,Geblockt,Steiner Luca,,,0.1,,
MS2_WaSa,Low Q Chance Against: 13,Ballbesitzwechsel Nein,D2,BP2,,4:5,Direkt,Neben Tor,,,,0.2,,
