Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS5_Uster,High Q Chance Against: 1,Ballbesitzwechsel Ja,D2,L1,,5:5,Handgelenk,Auf Tor,,,Konter,0.4,,
MS5_Uster,High Q Chance For: 1,Ballbesitzwechsel Nein,D3,L2,,5:5,Gezogen,Auf Tor,Janis Lauber,,Festsetzen,0.5,,
MS5_Uster,High Q Chance For: 2,Ballbesitzwechsel Nein,D3,L1,,5:5,Direkt,Auf Tor,Steiner Simon,Gustav Svensson,Konter,0.5,,
MS5_Uster,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Neben Tor,,,Konter,0.1,,
MS5_Uster,Low Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS5_Uster,Low Q Chance Against: 3,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.2,,
MS5_Uster,Low Q Chance Against: 4,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Thomas Gfeller,,Auslösung,0.1,,
MS5_Uster,Low Q Chance Against: 5,Ballbesitzwechsel Nein,D1,BP1,,4:5,Direkt,Neben Tor,,,,0.1,,
MS5_Uster,Low Q Chance Against: 6,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Steiner Simon,,Festsetzen,0.1,,
MS5_Uster,Low Q Chance Against: 7,Ballbesitzwechsel Nein,D1,L2,,5:5,Handgelenk,Neben Tor,,,Auslösung,0.1,,
MS5_Uster,Low Q Chance Against: 8,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Lukas Münger,,Auslösung,0.1,,
MS5_Uster,Low Q Chance Against: 9,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS5_Uster,Low Q Chance Against: 10,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Geblockt,Luca Fankhauser,,Standart,0.2,,
MS5_Uster,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Daniel Hernandez,,Nachsetzen,0.1,,
MS5_Uster,Low Q Chance Against: 12,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Neben Tor,Lukas Münger,,Auslösung,0.2,,
MS5_Uster,Low Q Chance Against: 13,Ballbesitzwechsel Nein,D2,L1,,5:5,Volley,Auf Tor,,,Auslösung,0.2,,
MS5_Uster,Low Q Chance Against: 14,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Gustav Svensson,,Auslösung,0.1,,
