Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS6_FBK,High Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Neben Tor,,,Konter,0.4,,
MS6_FBK,High Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Neben Tor,,,Festsetzen,0.6,,
MS6_FBK,High Q Chance Against: 3,Ballbesitzwechsel Nein,D2,L2,,5:5,Volley,Auf Tor,,,Festsetzen,0.6,,
MS6_FBK,High Q Chance Against: 4,Ballbesitzwechsel Nein,D2,L1,,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.4,,
MS6_FBK,High Q Chance Against: 5,Ballbesitzwechsel Nein,D2,BP1,,4:5,Volley,Neben Tor,,,,0.5,,
MS6_FBK,High Q Chance For: 1,Ballbesitzwechsel Nein,D3,L3,,5:5,Direkt,Neben Tor,Matteo Steiner,Christian Stucki,Auslösung,0.4,,
MS6_FBK,High Q Chance For: 2,Ballbesitzwechsel Nein,D3,L1,,5:5,Direkt,Auf Tor,Kevin Kropf,,Zone-Exits,0.5,,
MS6_FBK,High Q Chance For: 3,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Auf Tor,Steiner Simon,,Konter,0.4,,
MS6_FBK,High Q Chance For: 4,Ballbesitzwechsel Nein,D3,L2,,5:5,Handgelenk,Auf Tor,Luca Fankhauser,Daniel Hernandez,Konter,0.4,,
MS6_FBK,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Neben Tor,,,Standart,0.1,,
MS6_FBK,Low Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Auf Tor,,,Auslösung,0.2,,
MS6_FBK,Low Q Chance Against: 3,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Steiner Luca,,Konter,0.2,,
MS6_FBK,Low Q Chance Against: 4,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Gustav Svensson,,Auslösung,0.1,,
MS6_FBK,Low Q Chance Against: 5,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Geblockt,Steiner Luca,,Festsetzen,0.2,,
MS6_FBK,Low Q Chance Against: 6,Ballbesitzwechsel Nein,D1,L3,,5:5,Direkt,Auf Tor,,,Festsetzen,0.2,,
