Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS7_HCR,High Q Chance Against: 1,Ballbesitzwechsel Ja,D1,L2,,5:5,Direkt,Neben Tor,,,Konter,0.5,,
MS7_HCR,High Q Chance Against: 2,Ballbesitzwechsel Nein,D3,6:5,,5:5,Direkt,Neben Tor,,,Konter,0.5,,
MS7_HCR,High Q Chance For: 1,Ballbesitzwechsel Ja,D1,L2,,5:5,Direkt,Auf Tor,Schwarz Janis,Janis Lauber,Konter,0.5,,
MS7_HCR,High Q Chance For: 2,Ballbesitzwechsel NEIN,D2,L2,,5:5,Direkt,Auf Tor,Schwarz Janis,,Konter,0.5,,
MS7_HCR,High Q Chance For: 3,Ballbesitzwechsel Ja,D2,L1,,5:5,Direkt,Auf Tor,Kevin Kropf,Steiner Simon,Zone-Exits,0.5,,
MS7_HCR,Low Q Chance Against: 1,Ballbesitzwechsel Ja,D1,L3,,5:5,Gezogen,Auf Tor,,,Standart,0.1,,
MS7_HCR,Low Q Chance Against: 2,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS7_HCR,Low Q Chance Against: 3,Ballbesitzwechsel Nein,D1,L1,,5:5,Handgelenk,Auf Tor,,,Auslösung,0.2,,
MS7_HCR,Low Q Chance Against: 4,Ballbesitzwechsel Ja,D1,L2,,5:5,Direkt,Neben Tor,,,Nachsetzen,0.2,,
MS7_HCR,Low Q Chance Against: 5,Ballbesitzwechsel Ja,D2,L2,,5:5,Direkt,Geblockt,Luca Fankhauser,,Konter,0.2,,
MS7_HCR,Low Q Chance Against: 6,Ballbesitzwechsel Ja,D2,L1,,5:5,Handgelenk,Geblockt,Maurice Aebersold,,Festsetzen,0.1,,
MS7_HCR,Low Q Chance Against: 7,Ballbesitzwechsel Ja,D2,L1,,5:5,Gezogen,Auf Tor,,,Standart,0.1,,
MS7_HCR,Low Q Chance Against: 8,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
MS7_HCR,Low Q Chance For: 1,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Auf Tor,Steiner Simon,,Konter,0.1,,
MS7_HCR,Low Q Chance For: 2,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Auf Tor,Steiner Simon,Gustav Svensson,Festsetzen,0.2,,
MS7_HCR,Low Q Chance For: 3,Ballbesitzwechsel Ja,D1,L3,,5:5,Direkt,Neben Tor,Christian Stucki,Matteo Steiner,Standart,0.2,,
MS7_HCR,Low Q Chance For: 4,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Steiner Luca,,Standart,0.1,,
MS7_HCR,Low Q Chance For: 5,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Auf Tor,Nick Pfister,Janis Lauber,Festsetzen,0.2,,
