Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS9 GC H,High Q Chance Against: 1,Ballbesitzwechsel Nein,OT,L2,,5:5,Direkt,Auf Tor,,,Konter,0.5,,
MS9 GC H,High Q Chance For: 1,Ballbesitzwechsel Ja,D3,L1,,5:5,Direkt,Auf Tor,Simon Steiner,Kevin Kropf,Konter,0.6,,
MS9 GC H,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
MS9 GC H,Low Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Neben Tor,,,Standart,0.1,,
MS9 GC H,Low Q Chance Against: 3,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Maurice Aebersold,,Festsetzen,0.1,,
MS9 GC H,Low Q Chance Against: 4,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Auf Tor,,,Standart,0.1,,
MS9 GC H,Low Q Chance Against: 5,Ballbesitzwechsel Ja,D2,L3,,5:5,Gezogen,Geblockt,Christian Stucki,,Konter,0.2,,
MS9 GC H,Low Q Chance Against: 6,Ballbesitzwechsel Nein,D2,L2,,5:5,Direkt,Geblockt,Janis Lauber,,Festsetzen,0.2,,
MS9 GC H,Low Q Chance Against: 7,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS9 GC H,Low Q Chance Against: 8,Ballbesitzwechsel Nein,D2,L2,,5:5,Handgelenk,Neben Tor,,,Auslösung,0.1,,
MS9 GC H,Low Q Chance Against: 9,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Geblockt,Martin Mosimann,,Standart,0.1,,
MS9 GC H,Low Q Chance Against: 10,Ballbesitzwechsel Ja,D2,BP1,,4:5,Gezogen,Neben Tor,,,,0.1,,
MS9 GC H,Low Q Chance Against: 11,Ballbesitzwechsel Ja,D2,L1,,5:5,Gezogen,Geblockt,Gustav Svensson,,Standart,0.1,,
MS9 GC H,Low Q Chance Against: 12,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Geblockt,Steiner Simon,,Auslösung,0.1,,
MS9 GC H,Low Q Chance Against: 13,Ballbesitzwechsel Nein,D3,L1,,5:5,Handgelenk,Geblockt,Maurice Aebersold,,Konter,0.1,,
MS9 GC H,Low Q Chance Against: 14,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
MS9 GC H,Low Q Chance Against: 15,Ballbesitzwechsel Nein,D3,L1,,5:5,Handgelenk,Neben Tor,,,Auslösung,0.2,,
MS9 GC H,Low Q Chance Against: 16,Ballbesitzwechsel Nein,D3,PP1,,5:4,Gezogen,Geblockt,Steiner Luca,,,0.2,,
MS9 GC H,Low Q Chance Against: 17,Ballbesitzwechsel Nein,D3,BP1,,4:5,Gezogen,Geblockt,Gian Mühlemann,,,0.2,,
