Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
CUP_1_4_FBTG,High Q Chance Against: 1,Ballbesitzwechsel Ja,D2,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.4,,
CUP_1_4_FBTG,High Q Chance For: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Auf Tor,Kevin Kropf,Gustav Svensson,Konter,0.5,,
CUP_1_4_FBTG,High Q Chance For: 2,Ballbesitzwechsel Ja,D1,L3,,5:5,Direkt,Neben Tor,Christian Stucki,Gian Mühlemann,Konter,0.6,,
CUP_1_4_FBTG,High Q Chance For: 3,Ballbesitzwechsel Nein,D1,L1,,5:5,Handgelenk,Auf Tor,Steiner Simon,Kevin Kropf,Nachsetzen,0.4,,
CUP_1_4_FBTG,High Q Chance For: 4,Ballbesitzwechsel Ja,D2,L3,,5:5,Gezogen,Auf Tor,Matteo Steiner,,Konter,0.5,,
CUP_1_4_FBTG,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Christian Stucki,,Auslösung,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 2,Ballbesitzwechsel Ja,D1,L3,,5:5,Gezogen,Geblockt,Maurice Aebersold,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 3,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Geblockt,Gustav Svensson,,Standart,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 4,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
CUP_1_4_FBTG,Low Q Chance Against: 5,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 6,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 7,Ballbesitzwechsel Ja,D1,L1,,5:5,Handgelenk,Geblockt,Schwarz Janis,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 8,Ballbesitzwechsel Ja,D1,L3,,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 9,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Christian Stucki,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 10,Ballbesitzwechsel Nein,D2,L2,,5:5,Direkt,Auf Tor,,,Festsetzen,0.2,,
CUP_1_4_FBTG,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D2,L2,,5:5,Handgelenk,Geblockt,Daniel Hernandez,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 12,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 13,Ballbesitzwechsel Nein,D2,L1,,5:5,Direkt,Neben Tor,,,Standart,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 14,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Geblockt,Gian Mühlemann,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 15,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.2,,
CUP_1_4_FBTG,Low Q Chance Against: 16,Ballbesitzwechsel Ja,D2,L2,,5:5,Handgelenk,Geblockt,Janis Lauber,,Konter,0.2,,
CUP_1_4_FBTG,Low Q Chance Against: 17,Ballbesitzwechsel Ja,D2,L1,,5:5,Gezogen,Geblockt,Gustav Svensson,,Konter,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 18,Ballbesitzwechsel Ja,D2,L1,,5:5,Gezogen,Geblockt,Gustav Svensson,,Konter,0.2,,
CUP_1_4_FBTG,Low Q Chance Against: 19,Ballbesitzwechsel Ja,D2,L1,,5:5,Gezogen,Auf Tor,,,Auslösung,0.2,,
CUP_1_4_FBTG,Low Q Chance Against: 20,Ballbesitzwechsel Ja,D3,L3,,5:5,Direkt,Neben Tor,,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 21,Ballbesitzwechsel Nein,D3,L2,,5:5,Gezogen,Geblockt,Christian Stucki,,Auslösung,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 22,Ballbesitzwechsel Ja,D3,L1,,5:5,Gezogen,Geblockt,Schwarz Janis,,Konter,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 23,Ballbesitzwechsel Ja,D3,L2,,5:5,Direkt,Neben Tor,,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 24,Ballbesitzwechsel Nein,D3,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance Against: 25,Ballbesitzwechsel Ja,D3,L1,,5:5,Direkt,Auf Tor,,,Konter,0.2,,
CUP_1_4_FBTG,Low Q Chance Against: 26,Ballbesitzwechsel Ja,D3,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Konter,0.1,,
CUP_1_4_FBTG,Low Q Chance For: 1,Ballbesitzwechsel Ja,D1,L2,,5:5,Handgelenk,Neben Tor,Daniel Hernandez,Janis Lauber,Konter,0.1,,
CUP_1_4_FBTG,Low Q Chance For: 2,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Matteo Steiner,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance For: 3,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Auf Tor,Nick Pfister,Daniel Hernandez,Konter,0.2,,
CUP_1_4_FBTG,Low Q Chance For: 4,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Konter,0.2,,
CUP_1_4_FBTG,Low Q Chance For: 5,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Auf Tor,Matteo Steiner,Gustav Svensson,Auslösung,0.1,,
CUP_1_4_FBTG,Low Q Chance For: 6,Ballbesitzwechsel Ja,D1,L2,,5:5,Direkt,Geblockt,Lukas Münger,Nick Pfister,Standart,0.1,,
CUP_1_4_FBTG,Low Q Chance For: 7,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Neben Tor,Schwarz Janis,Kevin Kropf,Auslösung,0.3,,
CUP_1_4_FBTG,Low Q Chance For: 8,Ballbesitzwechsel Ja,D1,L2,,5:5,Direkt,Geblockt,Nick Pfister,Lukas Münger,Konter,0.1,,
CUP_1_4_FBTG,Low Q Chance For: 9,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Auf Tor,Kevin Kropf,Janis Lauber,Standart,0.2,,
CUP_1_4_FBTG,Low Q Chance For: 10,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Geblockt,Steiner Luca,Steiner Simon,Konter,0.2,,
CUP_1_4_FBTG,Low Q Chance For: 11,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Geblockt,Daniel Hernandez,,Festsetzen,0.1,,
CUP_1_4_FBTG,Low Q Chance For: 12,Ballbesitzwechsel Ja,D2,L1,,5:5,Direkt,Neben Tor,Gustav Svensson,Steiner Luca,Standart,0.2,,
CUP_1_4_FBTG,Low Q Chance For: 13,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Neben Tor,Gustav Svensson,Kevin Kropf,Festsetzen,0.2,,
CUP_1_4_FBTG,Low Q Chance For: 14,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Auf Tor,Kevin Kropf,Gustav Svensson,Auslösung,0.2,,
CUP_1_4_FBTG,Low Q Chance For: 15,Ballbesitzwechsel Ja,D3,L3,,5:5,Direkt,Auf Tor,Christian Stucki,Matteo Steiner,Konter,0.1,,
CUP_1_4_FBTG,Low Q Chance For: 16,Ballbesitzwechsel Ja,D3,L3,,5:5,Direkt,Neben Tor,Gian Mühlemann,Matteo Steiner,Auslösung,0.2,,
CUP_1_4_FBTG,Mid Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,Handgelenk,Neben Tor,,,Auslösung,0.4,,
CUP_1_4_FBTG,Mid Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L1,,5:5,Handgelenk,Auf Tor,,,Konter,0.4,,
CUP_1_4_FBTG,Mid Q Chance Against: 3,Ballbesitzwechsel Ja,D2,L3,,5:5,Direkt,Geblockt,Martin Mosimann,,Konter,0.3,,
CUP_1_4_FBTG,Mid Q Chance Against: 4,Ballbesitzwechsel Ja,D2,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.4,,
CUP_1_4_FBTG,Mid Q Chance For: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Handgelenk,Auf Tor,Kevin Kropf,Steiner Luca,Konter,0.4,,
CUP_1_4_FBTG,Mid Q Chance For: 2,Ballbesitzwechsel Ja,D1,L3,,5:5,Handgelenk,Neben Tor,Christian Stucki,,Konter,0.2,,
CUP_1_4_FBTG,Mid Q Chance For: 3,Ballbesitzwechsel Ja,D1,L3,,5:5,Handgelenk,Neben Tor,Gian Mühlemann,,Konter,0.3,,
CUP_1_4_FBTG,Mid Q Chance For: 4,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Neben Tor,Steiner Simon,Schwarz Janis,Auslösung,0.3,,
CUP_1_4_FBTG,Mid Q Chance For: 5,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Auf Tor,Janis Lauber,Nick Pfister,Nachsetzen,0.4,,
CUP_1_4_FBTG,Mid Q Chance For: 6,Ballbesitzwechsel Nein,D2,L1,,5:5,Handgelenk,Auf Tor,Kevin Kropf,Gustav Svensson,Auslösung,0.4,,
CUP_1_4_FBTG,Mid Q Chance For: 7,Ballbesitzwechsel Ja,D2,L1,,5:5,Handgelenk,Auf Tor,Steiner Luca,Kevin Kropf,Konter,0.4,,
CUP_1_4_FBTG,Mid Q Chance For: 8,Ballbesitzwechsel Nein,D3,L2,,5:5,Handgelenk,Auf Tor,Luca Fankhauser,Lukas Münger,Auslösung,0.4,,
