Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS10_Zug,High Q Chance For: 1,Ballbesitzwechsel Nein,D1,PP1,,5:4,Direkt,Auf Tor,Kevin Kropf,Daniel Hernandez,,0.3,,
MS10_Zug,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.2,,
MS10_Zug,Low Q Chance Against: 2,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Geblockt,Luca Fankhauser,,Standart,0.1,,
MS10_Zug,Low Q Chance Against: 3,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Gustav Svensson,,Auslösung,0.1,,
MS10_Zug,Low Q Chance Against: 4,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Gustav Svensson,,Standart,0.1,,
MS10_Zug,Low Q Chance Against: 5,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
MS10_Zug,Low Q Chance Against: 6,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Neben Tor,,,Standart,0.1,,
MS10_Zug,Low Q Chance Against: 7,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Auf Tor,,,Konter,0.1,,
MS10_Zug,Low Q Chance Against: 8,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Schwarz Janis,,Pressing,0.1,,
MS10_Zug,Low Q Chance Against: 9,Ballbesitzwechsel Nein,D1,L3,,5:5,Direkt,Neben Tor,,,Auslösung,0.1,,
MS10_Zug,Low Q Chance Against: 10,Ballbesitzwechsel Nein,D2,L3,,5:5,Direkt,Neben Tor,,,Standart,0.2,,
MS10_Zug,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D2,L2,,5:5,Direkt,Neben Tor,,,Konter,0.2,,
MS10_Zug,Low Q Chance Against: 12,Ballbesitzwechsel Nein,D2,L2,,5:5,Direkt,Auf Tor,,,Konter,0.1,,
MS10_Zug,Low Q Chance Against: 13,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Neben Tor,,,Konter,0.1,,
MS10_Zug,Low Q Chance Against: 14,Ballbesitzwechsel Nein,D2,L1,,5:5,Direkt,Neben Tor,,,Festsetzen,0.1,,
MS10_Zug,Low Q Chance Against: 15,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Luca Fankhauser,,Konter,0.1,,
MS10_Zug,Low Q Chance Against: 16,Ballbesitzwechsel Nein,D2,L1,,5:5,Direkt,Geblockt,Gustav Svensson,,Auslösung,0.2,,
MS10_Zug,Low Q Chance Against: 17,Ballbesitzwechsel Ja,D2,L3,,5:5,Gezogen,Geblockt,Matteo Steiner,,Konter,0.2,,
MS10_Zug,Low Q Chance Against: 18,Ballbesitzwechsel Ja,D2,L1,,5:5,Direkt,Geblockt,Steiner Luca,,Festsetzen,0.2,,
MS10_Zug,Low Q Chance Against: 19,Ballbesitzwechsel Nein,D2,L3,,5:5,Direkt,Geblockt,Gian Mühlemann,,Auslösung,0.1,,
