Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS11_Basel,High Q Chance For: 1,Ballbesitzwechsel Ja,D1,L3,,5:5,Volley,Auf Tor,Martin Mosimann,Matteo Steiner,Festsetzen,0.4,,
MS11_Basel,High Q Chance For: 2,Ballbesitzwechsel Ja,D1,BP1,,4:5,Gezogen,Auf Tor,Matteo Steiner,,,0.4,,
MS11_Basel,High Q Chance For: 3,Ballbesitzwechsel Ja,D3,L2,,5:5,Handgelenk,Neben Tor,Nick Pfister,Luca Fankhauser,Konter,0.4,,
MS11_Basel,High Q Chance For: 4,Ballbesitzwechsel NEIN,D3,L2,,5:5,Handgelenk,Neben Tor,Daniel Hernandez,,Konter,0.4,,
MS11_Basel,Low Q Chance Against: 1,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
MS11_Basel,Low Q Chance Against: 2,Ballbesitzwechsel Ja,D1,L1,,5:5,Direkt,Geblockt,Steiner Simon,,Festsetzen,0.2,,
MS11_Basel,Low Q Chance Against: 3,Ballbesitzwechsel Ja,D1,L2,,5:5,Handgelenk,Auf Tor,,,Konter,0.2,,
MS11_Basel,Low Q Chance Against: 4,Ballbesitzwechsel Nein,D1,L2,,5:5,Handgelenk,Auf Tor,,,Konter,0.2,,
MS11_Basel,Low Q Chance Against: 5,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Geblockt,Lukas Münger,,Standart,0.1,,
MS11_Basel,Low Q Chance Against: 6,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
MS11_Basel,Low Q Chance Against: 7,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Geblockt,Björn Schenkel,,Konter,0.1,,
MS11_Basel,Low Q Chance Against: 8,Ballbesitzwechsel Ja,D1,L2,,5:5,Direkt,Geblockt,Lukas Münger,,Standart,0.2,,
