Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS12_SVWE,High Q Chance Against: 1,Ballbesitzwechsel Ja,D3,L1,,5:5,Direkt,Auf Tor,,,Konter,0.5,,
MS12_SVWE,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L3,,5:5,Handgelenk,Auf Tor,,,Standart,0.2,,
MS12_SVWE,Low Q Chance Against: 2,Ballbesitzwechsel Ja,D1,L3,,5:5,Gezogen,Geblockt,Martin Mosimann,,Festsetzen,0.1,,
MS12_SVWE,Low Q Chance Against: 3,Ballbesitzwechsel Ja,D1,L3,,5:5,Direkt,Neben Tor,,,Festsetzen,0.2,,
MS12_SVWE,Low Q Chance Against: 4,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS12_SVWE,Low Q Chance Against: 5,Ballbesitzwechsel Ja,D1,L3,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS12_SVWE,Low Q Chance Against: 6,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Maurice Aebersold,,Standart,0.2,,
MS12_SVWE,Low Q Chance Against: 7,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
MS12_SVWE,Low Q Chance Against: 8,Ballbesitzwechsel Ja,D1,BP1,,4:5,Gezogen,Geblockt,Steiner Luca,,,0.1,,
MS12_SVWE,Low Q Chance Against: 9,Ballbesitzwechsel Nein,D1,BP1,,4:5,Gezogen,Geblockt,Martin Mosimann,,,0.1,,
MS12_SVWE,Low Q Chance Against: 10,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Auslösung,0.1,,
MS12_SVWE,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Luca Fankhauser,,Festsetzen,0.1,,
MS12_SVWE,Low Q Chance Against: 12,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Geblockt,Thomas Gfeller,,Festsetzen,0.1,,
MS12_SVWE,Low Q Chance Against: 13,Ballbesitzwechsel Ja,D2,L1,,5:5,Direkt,Auf Tor,,,Festsetzen,0.2,,
