Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS13_Chur_H,High Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,Direkt,Auf Tor,,,Auslösung,0.5,,
MS13_Chur_H,High Q Chance Against: 2,Ballbesitzwechsel Nein,D3,L2,,5:5,Gezogen,Auf Tor,,,Auslösung,0.5,,
MS13_Chur_H,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Geblockt,Thomas Gfeller,,Standart,0.1,,
MS13_Chur_H,Low Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Strohl Micha,,Auslösung,0.1,,
MS13_Chur_H,Low Q Chance Against: 3,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Geblockt,Strohl Micha,,Festsetzen,0.1,,
MS13_Chur_H,Low Q Chance Against: 4,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Geblockt,Steiner Luca,,Festsetzen,0.2,,
MS13_Chur_H,Low Q Chance Against: 5,Ballbesitzwechsel Ja,D1,L1,,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.2,,
MS13_Chur_H,Low Q Chance Against: 6,Ballbesitzwechsel Ja,D1,L3,,5:5,Gezogen,Geblockt,Nick Pfister,,Auslösung,0.2,,
MS13_Chur_H,Low Q Chance Against: 7,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Geblockt,Björn Schenkel,,Auslösung,0.1,,
MS13_Chur_H,Low Q Chance Against: 8,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Neben Tor,,,Standart,0.1,,
MS13_Chur_H,Low Q Chance Against: 9,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Neben Tor,,,Standart,0.2,,
MS13_Chur_H,Low Q Chance Against: 10,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Neben Tor,,,Auslösung,0.2,,
MS13_Chur_H,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS13_Chur_H,Low Q Chance Against: 12,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Neben Tor,,,Festsetzen,0.1,,
MS13_Chur_H,Low Q Chance Against: 13,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Lucas Schlegel,,Auslösung,0.1,,
MS13_Chur_H,Low Q Chance Against: 14,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Christian Stucki,,Konter,0.1,,
MS13_Chur_H,Low Q Chance Against: 15,Ballbesitzwechsel Nein,D2,BP1,,4:5,Gezogen,Neben Tor,,,,0.2,,
MS13_Chur_H,Low Q Chance Against: 16,Ballbesitzwechsel Nein,D2,BP1,,4:5,Gezogen,Geblockt,Janis Lauber,,,0.1,,
MS13_Chur_H,Low Q Chance Against: 17,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Auf Tor,,,Auslösung,0.2,,
MS13_Chur_H,Low Q Chance Against: 18,Ballbesitzwechsel Ja,D2,L2,,5:5,Handgelenk,Geblockt,Daniel Hernandez,,Konter,0.2,,
MS13_Chur_H,Low Q Chance Against: 19,Ballbesitzwechsel Ja,D2,L2,,5:5,Direkt,Auf Tor,,,Konter,0.2,,
MS13_Chur_H,Low Q Chance Against: 20,Ballbesitzwechsel Nein,D2,L3,,5:5,Gezogen,Neben Tor,,,Konter,0.1,,
MS13_Chur_H,Low Q Chance Against: 21,Ballbesitzwechsel Nein,D3,L3,,5:5,Handgelenk,Auf Tor,,,Konter,0.2,,
MS13_Chur_H,Low Q Chance Against: 22,Ballbesitzwechsel Nein,D3,L1,,5:5,Handgelenk,Auf Tor,,,Auslösung,0.2,,
