Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
CUP_1_2_HCR,High Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,Direkt,Neben Tor,,,Festsetzen,0.4,,
CUP_1_2_HCR,High Q Chance For: 1,Ballbesitzwechsel Nein,D3,L2,,5:5,Direkt,Neben Tor,Matteo Steiner,Gian Mühlemann,Auslösung,0.6,,
CUP_1_2_HCR,High Q Chance For: 2,Ballbesitzwechsel Ja,D3,L1,,5:5,Handgelenk,Neben Tor,Thomas Gfeller,Martin Mosimann,Nachsetzen,0.6,,
CUP_1_2_HCR,High Q Chance For: 3,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Geblockt,Steiner Simon,,Nachsetzen,0.6,,
CUP_1_2_HCR,High Q Chance For: 4,Ballbesitzwechsel Nein,D3,L2,,5:5,Direkt,Auf Tor,Janis Lauber,,Auslösung,0.6,,
CUP_1_2_HCR,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Thomas Gfeller,,Nachsetzen,0.1,,
CUP_1_2_HCR,Low Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L3,,5:5,Direkt,Auf Tor,,,Standart,0.1,,
CUP_1_2_HCR,Low Q Chance Against: 3,Ballbesitzwechsel Ja,D1,L3,,5:5,Handgelenk,Auf Tor,,,Auslösung,0.2,,
CUP_1_2_HCR,Low Q Chance Against: 4,Ballbesitzwechsel Ja,D1,L3,,5:5,Handgelenk,Auf Tor,,,Auslösung,0.1,,
CUP_1_2_HCR,Low Q Chance Against: 5,Ballbesitzwechsel Ja,D1,L3,,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
CUP_1_2_HCR,Low Q Chance Against: 6,Ballbesitzwechsel Nein,D1,L2,,5:5,Direkt,Auf Tor,,,Auslösung,0.1,,
CUP_1_2_HCR,Low Q Chance Against: 7,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Steiner Luca,,Festsetzen,0.1,,
CUP_1_2_HCR,Low Q Chance Against: 8,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
CUP_1_2_HCR,Low Q Chance Against: 9,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Strohl Micha,,Standart,0.1,,
CUP_1_2_HCR,Low Q Chance Against: 10,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Geblockt,Lukas Münger,,Standart,0.1,,
CUP_1_2_HCR,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
CUP_1_2_HCR,Low Q Chance Against: 12,Ballbesitzwechsel Nein,D2,L2,,5:5,Handgelenk,Geblockt,Janis Lauber,,Auslösung,0.1,,
