Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS15_Malans,High Q Chance Against: 1,Ballbesitzwechsel Ja,D1,L2,,5:5,Handgelenk,Neben Tor,,,Konter,0.4,,
MS15_Malans,High Q Chance Against: 2,Ballbesitzwechsel Nein,D3,L1,,5:5,Direkt,Auf Tor,,,Auslösung,0.4,,
MS15_Malans,High Q Chance For: 1,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Auf Tor,Kevin Kropf,,Konter,0.4,,
MS15_Malans,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Geblockt,Nick Pfister,,Standart,0.2,,
MS15_Malans,Low Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L2,,5:5,Handgelenk,Geblockt,Janis Lauber,,Standart,0.1,,
MS15_Malans,Low Q Chance Against: 3,Ballbesitzwechsel Nein,D1,L1,,5:5,Handgelenk,Neben Tor,,,Konter,0.2,,
MS15_Malans,Low Q Chance Against: 4,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Steiner Luca,,Konter,0.1,,
MS15_Malans,Low Q Chance Against: 5,Ballbesitzwechsel Nein,D1,L3,,5:5,Direkt,Auf Tor,,,Konter,0.1,,
MS15_Malans,Low Q Chance Against: 6,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Auf Tor,,,Konter,0.1,,
MS15_Malans,Low Q Chance Against: 7,Ballbesitzwechsel Nein,"D2, D2",L1,,5:5,Handgelenk,Neben Tor,,,Konter,0.2,,
MS15_Malans,Low Q Chance Against: 8,Ballbesitzwechsel Ja,D2,L1,,5:5,Direkt,Neben Tor,,,Standart,0.1,,
MS15_Malans,Low Q Chance Against: 9,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS15_Malans,Low Q Chance Against: 10,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Luca Fankhauser,,Konter,0.1,,
MS15_Malans,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D2,L3,,5:5,Gezogen,Neben Tor,,,Standart,0.1,,
MS15_Malans,Low Q Chance Against: 12,Ballbesitzwechsel Nein,D2,L3,,5:5,Direkt,Auf Tor,,,Pressing,0.1,,
MS15_Malans,Low Q Chance Against: 13,Ballbesitzwechsel Nein,D2,L3,,5:5,Handgelenk,Auf Tor,,,Auslösung,0.1,,
MS15_Malans,Low Q Chance Against: 14,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS15_Malans,Low Q Chance Against: 15,Ballbesitzwechsel Ja,D3,L3,,5:5,Gezogen,Geblockt,Maurice Aebersold,,Festsetzen,0.1,,
