Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS19_FBTG,High Q Chance Against: 1,Ballbesitzwechsel Nein,D3,L2,,5:5,Direkt,Neben Tor,,,Konter,0.5,,
MS19_FBTG,High Q Chance For: 1,Ballbesitzwechsel Ja,D2,L3,,5:5,Direkt,Auf Tor,Arno Althaus,Luca Fankhauser,Konter,0.4,,
MS19_FBTG,High Q Chance For: 2,Ballbesitzwechsel Nein,D3,L2,,5:5,Handgelenk,Auf Tor,Kevin Kropf,Maurice Aebersold,Auslösung,0.5,,
MS19_FBTG,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L3,,5:5,Direkt,Neben Tor,,,Konter,0.1,,
MS19_FBTG,Low Q Chance Against: 2,Ballbesitzwechsel Ja,D1,L1,,5:5,Direkt,Auf Tor,,,Standart,0.2,,
MS19_FBTG,Low Q Chance Against: 3,Ballbesitzwechsel Ja,D1,L1,,5:5,Handgelenk,Auf Tor,,,Konter,0.2,,
MS19_FBTG,Low Q Chance Against: 4,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS19_FBTG,Low Q Chance Against: 5,Ballbesitzwechsel Ja,D1,L2,,5:5,Direkt,Neben Tor,,,Auslösung,0.2,,
MS19_FBTG,Low Q Chance Against: 6,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Konter,0.1,,
MS19_FBTG,Low Q Chance Against: 7,Ballbesitzwechsel Nein,D1,L3,,5:5,Handgelenk,Auf Tor,,,Auslösung,0.1,,
MS19_FBTG,Low Q Chance Against: 8,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Lukas Münger,,Standart,0.1,,
MS19_FBTG,Low Q Chance Against: 9,Ballbesitzwechsel Ja,D2,L3,,5:5,Gezogen,Geblockt,Steiner Luca,,Konter,0.2,,
MS19_FBTG,Low Q Chance Against: 10,Ballbesitzwechsel Ja,D2,L3,,5:5,Handgelenk,Auf Tor,,,Auslösung,0.1,,
MS19_FBTG,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D2,L2,,5:5,Direkt,Geblockt,Maurice Aebersold,,Auslösung,0.2,,
MS19_FBTG,Low Q Chance Against: 12,Ballbesitzwechsel Nein,D3,BP1,,4:5,Gezogen,Geblockt,Thomas Gfeller,,,0.2,,
MS19_FBTG,Low Q Chance Against: 13,Ballbesitzwechsel Nein,D3,BP1,,4:5,Gezogen,Auf Tor,,,,0.2,,
MS19_FBTG,Low Q Chance Against: 14,Ballbesitzwechsel Ja,D3,L1,,5:5,Handgelenk,Geblockt,Lukas Münger,,Konter,0.1,,
MS19_FBTG,Low Q Chance Against: 15,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Geblockt,Luca Fankhauser,,Konter,0.1,,
MS19_FBTG,Low Q Chance Against: 16,Ballbesitzwechsel Ja,D3,L1,,5:5,Gezogen,Auf Tor,,,Nachsetzen,0.2,,
MS19_FBTG,Low Q Chance Against: 17,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
MS19_FBTG,Low Q Chance For: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Auslösung,0.1,,
MS19_FBTG,Low Q Chance For: 2,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Geblockt,Maurice Aebersold,Steiner Simon,Festsetzen,0.1,,
MS19_FBTG,Low Q Chance For: 3,Ballbesitzwechsel Nein,D1,L2,,5:5,Handgelenk,Neben Tor,Janis Lauber,Kevin Kropf,Konter,0.1,,
MS19_FBTG,Low Q Chance For: 4,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Geblockt,Matteo Steiner,Thomas Gfeller,Auslösung,0.1,,
MS19_FBTG,Low Q Chance For: 5,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Steiner Luca,Martin Mosimann,Standart,0.1,,
MS19_FBTG,Low Q Chance For: 6,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Geblockt,Lukas Münger,,Auslösung,0.1,,
MS19_FBTG,Low Q Chance For: 7,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Neben Tor,Matteo Steiner,Lukas Münger,Auslösung,0.1,,
MS19_FBTG,Low Q Chance For: 8,Ballbesitzwechsel Ja,D2,L3,,5:5,Gezogen,Auf Tor,Martin Mosimann,,Auslösung,0.1,,
MS19_FBTG,Low Q Chance For: 9,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Geblockt,Luca Fankhauser,Nick Pfister,Auslösung,0.1,,
MS19_FBTG,Low Q Chance For: 10,Ballbesitzwechsel Ja,D2,L1,,5:5,Handgelenk,Auf Tor,Nick Pfister,Thomas Gfeller,Konter,0.2,,
