Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_VF_1_FBTG,High Q Chance Against: 1,Ballbesitzwechsel JA,D1,L1,,5:5,Direkt,Geblockt,Thomas Gfeller,,Auslösung,0.5,,
PF_VF_1_FBTG,High Q Chance For: 1,Ballbesitzwechsel JA,D1,L3,,5:5,Direkt,Neben Tor,Lucas Schlegel,Gian Mühlemann,Nachsetzen,0.4,,
PF_VF_1_FBTG,High Q Chance For: 2,Ballbesitzwechsel JA,D3,L1,,5:5,Handgelenk,Auf Tor,Matteo Steiner,Thomas Gfeller,Konter,0.5,,
PF_VF_1_FBTG,Low Q Chance Against: 1,Ballbesitzwechsel JA,D1,L3,,5:5,Direkt,Auf Tor,,,Nachsetzen,0.2,,
PF_VF_1_FBTG,Low Q Chance Against: 2,Ballbesitzwechsel NEIN,D1,L1,,5:5,Volley,Auf Tor,,,Konter,0.2,,
PF_VF_1_FBTG,Low Q Chance Against: 3,Ballbesitzwechsel NEIN,D1,L1,,5:5,Gezogen,Geblockt,Lukas Münger,,Festsetzen,0.1,,
PF_VF_1_FBTG,Low Q Chance Against: 4,Ballbesitzwechsel JA,D1,L3,,5:5,Direkt,Geblockt,Gian Mühlemann,,Standart,0.1,,
PF_VF_1_FBTG,Low Q Chance Against: 5,Ballbesitzwechsel JA,D1,L3,,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
PF_VF_1_FBTG,Low Q Chance Against: 6,Ballbesitzwechsel JA,D1,L2,,5:5,Handgelenk,Neben Tor,,,Festsetzen,0.1,,
PF_VF_1_FBTG,Low Q Chance Against: 7,Ballbesitzwechsel NEIN,D1,L3,,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
PF_VF_1_FBTG,Low Q Chance Against: 8,Ballbesitzwechsel JA,D1,L2,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
PF_VF_1_FBTG,Low Q Chance Against: 9,Ballbesitzwechsel JA,D1,L1,,5:5,Gezogen,Geblockt,Lukas Münger,,Auslösung,0.2,,
PF_VF_1_FBTG,Low Q Chance Against: 10,Ballbesitzwechsel JA,D1,L3,,5:5,Handgelenk,Neben Tor,,,Konter,0.1,,
PF_VF_1_FBTG,Low Q Chance Against: 11,Ballbesitzwechsel JA,D1,L3,,5:5,Direkt,Neben Tor,,,Standart,0.1,,
PF_VF_1_FBTG,Low Q Chance Against: 12,Ballbesitzwechsel JA,D1,L3,,5:5,Gezogen,Geblockt,Martin Mosimann,,Festsetzen,0.1,,
PF_VF_1_FBTG,Low Q Chance Against: 13,Ballbesitzwechsel JA,D1,L3,,5:5,Gezogen,Geblockt,Gian Mühlemann,,Standart,0.1,,
