Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_HF_4_FBK,High Q Chance Against: 1,Ballbesitzwechsel NEIN,D2,L2,,5:5,Direkt,Auf Tor,,,Konter,0.5,,
PF_HF_4_FBK,High Q Chance For: 1,Ballbesitzwechsel NEIN,D2,L2,,5:5,Direkt,Auf Tor,Steiner Simon,Kevin Kropf,Konter,0.4,,
PF_HF_4_FBK,High Q Chance For: 2,Ballbesitzwechsel NEIN,D2,L2,,5:5,Direkt,Neben Tor,Janis Lauber,Kevin Kropf,Auslösung,0.4,,
PF_HF_4_FBK,High Q Chance For: 3,Ballbesitzwechsel NEIN,D3,L1,,5:5,Gezogen,Auf Tor,Matteo Steiner,,Konter,0.5,,
PF_HF_4_FBK,High Q Chance For: 4,Ballbesitzwechsel NEIN,OT,L2,,5:5,Direkt,Auf Tor,Steiner Simon,Janis Lauber,Konter,0.4,,
PF_HF_4_FBK,High Q Chance For: 5,Ballbesitzwechsel NEIN,OT,L1,,5:5,Handgelenk,Auf Tor,Nick Pfister,Matteo Steiner,Konter,0.4,,
PF_HF_4_FBK,Low Q Chance Against: 1,Ballbesitzwechsel NEIN,D1,L1,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
PF_HF_4_FBK,Low Q Chance Against: 2,Ballbesitzwechsel NEIN,D1,L1,,5:5,Gezogen,Geblockt,Luca Fankhauser,,Auslösung,0.1,,
PF_HF_4_FBK,Low Q Chance Against: 3,Ballbesitzwechsel NEIN,D1,L2,,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
PF_HF_4_FBK,Low Q Chance Against: 4,Ballbesitzwechsel NEIN,D1,L2,,5:5,Direkt,Auf Tor,,,Standart,0.2,,
PF_HF_4_FBK,Low Q Chance Against: 5,Ballbesitzwechsel NEIN,D1,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Auslösung,0.1,,
PF_HF_4_FBK,Low Q Chance Against: 6,Ballbesitzwechsel NEIN,D1,L1,,5:5,Handgelenk,Auf Tor,,,Auslösung,0.2,,
PF_HF_4_FBK,Low Q Chance Against: 7,Ballbesitzwechsel NEIN,D1,L2,,5:5,Handgelenk,Neben Tor,,,Konter,0.2,,
PF_HF_4_FBK,Low Q Chance Against: 8,Ballbesitzwechsel NEIN,D1,L2,,5:5,Gezogen,Geblockt,Gustav Svensson,,Konter,0.1,,
PF_HF_4_FBK,Low Q Chance Against: 9,Ballbesitzwechsel NEIN,D1,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Standart,0.1,,
PF_HF_4_FBK,Low Q Chance Against: 10,Ballbesitzwechsel NEIN,D1,L2,,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
