Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_SF_Zug,High Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Neben Tor,,,Konter,0.5,,
PF_SF_Zug,High Q Chance Against: 2,Ballbesitzwechsel Nein,D2,L3,,5:5,Direkt,Auf Tor,,,Festsetzen,0.5,,
PF_SF_Zug,High Q Chance For: 1,Ballbesitzwechsel Nein,D2,L1,,5:5,Direkt,Auf Tor,Matteo Steiner,Nick Pfister,Konter,0.3,,
PF_SF_Zug,High Q Chance For: 2,Ballbesitzwechsel Nein,D3,PP1,,5:4,Volley,Neben Tor,Thomas Gfeller,Kevin Kropf,,0.3,,
PF_SF_Zug,High Q Chance For: 3,Ballbesitzwechsel Nein,D3,L1,,5:5,Handgelenk,Geblockt,Matteo Steiner,Luca Fankhauser,Auslösung,0.3,,
PF_SF_Zug,High Q Chance For: 4,Ballbesitzwechsel Nein,D3,6:5,,6:5,Direkt,Geblockt,Steiner Simon,Gian Mühlemann,,0.5,,
PF_SF_Zug,Low Q Chance Against: 1,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Geblockt,Steiner Luca,,Auslösung,0.1,,
PF_SF_Zug,Low Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
PF_SF_Zug,Low Q Chance Against: 3,Ballbesitzwechsel Ja,D1,L1,,5:5,Volley,Geblockt,Steiner Luca,,Konter,0.2,,
PF_SF_Zug,Low Q Chance Against: 4,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Lucas Schlegel,,Festsetzen,0.1,,
PF_SF_Zug,Low Q Chance Against: 5,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Neben Tor,,,Konter,0.2,,
