Timeline,Start time,Duration,Row,Original Instance,DRITTEL,Lines,Nachsetzen,Nummerische Spielsituation,Nummerische Spielsituation_DEF,Nummerische Spielsituation_OFF,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,X-Shot Against,X-Shot For,XG,Y-Shot Against,Y-Shot For,ZOE,ZOE_Gegner,Zentralline,Ungrouped,Notes,Flags
2025-08-20_FBK_H,0.0,20.89503905732994,Low Q Chance Against,Low Q Chance Against: 1,D1,L1,,5:5,,,Handgelenk,Neben Tor,,,Konter,77,,0.10,29,,,,,,,
2025-08-20_FBK_H,9.69596973466474,22.0,Low Q Chance Against,Low Q Chance Against: 2,D1,L1,,5:5,,,Handgelenk,Auf Tor,,,Auslösung,75,,0.15,90,,,,,,,
2025-08-20_FBK_H,44.09317923833192,21.999999999999993,Low Q Chance Against,Low Q Chance Against: 3,D1,L1,,5:5,,,Gezogen,Auf Tor,,,Konter,84,,0.10,30,,,,,,,
2025-08-20_FBK_H,632.3975284033314,22.0,Low Q Chance Against,Low Q Chance Against: 4,D1,L3,,5:5,,,Gezogen,Neben Tor,,,Standart,,,0.10,,,,,,,,
2025-08-20_FBK_H,821.2954249799964,22.0,Low Q Chance Against,Low Q Chance Against: 5,D1,L3,,5:5,,,Gezogen,Auf Tor,,,Auslösung,,,0.25,,,,,,,,
2025-08-20_FBK_H,1305.7934274389963,22.0,Low Q Chance Against,Low Q Chance Against: 6,D1,L3,,5:5,,,Gezogen,Geblockt,Gustav Svensson,,Standart,,,0.10,,,,,,,,
2025-08-20_FBK_H,2844.199787844333,22.0,Low Q Chance Against,Low Q Chance Against: 7,D2,L1,,5:5,,,Direkt,Auf Tor,,,Festsetzen,,,0.25,,,,,,,,
2025-08-20_FBK_H,2917.8973697213332,22.0,Low Q Chance Against,Low Q Chance Against: 8,D2,L2,,5:5,,,Gezogen,Auf Tor,,,Auslösung,,,0.10,,,,,,,,
2025-08-20_FBK_H,3021.397779682333,22.0,Low Q Chance Against,Low Q Chance Against: 9,D2,L1,,5:5,,,Gezogen,Neben Tor,,,Standart,,,0.15,,,,,,,,
2025-08-20_FBK_H,3141.8978682256666,22.0,Low Q Chance Against,Low Q Chance Against: 10,D2,L2,,5:5,,,Handgelenk,Neben Tor,,,Konter,,,0.10,,,,,,,,
