Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Gegner
2025-08-24_HCR_A,High Q Chance Against: 1,D1,L2,,5:5,,Auf Tor,,,Nachsetzen,0.60,,
2025-08-24_HCR_A,High Q Chance Against: 2,D1,L2,,5:5,,Neben Tor,,,Konter,0.55,,
2025-08-24_HCR_A,High Q Chance Against: 3,D1,L2,,5:5,,Neben Tor,,,Konter,0.70,,
2025-08-24_HCR_A,High Q Chance Against: 4,D3,L1,,5:5,,Neben Tor,,,Festsetzen,0.70,,
2025-08-24_HCR_A,High Q Chance Against: 5,D3,L2,,5:5,,Auf Tor,,,Zone-Exits,0.45,,
2025-08-24_HCR_A,High Q Chance Against: 6,D3,L1,,5:5,,Neben Tor,,,Standart,0.40,,
2025-08-24_HCR_A,High Q Chance Against: 7,D3,L1,,5:5,,Neben Tor,,,Konter,0.50,,
2025-08-24_HCR_A,High Q Chance For: 1,D1,L2,,5:5,,Geblockt,Matteo Steiner,Thomas Gfeller,Konter,0.40,,
2025-08-24_HCR_A,High Q Chance For: 2,D1,L1,,5:5,,Auf Tor,Janis Lauber,Kevin Kropf,Festsetzen,0.50,,
2025-08-24_HCR_A,High Q Chance For: 3,D1,L2,,5:5,,Neben Tor,Matteo Steiner,Alexander Hedlund,Konter,0.50,,
2025-08-24_HCR_A,High Q Chance For: 4,D3,L2,,5:5,,Auf Tor,Luca Fankhauser,Thomas Gfeller,Konter,0.45,,
2025-08-24_HCR_A,High Q Chance For: 5,D3,L2,,5:5,,"Auf Tor, Neben Tor",Luca Fankhauser,Matteo Steiner,Zone-Exits,0.60,,
2025-08-24_HCR_A,High Q Chance For: 6,D3,L2,,5:5,,Neben Tor,Matteo Steiner,Alexander Hedlund,Nachsetzen,0.55,,
2025-08-24_HCR_A,High Q Chance For: 7,D3,L2,,5:5,,Auf Tor,Tim Glücki,Matteo Steiner,Konter,0.75,,
2025-08-24_HCR_A,High Q Chance For: 8,D2,L2,,5:5,,Auf Tor,Janis Lauber,Alexander Hedlund,Konter,0.40,,
2025-08-24_HCR_A,Low Q Chance Against: 1,D2,L3,,5:5,,Geblockt,,,Standart,0.15,,
2025-08-24_HCR_A,Low Q Chance Against: 2,D1,L3,,5:5,,Geblockt,,,Festsetzen,0.40,,
2025-08-24_HCR_A,Low Q Chance Against: 3,D1,L2,,5:5,,Geblockt,,,Auslösung,0.15,,
2025-08-24_HCR_A,Low Q Chance Against: 4,D1,L2,,5:5,,Geblockt,,,Festsetzen,0.15,,
2025-08-24_HCR_A,Low Q Chance Against: 5,D2,L1,,5:5,,Auf Tor,,,Auslösung,0.10,,
2025-08-24_HCR_A,Low Q Chance Against: 6,D2,L3,,5:5,,Auf Tor,,,Konter,0.10,,
2025-08-24_HCR_A,Low Q Chance Against: 7,D2,L2,,5:5,,Geblockt,,,Auslösung,0.10,,
2025-08-24_HCR_A,Low Q Chance Against: 8,D2,L3,,5:5,,Geblockt,,,Auslösung,0.10,,
2025-08-24_HCR_A,Low Q Chance Against: 9,D2,L1,,5:5,,Geblockt,,,Festsetzen,0.10,,
2025-08-24_HCR_A,Low Q Chance Against: 10,D2,L3,,5:5,,Auf Tor,,,Auslösung,0.10,,
2025-08-24_HCR_A,Low Q Chance Against: 11,D2,L2,,5:5,,Neben Tor,,,Auslösung,0.15,,
2025-08-24_HCR_A,Low Q Chance Against: 12,D3,L2,,5:5,,Neben Tor,,,Auslösung,0.20,,
2025-08-24_HCR_A,Low Q Chance Against: 13,D3,L3,,5:5,,Neben Tor,,,Festsetzen,0.10,,
2025-08-24_HCR_A,Low Q Chance Against: 14,D3,L2,,5:5,,Geblockt,,,Festsetzen,0.10,,
2025-08-24_HCR_A,Low Q Chance Against: 15,D3,L2,,5:5,,Neben Tor,,,Auslösung,0.10,,
2025-08-24_HCR_A,Low Q Chance Against: 16,D3,L2,,5:5,,Neben Tor,,,Auslösung,0.10,,
2025-08-24_HCR_A,Low Q Chance Against: 17,D3,L3,,5:5,,Neben Tor,,,Konter,0.25,,
2025-08-24_HCR_A,Low Q Chance For: 1,D1,L3,,5:5,,Geblockt,Christian Stucki,Maurice Aebersold,Konter,0.25,,
2025-08-24_HCR_A,Low Q Chance For: 2,D1,L2,,5:5,,Geblockt,Steiner Luca,Thomas Gfeller,Standart,0.15,,
2025-08-24_HCR_A,Low Q Chance For: 3,D1,L3,,5:5,,Geblockt,Christian Stucki,Maurice Aebersold,Auslösung,0.20,,
2025-08-24_HCR_A,Low Q Chance For: 4,D1,L2,,5:5,,Auf Tor,Thomas Gfeller,Matteo Steiner,Festsetzen,0.10,,
2025-08-24_HCR_A,Low Q Chance For: 5,D2,L2,,5:5,,Auf Tor,Thomas Gfeller,Alexander Hedlund,Auslösung,0.10,,
2025-08-24_HCR_A,Low Q Chance For: 6,D2,L3,,5:5,,Neben Tor,Steiner Luca,Seya Schwarz,Konter,0.10,,
2025-08-24_HCR_A,Low Q Chance For: 7,D2,L3,,5:5,,Geblockt,Christian Stucki,Maurice Aebersold,Festsetzen,0.10,,
2025-08-24_HCR_A,Low Q Chance For: 8,D3,L2,,5:5,,Geblockt,Matteo Steiner,,Festsetzen,0.15,,
2025-08-24_HCR_A,Low Q Chance For: 9,D3,L2,,5:5,,Geblockt,Alexander Hedlund,Matteo Steiner,Auslösung,0.15,,
2025-08-24_HCR_A,Low Q Chance For: 10,D3,L2,,5:5,,Geblockt,Alexander Hedlund,Gian Mühlemann,Auslösung,0.15,,
2025-08-24_HCR_A,Low Q Chance For: 11,,L3,,5:5,,Geblockt,Nick Pfister,Steiner Luca,Festsetzen,0.15,,
2025-08-24_HCR_A,Low Q Chance For: 12,D3,L2,,5:5,,Geblockt,,,Auslösung,0.10,,
2025-08-24_HCR_A,Low Q Chance For: 13,D3,L2,,5:5,,Auf Tor,Matteo Steiner,,,0.20,,
2025-08-24_HCR_A,Low Q Chance For: 14,D3,L3,,5:5,,Auf Tor,Steiner Luca,Christian Stucki,Auslösung,0.20,,
2025-08-24_HCR_A,Low Q Chance For: 15,D3,L3,,5:5,,Geblockt,Christian Stucki,Steiner Luca,Auslösung,0.15,,
2025-08-24_HCR_A,Low Q Chance For: 16,D3,L2,,5:5,,Neben Tor,Thomas Gfeller,,Standart,0.10,,
2025-08-24_HCR_A,Low Q Chance For: 17,D3,L1,,5:5,,Auf Tor,Tim Glücki,Matteo Steiner,Festsetzen,0.10,,
2025-08-24_HCR_A,Mid Q Chance Against: 1,D1,L1,,5:5,,Auf Tor,,,Auslösung,0.20,,
2025-08-24_HCR_A,Mid Q Chance Against: 2,D1,L2,,5:5,,Auf Tor,,,Zone-Exits,0.35,,
2025-08-24_HCR_A,Mid Q Chance Against: 3,D1,L3,,5:5,,Neben Tor,,,Auslösung,0.30,,
2025-08-24_HCR_A,Mid Q Chance Against: 4,D1,L1,,5:5,,Geblockt,,,Standart,0.15,,
2025-08-24_HCR_A,Mid Q Chance Against: 5,D1,L3,,5:5,,Auf Tor,,,Konter,0.20,,
2025-08-24_HCR_A,Mid Q Chance Against: 6,D1,L1,,5:5,,Geblockt,,,Festsetzen,0.10,,
2025-08-24_HCR_A,Mid Q Chance Against: 7,D2,L1,,5:5,,Auf Tor,,,Standart,0.30,,
2025-08-24_HCR_A,Mid Q Chance Against: 8,D3,L3,,5:5,,Auf Tor,,,Konter,0.40,,
2025-08-24_HCR_A,Mid Q Chance For: 1,D1,L1,,5:5,,Auf Tor,Gustav Svensson,,Festsetzen,,,
2025-08-24_HCR_A,Mid Q Chance For: 2,D1,L1,,5:5,,Geblockt,Steiner Simon,Janis Lauber,Nachsetzen,0.35,,
2025-08-24_HCR_A,Mid Q Chance For: 3,D1,L3,,5:5,,Geblockt,Seya Schwarz,Gian Mühlemann,Auslösung,0.15,,
2025-08-24_HCR_A,Mid Q Chance For: 4,D1,L3,,5:5,,Neben Tor,Seya Schwarz,Maurice Aebersold,Auslösung,0.25,,
2025-08-24_HCR_A,Mid Q Chance For: 5,D2,L2,,5:5,,Auf Tor,Thomas Gfeller,Matteo Steiner,Festsetzen,0.20,,
2025-08-24_HCR_A,Mid Q Chance For: 6,D2,L1,,5:5,,Neben Tor,Janis Lauber,Gustav Svensson,Auslösung,0.25,,
2025-08-24_HCR_A,Mid Q Chance For: 7,D2,L2,,5:5,,Auf Tor,Matteo Steiner,Alexander Hedlund,Konter,0.45,,
2025-08-24_HCR_A,Mid Q Chance For: 8,D3,L2,,5:5,,Neben Tor,Matteo Steiner,Janis Lauber,Auslösung,0.30,,
2025-08-24_HCR_A,Mid Q Chance For: 9,D3,L3,,5:5,,Neben Tor,Seya Schwarz,Nick Pfister,Konter,0.40,,
2025-08-24_HCR_A,Mid Q Chance For: 10,D3,L2,,5:5,,Auf Tor,Matteo Steiner,,Standart,0.30,,
2025-08-24_HCR_A,Mid Q Chance For: 11,D3,L2,,5:5,,Neben Tor,Alexander Hedlund,Matteo Steiner,Auslösung,0.45,,
2025-08-24_HCR_A,Mid Q Chance For: 12,D3,L2,,5:5,,Geblockt,Matteo Steiner,Janis Lauber,Nachsetzen,0.25,,
2025-08-24_HCR_A,Mid Q Chance For: 13,D3,L1,,5:5,,Neben Tor,Thomas Gfeller,Kevin Kropf,Konter,0.45,,
2025-08-24_HCR_A,Nachsetzen For: 1,D1,L2,Good,5:5,,Geblockt,,,Nachsetzen,,,
