Timeline,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Taktische Spielsituation,XG,ZOE_For,ZOE_Against,team_for,team_against
SUI-CZE,ZOE Gegner: 1,D1,L1,5:5,,,Auslösung,,,Bad,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 2,D1,L2,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 3,D1,L1,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 4,D1,L2,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 5,D1,L3,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 6,D1,L1,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 7,D1,L3,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 8,D1,L2,5:5,,,Auslösung,,,Bad,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 9,D1,L3,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 10,D1,L1,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 11,D1,L3,5:5,,,Auslösung,,,Bad,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 12,D2,L1,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 13,D2,L2,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 14,D2,L3,5:5,,,Auslösung,,,Bad,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 15,D2,L2,5:5,,,Auslösung,,,Bad,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 16,D2,L2,5:5,,,Auslösung,,,Bad,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 17,D2,L1,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 18,D2,L2,5:5,,,Auslösung,,,Bad,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 19,D1,L2,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 20,D2,L3,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 21,D2,L1,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 22,D2,L1,5:5,,,Auslösung,,,Bad,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 23,D3,L1,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 24,D2,L3,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 25,D3,L3,5:5,,,Auslösung,,,Good,Schweiz,Tschechien
SUI-CZE,ZOE Gegner: 27,D3,L1,5:5,,,Auslösung,,,Bad,Schweiz,Tschechien
SUI-CZE,ZOE For: 2,D1,L3,5:5,,,Auslösung,,Good,,Schweiz,Tschechien
SUI-CZE,ZOE For: 3,D1,L1,5:5,,,Auslösung,,Good,,Schweiz,Tschechien
SUI-CZE,ZOE For: 4,D1,L3,5:5,,,Auslösung,,Good,,Schweiz,Tschechien
SUI-CZE,ZOE For: 5,D1,L1,5:5,,,Auslösung,,Bad,,Schweiz,Tschechien
SUI-CZE,ZOE For: 6,D1,L2,5:5,,,Auslösung,,Good,,Schweiz,Tschechien
SUI-CZE,ZOE For: 7,D1,L1,5:5,,,Auslösung,,Good,,Schweiz,Tschechien
SUI-CZE,ZOE For: 8,D1,L3,5:5,,,Auslösung,,Good,,Schweiz,Tschechien
SUI-CZE,ZOE For: 9,D1,L1,5:5,,,Auslösung,,Bad,,Schweiz,Tschechien
SUI-CZE,ZOE For: 10,D1,L1,5:5,,,Auslösung,,Good,,Schweiz,Tschechien
SUI-CZE,ZOE For: 11,D2,L3,5:5,,,Auslösung,,Good,,Schweiz,Tschechien
