Spiel,Action,team_for,team_against,Drittel,Ballbesitzwechsel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS1_SVWE,High Q Chance Against: 1,Schweden,Schweiz,D1,Ballbesitzwechsel Nein,L2,,5:5,Direkt,Auf Tor,,,Nachsetzen,0.5,,
MS1_SVWE,High Q Chance Against: 2,Schweden,Schweiz,D3,Ballbesitzwechsel Nein,L2,,5:5,Direkt,Auf Tor,,,Festsetzen,0.4,,
MS1_SVWE,High Q Chance For: 1,Schweden,Schweiz,D1,Ballbesitzwechsel Nein,L1,,5:5,Direkt,Auf Tor,Kevin Kropf,Thomas Gfeller,Auslösung,0.5,,
MS1_SVWE,High Q Chance For: 2,Schweden,Schweiz,D3,Ballbesitzwechsel Nein,PP1,,5:4,Direkt,Auf Tor,Matteo Steiner,"Janis Lauber, Kevin Kropf",,0.5,,
MS1_SVWE,High Q Chance For: 3,Schweden,Schweiz,D3,Ballbesitzwechsel Nein,PP1,,5:4,Direkt,Neben Tor,Thomas Gfeller,Janis Lauber,,0.5,,
MS1_SVWE,Low Q Chance Against: 1,Schweden,Schweiz,D1,Ballbesitzwechsel Nein,L1,,5:5,Gezogen,Geblockt,Steiner Luca,,Auslösung,0.1,,
MS1_SVWE,Low Q Chance Against: 2,Schweden,Schweiz,D1,Ballbesitzwechsel Ja,L2,,5:5,Gezogen,Geblockt,Luca Fankhauser,,Auslösung,0.1,,
MS1_SVWE,Low Q Chance Against: 3,Schweden,Schweiz,D1,Ballbesitzwechsel Nein,L3,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
MS1_SVWE,Low Q Chance Against: 4,Schweden,Schweiz,D1,Ballbesitzwechsel Nein,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
MS1_SVWE,Low Q Chance Against: 5,Schweden,Schweiz,D1,Ballbesitzwechsel Nein,L1,,5:5,Handgelenk,Auf Tor,,,Standart,0.1,,
