Spiel,team_for,team_against,Action,Schussmetrik,Drittel ,Nummerische Spielsituation,Linien For,Taktische Spielsituation,XG,ZOE_Against,Schusslabel,ZOE_For,Spieler Tigers,Spieler Tigers 2
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 1,Auf Tor,D1,5:5,L3,Standart,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 2,Geblockt,D1,5:5,L3,Auslösung,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 3,Auf Tor,D1,5:5,L1,Konter,0.2,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 4,Auf Tor,D1,5:5,L2,Konter,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 5,Auf Tor,D1,5:5,L2,Konter,0.2,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 6,Auf Tor,D1,5:5,L3,Auslösung,0.2,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 7,Auf Tor,D1,5:5,L1,Festsetzen,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 8,Neben Tor,D2,5:5,L1,Standart,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 9,Geblockt,D2,5:5,L3,Festsetzen,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 10,Geblockt,D2,5:5,L1,Festsetzen,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 11,Auf Tor,D2,5:5,L1,Festsetzen,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 12,Neben Tor,D2,5:5,L3,Festsetzen,0.2,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 13,Geblockt,D2,5:5,L2,Festsetzen,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 14,Neben Tor,D2,5:5,L1,Auslösung,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 15,Geblockt,D2,5:5,L1,Festsetzen,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 16,Neben Tor,D2,5:5,L2,Konter,0.2,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 17,Auf Tor,D2,5:5,L3,Festsetzen,0.2,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 18,Geblockt,D2,5:5,L1,Auslösung,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 19,Neben Tor,D2,5:5,L3,Konter,0.2,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 20,Auf Tor,D2,5:5,L2,Festsetzen,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 21,Geblockt,D2,5:5,L1,Festsetzen,0.2,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance Against: 22,Neben Tor,D3,5:5,L1,Konter,0.2,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance For: 1,Geblockt,D3,5:5,L1,Auslösung,0.2,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance For: 2,Neben Tor,D3,5:5,L1,Auslösung,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance For: 3,Geblockt,D3,5:5,L2,Festsetzen,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance For: 4,Neben Tor,D3,5:5,L2,Festsetzen,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance For: 5,Geblockt,D3,5:5,L1,Festsetzen,0.1,,,,,
SUI-FIN_EFT_Nokian,Schweiz,Finnland,Low Q Chance For: 6,Geblockt,D3,5:5,L2,Festsetzen,0.2,,,,,
