league,Timeline,team_for,team_against,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,1:1: 1,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,1:1: 2,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Divers: 1,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,FS Def: 1,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,FS OFF: 1,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,FS OFF: 2,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,FS OFF: 3,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,High Q Chance Against: 1,D1,L2,,5:5,Volley,,Zone-Exits,0.70,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,High Q Chance For: 1,D1,L1,,5:5,Direkt,Auf Tor,Auslösung,0.80,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance Against: 1,D1,L1,,5:5,Direkt,Geblockt,Festsetzen,0.25,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance Against: 2,D1,L1,,5:5,Handgelenk,Neben Tor,Konter,0.15,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance Against: 3,D1,L3,,5:5,Gezogen,,Auslösung,0.35,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance Against: 4,D1,L2,,5:5,Gezogen,,Festsetzen,0.15,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance Against: 5,D2,L2,,5:5,Gezogen,Geblockt,Konter,0.15,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance Against: 6,D2,L2,,5:5,Gezogen,Geblockt,Festsetzen,0.35,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance Against: 7,,L2,,5:5,Handgelenk,Auf Tor,Konter,0.15,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance Against: 8,,L3,,5:5,Gezogen,Auf Tor,Standart,0.20,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance Against: 9,,L1,,5:5,Gezogen,Geblockt,Standart,0.30,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance Against: 10,D3,L1,,5:5,Direkt,,Auslösung,0.20,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 1,D1,L2,,5:5,Handgelenk,Geblockt,Auslösung,0.20,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 2,D1,L3,,5:5,Gezogen,,Auslösung,0.15,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 3,D1,L1,,5:5,Gezogen,,Konter,0.30,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 4,D1,L3,,5:5,Direkt,Neben Tor,Festsetzen,0.30,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 5,D1,L3,,5:5,Gezogen,Neben Tor,Auslösung,0.20,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 6,D1,L2,,5:5,Gezogen,Auf Tor,Festsetzen,0.25,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 7,D1,L3,,5:5,Gezogen,Neben Tor,Konter,0.15,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 8,D1,L2,,5:5,Gezogen,Geblockt,Festsetzen,0.20,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 9,D1,L3,,5:5,Gezogen,Auf Tor,Auslösung,0.30,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 10,D2,L2,,5:5,Handgelenk,Geblockt,Festsetzen,0.20,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 11,,L3,,5:5,,Neben Tor,Auslösung,0.35,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 12,D2,L2,,5:5,Gezogen,Neben Tor,,0.25,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 13,D2,L1,,5:5,Gezogen,Geblockt,Festsetzen,0.25,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 14,D2,L2,,5:5,Gezogen,Auf Tor,Auslösung,0.30,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 15,,L3,,5:5,Direkt,Neben Tor,Festsetzen,0.40,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 16,,L1,,5:5,Gezogen,Geblockt,Pressing,0.35,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 17,D2,L1,,5:5,Gezogen,,Auslösung,0.15,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 18,D3,L1,,5:5,Gezogen,Auf Tor,Auslösung,0.30,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Low Q Chance For: 19,D3,L1,,5:5,Gezogen,Geblockt,Festsetzen,0.15,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Mid Q Chance Against: 1,D1,L3,,5:5,Gezogen,,Konter,0.40,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Mid Q Chance Against: 2,D2,L1,,5:5,Direkt,,Konter,0.55,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Mid Q Chance For: 1,D1,L3,,5:5,Handgelenk,,Nachsetzen,0.50,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Mid Q Chance For: 2,D1,L2,,5:5,Handgelenk,,Forechecking,0.55,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Nachsetzen Against: 1,D2,,,5:5,,,Nachsetzen,,Bad,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Nachsetzen For: 1,D1,L1,Bad,5:5,,,Nachsetzen,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Nachsetzen For: 2,D1,L3,Good,5:5,,,Nachsetzen,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Nachsetzen For: 3,D1,L3,Bad,5:5,,,Nachsetzen,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Nachsetzen For: 4,D1,L2,Bad,5:5,,,Nachsetzen,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Note: 1,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Note: 2,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Note: 3,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,PP Shot Against: 1,,,,,Direkt,,,0.25,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,PP Shot Against: 2,,,,,Direkt,Neben Tor,,0.70,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,PP Shot For: 1,,,,,,"Auf Tor, Auf Tor",,"0.35, 0.50",,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,PP Shot For: 2,,,,,,"Auf Tor, Auf Tor",,"0.45, 0.45",,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,PP Shot For: 3,,,,,,Geblockt,,0.30,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,PP Shot For: 4,D3,,,5:4,Handgelenk,Geblockt,,0.60,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,PP Shot For: 5,D3,PP1,,5:4,Direkt,Neben Tor,,0.50,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,PP Shot For: 6,,PP1,,5:4,Gezogen,Geblockt,,0.20,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Pot + Chance Against: 1,D2,L2,,5:5,Direkt,,Auslösung,0.40,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Pot + Chance For: 1,D1,L2,,5:5,Direkt,,Festsetzen,0.40,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Pressing Against: 1,D1,L1,,5:5,,,Pressing,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Pressing For: 1,D1,L3,Good,5:5,,,Pressing,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Pressing For: 2,D1,L2,Bad,5:5,,,Pressing,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 1,,,,"1:1, Zone-Entries Skills",,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 2,,,,1:1,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 3,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 4,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 5,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 6,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 7,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 8,,,,,,,,0.70,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 9,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 10,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 11,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 12,,,,,Direkt,,,0.80,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Tor Tschechien: 1,D1,L2,,5:5,Direkt,,Zone-Exits,0.80,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Tor Tschechien: 2,D1,L1,,5:5,Direkt,,Pressing,0.55,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Tor Tschechien: 3,D2,L3,,5:5,,,Konter,0.45,,
