league,Spiel,team_for,team_against,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 1,D1,L1,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 2,D1,L2,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 3,D1,L2,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 4,D1,L1,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 5,D1,L1,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 6,D1,L1,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 7,D2,L2,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 8,D2,L1,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 9,D2,L1,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 10,D2,L2,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 11,D2,L1,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 12,D2,L3,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 13,D2,L3,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 14,D2,L2,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 15,D3,L2,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 16,D3,L3,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 17,D3,L1,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 18,D3,L2,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 19,D3,L3,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 20,D3,L2,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 21,D3,L3,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 22,D3,L1,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 23,D3,L1,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 24,OT,L1,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 25,OT,L2,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 26,OT,L2,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 27,OT,L1,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 28,OT,L2,,5:5,,,Auslösung,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE For: 29,OT,L2,,5:5,,,Auslösung,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 1,D1,L1,,5:5,Gezogen,Geblockt,Festsetzen,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 2,D1,L1,,5:5,Gezogen,Neben Tor,Festsetzen,0.25,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 3,D1,L1,,5:5,Handgelenk,Neben Tor,Auslösung,0.35,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 4,D1,L1,,5:5,Gezogen,Geblockt,Unkontrolliert,0.10,,
